Batch,Community,Isolate1,Isolate2,Freq1,Freq2,image_name_pair,image_name_isolate1,image_name_isolate2,color_channel,folder_original,folder_channel,folder_rolled,folder_threshold,folder_round,folder_watershed,folder_transect,folder_feature,folder_random_forest,folder_bootstrap,folder_combined
B2,C11R1,3,6,95,5,B2_T8_C11R1_5-95_3_6,B2_T1_C11R1_3,B2_T8_C11R1_6,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,3,7,95,5,B2_T8_C11R1_5-95_3_7,B2_T1_C11R1_3,B2_T8_C11R1_7,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,3,8,95,5,B2_T8_C11R1_5-95_3_8,B2_T1_C11R1_3,B2_T1_C11R1_8,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,3,9,95,5,B2_T8_C11R1_5-95_3_9,B2_T1_C11R1_3,B2_T0_C11R1_9,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,4,2,95,5,B2_T8_C11R1_5-95_4_2,B2_T1_C11R1_4,B2_T0_C11R1_2,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,4,3,95,5,B2_T8_C11R1_5-95_4_3,B2_T1_C11R1_4,B2_T1_C11R1_3,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,4,5,95,5,B2_T8_C11R1_5-95_4_5,B2_T1_C11R1_4,B2_T8_C11R1_5,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,4,6,95,5,B2_T8_C11R1_5-95_4_6,B2_T1_C11R1_4,B2_T8_C11R1_6,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,4,7,95,5,B2_T8_C11R1_5-95_4_7,B2_T1_C11R1_4,B2_T8_C11R1_7,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,4,8,95,5,B2_T8_C11R1_5-95_4_8,B2_T1_C11R1_4,B2_T1_C11R1_8,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,4,9,95,5,B2_T8_C11R1_5-95_4_9,B2_T1_C11R1_4,B2_T0_C11R1_9,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,5,2,95,5,B2_T8_C11R1_5-95_5_2,B2_T8_C11R1_5,B2_T0_C11R1_2,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,5,3,95,5,B2_T8_C11R1_5-95_5_3,B2_T8_C11R1_5,B2_T1_C11R1_3,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,5,4,95,5,B2_T8_C11R1_5-95_5_4,B2_T8_C11R1_5,B2_T1_C11R1_4,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,5,6,95,5,B2_T8_C11R1_5-95_5_6,B2_T8_C11R1_5,B2_T8_C11R1_6,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
B2,C11R1,5,7,95,5,B2_T8_C11R1_5-95_5_7,B2_T8_C11R1_5,B2_T8_C11R1_7,green,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-00-original/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-01-channel/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-02-rolled/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-03-threshold/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-04-round/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-05-watershed/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-06-transect/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-07-feature/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-08-random_forest/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-09-bootstrap/,~/Dropbox/lab/emergent-coexistence/forDryad/pipeline/images/B2-NA/
