Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Experiment,Result,InteractionType,From,To,ExpID1,ExpID2,Family1,Family2,NucleotideDifference,SequenceLength,Isolate1OD405,Isolate1OD620,Isolate2OD405,Isolate2OD620,OD405Difference,OD620Difference,Batch,Transfer,FileDirectory,FileName,ColonyCount,ColonyCount1,ColonyCount2
C1R2,2,3,95,5,Transitivity_D,3,Competition exclusion,3,2,1.2.A.3,1.2.A.5,Pseudomonadaceae,Enterobacteriaceae,117,972,0.606,0.199333333,0.319333333,0.157,0.286666667,0.042333333,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_2_3.tiff,D_T8_C1R2_5-95_2_3,193,0,193
C1R2,3,4,50,50,Transitivity_D,3,Competition exclusion,3,4,1.2.A.5,1.2.B.6,Enterobacteriaceae,Pseudomonadaceae,110,908,0.319333333,0.157,0.44,0.157666667,0.120666667,0.000666667,D,T8,transtivity-D/pairs/D_T8_C1R2_50-50_3_4.tiff,D_T8_C1R2_50-50_3_4,186,186,0
C1R2,3,4,95,5,Transitivity_D,3,Competition exclusion,3,4,1.2.A.5,1.2.B.6,Enterobacteriaceae,Pseudomonadaceae,110,908,0.319333333,0.157,0.44,0.157666667,0.120666667,0.000666667,D,T8,transtivity-D/pairs/D_T8_C1R2_5-95_3_4.tiff,D_T8_C1R2_5-95_3_4,192,192,0
C1R4,1,2,5,95,Transitivity_D,2,Competition exclusion,2,1,1.4.A.1,1.4.A.3,Pseudomonadaceae,Enterobacteriaceae,62,525,0.382,0.153333333,0.280666667,0.135333333,0.101333333,0.018,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_2_1.tiff,D_T8_C1R4_5-95_2_1,144,0,144
C1R4,1,2,50,50,Transitivity_D,2,Competition exclusion,2,1,1.4.A.1,1.4.A.3,Pseudomonadaceae,Enterobacteriaceae,62,525,0.382,0.153333333,0.280666667,0.135333333,0.101333333,0.018,D,T8,transtivity-D/pairs/D_T8_C1R4_50-50_1_2.tiff,D_T8_C1R4_50-50_1_2,109,0,109
C1R4,1,2,95,5,Transitivity_D,2,Competition exclusion,2,1,1.4.A.1,1.4.A.3,Pseudomonadaceae,Enterobacteriaceae,62,525,0.382,0.153333333,0.280666667,0.135333333,0.101333333,0.018,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_1_2.tiff,D_T8_C1R4_5-95_1_2,93,0,93
C1R4,1,3,5,95,Transitivity_D,3,Competition exclusion,3,1,1.4.A.1,1.4.A.4,Pseudomonadaceae,Pseudomonadaceae,13,666,0.382,0.153333333,-0.000333333,0,0.382333333,0.153333333,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_3_1.tiff,D_T8_C1R4_5-95_3_1,38,0,38
C1R4,1,4,5,95,Transitivity_D,4,Competition exclusion,4,1,1.4.A.1,1.4.A.5,Pseudomonadaceae,Enterobacteriaceae,77,646,0.382,0.153333333,0.276333333,0.138,0.105666667,0.015333333,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_4_1.tiff,D_T8_C1R4_5-95_4_1,54,0,54
C1R4,1,4,50,50,Transitivity_D,4,Competition exclusion,4,1,1.4.A.1,1.4.A.5,Pseudomonadaceae,Enterobacteriaceae,77,646,0.382,0.153333333,0.276333333,0.138,0.105666667,0.015333333,D,T8,transtivity-D/pairs/D_T8_C1R4_50-50_1_4.tiff,D_T8_C1R4_50-50_1_4,40,0,40
C1R4,1,4,95,5,Transitivity_D,4,Competition exclusion,4,1,1.4.A.1,1.4.A.5,Pseudomonadaceae,Enterobacteriaceae,77,646,0.382,0.153333333,0.276333333,0.138,0.105666667,0.015333333,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_1_4.tiff,D_T8_C1R4_5-95_1_4,37,0,37
C1R4,1,5,5,95,Transitivity_D,5,Competition exclusion,5,1,1.4.A.1,1.4.B.4,Pseudomonadaceae,Enterobacteriaceae,94,793,0.382,0.153333333,0.269,0.134666667,0.113,0.018666667,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_5_1.tiff,D_T8_C1R4_5-95_5_1,49,0,49
C1R4,1,5,50,50,Transitivity_D,5,Competition exclusion,5,1,1.4.A.1,1.4.B.4,Pseudomonadaceae,Enterobacteriaceae,94,793,0.382,0.153333333,0.269,0.134666667,0.113,0.018666667,D,T8,transtivity-D/pairs/D_T8_C1R4_50-50_1_5.tiff,D_T8_C1R4_50-50_1_5,66,0,66
C1R4,1,5,95,5,Transitivity_D,5,Competition exclusion,5,1,1.4.A.1,1.4.B.4,Pseudomonadaceae,Enterobacteriaceae,94,793,0.382,0.153333333,0.269,0.134666667,0.113,0.018666667,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_1_5.tiff,D_T8_C1R4_5-95_1_5,102,0,102
C1R4,2,3,5,95,Transitivity_D,2,Competition exclusion,2,3,1.4.A.3,1.4.A.4,Enterobacteriaceae,Pseudomonadaceae,64,525,0.280666667,0.135333333,-0.000333333,0,0.281,0.135333333,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_3_2.tiff,D_T8_C1R4_5-95_3_2,122,122,0
C1R4,2,3,50,50,Transitivity_D,2,Competition exclusion,2,3,1.4.A.3,1.4.A.4,Enterobacteriaceae,Pseudomonadaceae,64,525,0.280666667,0.135333333,-0.000333333,0,0.281,0.135333333,D,T8,transtivity-D/pairs/D_T8_C1R4_50-50_2_3.tiff,D_T8_C1R4_50-50_2_3,88,88,0
C1R4,2,3,95,5,Transitivity_D,2,Competition exclusion,2,3,1.4.A.3,1.4.A.4,Enterobacteriaceae,Pseudomonadaceae,64,525,0.280666667,0.135333333,-0.000333333,0,0.281,0.135333333,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_2_3.tiff,D_T8_C1R4_5-95_2_3,102,102,0
C1R4,3,4,5,95,Transitivity_D,4,Competition exclusion,4,3,1.4.A.4,1.4.A.5,Pseudomonadaceae,Enterobacteriaceae,91,747,-0.000333333,0,0.276333333,0.138,0.276666667,0.138,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_4_3.tiff,D_T8_C1R4_5-95_4_3,52,0,52
C1R4,3,4,50,50,Transitivity_D,4,Competition exclusion,4,3,1.4.A.4,1.4.A.5,Pseudomonadaceae,Enterobacteriaceae,91,747,-0.000333333,0,0.276333333,0.138,0.276666667,0.138,D,T8,transtivity-D/pairs/D_T8_C1R4_50-50_3_4.tiff,D_T8_C1R4_50-50_3_4,41,0,41
C1R4,3,4,95,5,Transitivity_D,4,Competition exclusion,4,3,1.4.A.4,1.4.A.5,Pseudomonadaceae,Enterobacteriaceae,91,747,-0.000333333,0,0.276333333,0.138,0.276666667,0.138,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_3_4.tiff,D_T8_C1R4_5-95_3_4,19,0,19
C1R4,3,5,50,50,Transitivity_D,5,Competition exclusion,5,3,1.4.A.4,1.4.B.4,Pseudomonadaceae,Enterobacteriaceae,88,668,-0.000333333,0,0.269,0.134666667,0.269333333,0.134666667,D,T8,transtivity-D/pairs/D_T8_C1R4_50-50_3_5.tiff,D_T8_C1R4_50-50_3_5,46,0,46
C1R4,3,5,95,5,Transitivity_D,5,Competition exclusion,5,3,1.4.A.4,1.4.B.4,Pseudomonadaceae,Enterobacteriaceae,88,668,-0.000333333,0,0.269,0.134666667,0.269333333,0.134666667,D,T8,transtivity-D/pairs/D_T8_C1R4_5-95_3_5.tiff,D_T8_C1R4_5-95_3_5,73,0,73
C1R6,1,2,50,50,Transitivity_D,2,Competition exclusion,2,1,1.6.A.1,1.6.A.2,Pseudomonadaceae,Enterobacteriaceae,85,662,0.294333333,0.147666667,0.323333333,0.158666667,0.029,0.011,D,T8,transtivity-D/pairs/D_T8_C1R6_50-50_1_2.tiff,D_T8_C1R6_50-50_1_2,78,0,78
C1R6,1,2,95,5,Transitivity_D,2,Competition exclusion,2,1,1.6.A.1,1.6.A.2,Pseudomonadaceae,Enterobacteriaceae,85,662,0.294333333,0.147666667,0.323333333,0.158666667,0.029,0.011,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_1_2.tiff,D_T8_C1R6_5-95_1_2,78,0,78
C1R6,1,3,5,95,Transitivity_D,3,Competition exclusion,3,1,1.6.A.1,1.6.A.4,Pseudomonadaceae,Pseudomonadaceae,7,639,0.294333333,0.147666667,0.326333333,0.140333333,0.032,0.007333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_3_1.tiff,D_T8_C1R6_5-95_3_1,53,0,53
C1R6,1,3,50,50,Transitivity_D,3,Competition exclusion,3,1,1.6.A.1,1.6.A.4,Pseudomonadaceae,Pseudomonadaceae,7,639,0.294333333,0.147666667,0.326333333,0.140333333,0.032,0.007333333,D,T8,transtivity-D/pairs/D_T8_C1R6_50-50_1_3.tiff,D_T8_C1R6_50-50_1_3,24,0,24
C1R6,1,3,95,5,Transitivity_D,3,Competition exclusion,3,1,1.6.A.1,1.6.A.4,Pseudomonadaceae,Pseudomonadaceae,7,639,0.294333333,0.147666667,0.326333333,0.140333333,0.032,0.007333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_1_3.tiff,D_T8_C1R6_5-95_1_3,37,0,37
C1R6,1,4,5,95,Transitivity_D,4,Competition exclusion,4,1,1.6.A.1,1.6.A.5,Pseudomonadaceae,Enterobacteriaceae,91,712,0.294333333,0.147666667,0.295666667,0.147333333,0.001333333,0.000333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_4_1.tiff,D_T8_C1R6_5-95_4_1,93,0,93
C1R6,1,4,50,50,Transitivity_D,4,Competition exclusion,4,1,1.6.A.1,1.6.A.5,Pseudomonadaceae,Enterobacteriaceae,91,712,0.294333333,0.147666667,0.295666667,0.147333333,0.001333333,0.000333333,D,T8,transtivity-D/pairs/D_T8_C1R6_50-50_1_4.tiff,D_T8_C1R6_50-50_1_4,122,0,122
C1R6,1,4,95,5,Transitivity_D,4,Competition exclusion,4,1,1.6.A.1,1.6.A.5,Pseudomonadaceae,Enterobacteriaceae,91,712,0.294333333,0.147666667,0.295666667,0.147333333,0.001333333,0.000333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_1_4.tiff,D_T8_C1R6_5-95_1_4,127,0,127
C1R6,1,5,5,95,Transitivity_D,5,Competition exclusion,5,1,1.6.A.1,1.6.A.6,Pseudomonadaceae,Enterobacteriaceae,88,668,0.294333333,0.147666667,0.279333333,0.141333333,0.015,0.006333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_5_1.tiff,D_T8_C1R6_5-95_5_1,50,0,50
C1R6,1,5,50,50,Transitivity_D,5,Competition exclusion,5,1,1.6.A.1,1.6.A.6,Pseudomonadaceae,Enterobacteriaceae,88,668,0.294333333,0.147666667,0.279333333,0.141333333,0.015,0.006333333,D,T8,transtivity-D/pairs/D_T8_C1R6_50-50_1_5.tiff,D_T8_C1R6_50-50_1_5,59,0,59
C1R6,1,5,95,5,Transitivity_D,5,Competition exclusion,5,1,1.6.A.1,1.6.A.6,Pseudomonadaceae,Enterobacteriaceae,88,668,0.294333333,0.147666667,0.279333333,0.141333333,0.015,0.006333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_1_5.tiff,D_T8_C1R6_5-95_1_5,45,0,45
C1R6,2,3,5,95,Transitivity_D,2,Competition exclusion,2,3,1.6.A.2,1.6.A.4,Enterobacteriaceae,Pseudomonadaceae,82,636,0.323333333,0.158666667,0.326333333,0.140333333,0.003,0.018333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_3_2.tiff,D_T8_C1R6_5-95_3_2,94,94,0
C1R6,2,3,50,50,Transitivity_D,2,Competition exclusion,2,3,1.6.A.2,1.6.A.4,Enterobacteriaceae,Pseudomonadaceae,82,636,0.323333333,0.158666667,0.326333333,0.140333333,0.003,0.018333333,D,T8,transtivity-D/pairs/D_T8_C1R6_50-50_2_3.tiff,D_T8_C1R6_50-50_2_3,95,95,0
C1R6,2,3,95,5,Transitivity_D,2,Competition exclusion,2,3,1.6.A.2,1.6.A.4,Enterobacteriaceae,Pseudomonadaceae,82,636,0.323333333,0.158666667,0.326333333,0.140333333,0.003,0.018333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_2_3.tiff,D_T8_C1R6_5-95_2_3,90,90,0
C1R6,2,4,5,95,Transitivity_D,2,Competition exclusion,2,4,1.6.A.2,1.6.A.5,Enterobacteriaceae,Enterobacteriaceae,22,662,0.323333333,0.158666667,0.295666667,0.147333333,0.027666667,0.011333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_4_2.tiff,D_T8_C1R6_5-95_4_2,121,121,0
C1R6,2,4,50,50,Transitivity_D,2,Competition exclusion,2,4,1.6.A.2,1.6.A.5,Enterobacteriaceae,Enterobacteriaceae,22,662,0.323333333,0.158666667,0.295666667,0.147333333,0.027666667,0.011333333,D,T8,transtivity-D/pairs/D_T8_C1R6_50-50_2_4.tiff,D_T8_C1R6_50-50_2_4,65,65,0
C1R6,2,4,95,5,Transitivity_D,2,Competition exclusion,2,4,1.6.A.2,1.6.A.5,Enterobacteriaceae,Enterobacteriaceae,22,662,0.323333333,0.158666667,0.295666667,0.147333333,0.027666667,0.011333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_2_4.tiff,D_T8_C1R6_5-95_2_4,140,140,0
C1R6,2,5,5,95,Transitivity_D,2,Competition exclusion,2,5,1.6.A.2,1.6.A.6,Enterobacteriaceae,Enterobacteriaceae,12,661,0.323333333,0.158666667,0.279333333,0.141333333,0.044,0.017333333,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_5_2.tiff,D_T8_C1R6_5-95_5_2,82,82,0
C1R6,3,5,5,95,Transitivity_D,5,Competition exclusion,5,3,1.6.A.4,1.6.A.6,Pseudomonadaceae,Enterobacteriaceae,94,754,0.326333333,0.140333333,0.279333333,0.141333333,0.047,0.001,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_5_3.tiff,D_T8_C1R6_5-95_5_3,49,0,49
C1R6,3,5,50,50,Transitivity_D,5,Competition exclusion,5,3,1.6.A.4,1.6.A.6,Pseudomonadaceae,Enterobacteriaceae,94,754,0.326333333,0.140333333,0.279333333,0.141333333,0.047,0.001,D,T8,transtivity-D/pairs/D_T8_C1R6_50-50_3_5.tiff,D_T8_C1R6_50-50_3_5,61,0,61
C1R6,3,5,95,5,Transitivity_D,5,Competition exclusion,5,3,1.6.A.4,1.6.A.6,Pseudomonadaceae,Enterobacteriaceae,94,754,0.326333333,0.140333333,0.279333333,0.141333333,0.047,0.001,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_3_5.tiff,D_T8_C1R6_5-95_3_5,100,0,100
C1R6,4,5,5,95,Transitivity_D,5,Competition exclusion,5,4,1.6.A.5,1.6.A.6,Enterobacteriaceae,Enterobacteriaceae,29,785,0.295666667,0.147333333,0.279333333,0.141333333,0.016333333,0.006,D,T8,transtivity-D/pairs/D_T8_C1R6_5-95_5_4.tiff,D_T8_C1R6_5-95_5_4,58,0,58
C1R7,1,2,5,95,Transitivity_D,1,Competition exclusion,1,2,1.7.A.1,1.7.A.1.2,Enterobacteriaceae,Pseudomonadaceae,90,733,0.326,0.158,0.354,0.144666667,0.028,0.013333333,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_2_1.tiff,D_T8_C1R7_5-95_2_1,105,105,0
C1R7,1,2,50,50,Transitivity_D,1,Competition exclusion,1,2,1.7.A.1,1.7.A.1.2,Enterobacteriaceae,Pseudomonadaceae,90,733,0.326,0.158,0.354,0.144666667,0.028,0.013333333,D,T8,transtivity-D/pairs/D_T8_C1R7_50-50_1_2.tiff,D_T8_C1R7_50-50_1_2,142,142,0
C1R7,1,2,95,5,Transitivity_D,1,Competition exclusion,1,2,1.7.A.1,1.7.A.1.2,Enterobacteriaceae,Pseudomonadaceae,90,733,0.326,0.158,0.354,0.144666667,0.028,0.013333333,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_1_2.tiff,D_T8_C1R7_5-95_1_2,133,133,0
C1R7,1,3,5,95,Transitivity_D,1,Competition exclusion,1,3,1.7.A.1,1.7.A.3,Enterobacteriaceae,Enterobacteriaceae,12,664,0.326,0.158,0.286333333,0.148,0.039666667,0.01,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_3_1.tiff,D_T8_C1R7_5-95_3_1,119,119,0
C1R7,1,3,50,50,Transitivity_D,1,Competition exclusion,1,3,1.7.A.1,1.7.A.3,Enterobacteriaceae,Enterobacteriaceae,12,664,0.326,0.158,0.286333333,0.148,0.039666667,0.01,D,T8,transtivity-D/pairs/D_T8_C1R7_50-50_1_3.tiff,D_T8_C1R7_50-50_1_3,91,91,0
C1R7,1,3,95,5,Transitivity_D,1,Competition exclusion,1,3,1.7.A.1,1.7.A.3,Enterobacteriaceae,Enterobacteriaceae,12,664,0.326,0.158,0.286333333,0.148,0.039666667,0.01,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_1_3.tiff,D_T8_C1R7_5-95_1_3,107,107,0
C1R7,1,4,5,95,Transitivity_D,1,Competition exclusion,1,4,1.7.A.1,1.7.A.4,Enterobacteriaceae,Enterobacteriaceae,22,734,0.326,0.158,0.312,0.154,0.014,0.004,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_4_1.tiff,D_T8_C1R7_5-95_4_1,161,161,0
C1R7,1,4,50,50,Transitivity_D,1,Competition exclusion,1,4,1.7.A.1,1.7.A.4,Enterobacteriaceae,Enterobacteriaceae,22,734,0.326,0.158,0.312,0.154,0.014,0.004,D,T8,transtivity-D/pairs/D_T8_C1R7_50-50_1_4.tiff,D_T8_C1R7_50-50_1_4,84,84,0
C1R7,1,4,95,5,Transitivity_D,1,Competition exclusion,1,4,1.7.A.1,1.7.A.4,Enterobacteriaceae,Enterobacteriaceae,22,734,0.326,0.158,0.312,0.154,0.014,0.004,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_1_4.tiff,D_T8_C1R7_5-95_1_4,105,105,0
C1R7,1,5,5,95,Transitivity_D,1,Competition exclusion,1,5,1.7.A.1,1.7.A.5,Enterobacteriaceae,Enterobacteriaceae,2,527,0.326,0.158,0.299,0.154,0.027,0.004,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_5_1.tiff,D_T8_C1R7_5-95_5_1,117,117,0
C1R7,1,5,50,50,Transitivity_D,1,Competition exclusion,1,5,1.7.A.1,1.7.A.5,Enterobacteriaceae,Enterobacteriaceae,2,527,0.326,0.158,0.299,0.154,0.027,0.004,D,T8,transtivity-D/pairs/D_T8_C1R7_50-50_1_5.tiff,D_T8_C1R7_50-50_1_5,88,88,0
C1R7,1,5,95,5,Transitivity_D,1,Competition exclusion,1,5,1.7.A.1,1.7.A.5,Enterobacteriaceae,Enterobacteriaceae,2,527,0.326,0.158,0.299,0.154,0.027,0.004,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_1_5.tiff,D_T8_C1R7_5-95_1_5,96,96,0
C1R7,1,6,5,95,Transitivity_D,1,Competition exclusion,1,6,1.7.A.1,1.7.B.3,Enterobacteriaceae,Enterobacteriaceae,7,545,0.326,0.158,0.249333333,0.121333333,0.076666667,0.036666667,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_6_1.tiff,D_T8_C1R7_5-95_6_1,151,151,0
C1R7,1,6,50,50,Transitivity_D,1,Competition exclusion,1,6,1.7.A.1,1.7.B.3,Enterobacteriaceae,Enterobacteriaceae,7,545,0.326,0.158,0.249333333,0.121333333,0.076666667,0.036666667,D,T8,transtivity-D/pairs/D_T8_C1R7_50-50_1_6.tiff,D_T8_C1R7_50-50_1_6,91,91,0
C1R7,1,6,95,5,Transitivity_D,1,Competition exclusion,1,6,1.7.A.1,1.7.B.3,Enterobacteriaceae,Enterobacteriaceae,7,545,0.326,0.158,0.249333333,0.121333333,0.076666667,0.036666667,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_1_6.tiff,D_T8_C1R7_5-95_1_6,137,137,0
C1R7,2,3,5,95,Transitivity_D,3,Competition exclusion,3,2,1.7.A.1.2,1.7.A.3,Pseudomonadaceae,Enterobacteriaceae,94,793,0.354,0.144666667,0.286333333,0.148,0.067666667,0.003333333,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_3_2.tiff,D_T8_C1R7_5-95_3_2,34,0,34
C1R7,2,3,50,50,Transitivity_D,3,Competition exclusion,3,2,1.7.A.1.2,1.7.A.3,Pseudomonadaceae,Enterobacteriaceae,94,793,0.354,0.144666667,0.286333333,0.148,0.067666667,0.003333333,D,T8,transtivity-D/pairs/D_T8_C1R7_50-50_2_3.tiff,D_T8_C1R7_50-50_2_3,49,0,49
C1R7,2,3,95,5,Transitivity_D,3,Competition exclusion,3,2,1.7.A.1.2,1.7.A.3,Pseudomonadaceae,Enterobacteriaceae,94,793,0.354,0.144666667,0.286333333,0.148,0.067666667,0.003333333,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_2_3.tiff,D_T8_C1R7_5-95_2_3,30,0,30
C1R7,2,4,5,95,Transitivity_D,4,Competition exclusion,4,2,1.7.A.1.2,1.7.A.4,Pseudomonadaceae,Enterobacteriaceae,108,886,0.354,0.144666667,0.312,0.154,0.042,0.009333333,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_4_2.tiff,D_T8_C1R7_5-95_4_2,139,0,139
C1R7,2,4,50,50,Transitivity_D,4,Competition exclusion,4,2,1.7.A.1.2,1.7.A.4,Pseudomonadaceae,Enterobacteriaceae,108,886,0.354,0.144666667,0.312,0.154,0.042,0.009333333,D,T8,transtivity-D/pairs/D_T8_C1R7_50-50_2_4.tiff,D_T8_C1R7_50-50_2_4,173,0,173
C1R7,2,4,95,5,Transitivity_D,4,Competition exclusion,4,2,1.7.A.1.2,1.7.A.4,Pseudomonadaceae,Enterobacteriaceae,108,886,0.354,0.144666667,0.312,0.154,0.042,0.009333333,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_2_4.tiff,D_T8_C1R7_5-95_2_4,131,0,131
C1R7,2,5,5,95,Transitivity_D,5,Competition exclusion,5,2,1.7.A.1.2,1.7.A.5,Pseudomonadaceae,Enterobacteriaceae,71,653,0.354,0.144666667,0.299,0.154,0.055,0.009333333,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_5_2.tiff,D_T8_C1R7_5-95_5_2,84,0,84
C1R7,2,5,50,50,Transitivity_D,5,Competition exclusion,5,2,1.7.A.1.2,1.7.A.5,Pseudomonadaceae,Enterobacteriaceae,71,653,0.354,0.144666667,0.299,0.154,0.055,0.009333333,D,T8,transtivity-D/pairs/D_T8_C1R7_50-50_2_5.tiff,D_T8_C1R7_50-50_2_5,34,0,34
C1R7,2,5,95,5,Transitivity_D,5,Competition exclusion,5,2,1.7.A.1.2,1.7.A.5,Pseudomonadaceae,Enterobacteriaceae,71,653,0.354,0.144666667,0.299,0.154,0.055,0.009333333,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_2_5.tiff,D_T8_C1R7_5-95_2_5,47,0,47
C1R7,2,6,5,95,Transitivity_D,6,Competition exclusion,6,2,1.7.A.1.2,1.7.B.3,Pseudomonadaceae,Enterobacteriaceae,76,653,0.354,0.144666667,0.249333333,0.121333333,0.104666667,0.023333333,D,T8,transtivity-D/pairs/D_T8_C1R7_5-95_6_2.tiff,D_T8_C1R7_5-95_6_2,41,0,41
C1R7,2,6,50,50,Transitivity_D,6,Competition exclusion,6,2,1.7.A.1.2,1.7.B.3,Pseudomonadaceae,Enterobacteriaceae,76,653,0.354,0.144666667,0.249333333,0.121333333,0.104666667,0.023333333,D,T8,transtivity-D/pairs/D_T8_C1R7_50-50_2_6.tiff,D_T8_C1R7_50-50_2_6,43,0,43
