Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Experiment,ColonyCount,ColonyCount1,ColonyCount2,Contamination
C1R7,1,6,95,5,Transitivity_D,137,137,0,FALSE
C1R7,1,7,5,95,Transitivity_D,128,18,110,FALSE
C1R7,1,7,50,50,Transitivity_D,133,38,95,FALSE
C1R7,1,7,95,5,Transitivity_D,135,58,77,FALSE
C1R7,2,3,5,95,Transitivity_D,34,0,34,FALSE
C1R7,2,3,50,50,Transitivity_D,49,0,49,FALSE
C1R7,2,3,95,5,Transitivity_D,30,0,30,FALSE
C1R7,2,4,5,95,Transitivity_D,139,0,139,FALSE
C1R7,2,4,50,50,Transitivity_D,173,0,173,FALSE
C1R7,2,4,95,5,Transitivity_D,131,0,131,FALSE
C1R7,2,5,5,95,Transitivity_D,84,0,84,FALSE
C1R7,2,5,50,50,Transitivity_D,34,0,34,FALSE
C1R7,2,5,95,5,Transitivity_D,47,0,47,FALSE
C1R7,2,6,5,95,Transitivity_D,41,0,41,FALSE
C1R7,2,6,50,50,Transitivity_D,43,0,43,FALSE
C1R7,2,6,95,5,Transitivity_D,60,0,60,FALSE
C1R7,2,7,5,95,Transitivity_D,103,0,103,FALSE
C1R7,2,7,50,50,Transitivity_D,105,0,105,FALSE
C1R7,2,7,95,5,Transitivity_D,128,0,128,FALSE
C1R7,3,4,5,95,Transitivity_D,127,0,127,FALSE
C1R7,3,4,50,50,Transitivity_D,95,0,95,FALSE
C1R7,3,4,95,5,Transitivity_D,84,24,60,FALSE
C1R7,3,5,5,95,Transitivity_D,36,9,27,FALSE
C1R7,3,5,50,50,Transitivity_D,35,12,23,FALSE
C1R7,3,5,95,5,Transitivity_D,28,11,17,FALSE
C1R7,3,6,5,95,Transitivity_D,56,26,30,FALSE
C1R7,3,6,50,50,Transitivity_D,35,15,20,FALSE
C1R7,3,6,95,5,Transitivity_D,53,26,27,FALSE
C1R7,3,7,5,95,Transitivity_D,116,0,116,FALSE
C1R7,3,7,50,50,Transitivity_D,145,0,145,FALSE
C1R7,3,7,95,5,Transitivity_D,69,0,69,FALSE
C1R7,4,5,5,95,Transitivity_D,80,43,37,FALSE
C1R7,4,5,50,50,Transitivity_D,143,141,2,FALSE
C1R7,4,5,95,5,Transitivity_D,169,169,0,FALSE
C1R7,4,6,5,95,Transitivity_D,129,129,0,FALSE
C1R7,4,6,50,50,Transitivity_D,145,145,0,FALSE
C1R7,4,6,95,5,Transitivity_D,178,178,0,FALSE
C1R7,4,7,5,95,Transitivity_D,146,0,146,FALSE
C1R7,4,7,50,50,Transitivity_D,140,0,140,FALSE
C1R7,4,7,95,5,Transitivity_D,131,0,131,FALSE
C1R7,5,6,5,95,Transitivity_D,56,0,56,FALSE
C1R7,5,6,50,50,Transitivity_D,49,24,25,FALSE
C1R7,5,6,95,5,Transitivity_D,56,29,27,FALSE
C1R7,5,7,5,95,Transitivity_D,117,0,117,FALSE
C1R7,5,7,50,50,Transitivity_D,140,0,140,FALSE
C1R7,5,7,95,5,Transitivity_D,123,0,123,FALSE
C1R7,6,7,5,95,Transitivity_D,128,0,128,FALSE
C1R7,6,7,50,50,Transitivity_D,144,0,144,FALSE
C1R7,6,7,95,5,Transitivity_D,145,0,145,FALSE
C2R6,1,2,5,95,Transitivity_B2,82,77,5,FALSE
C2R6,1,2,50,50,Transitivity_B2,48,48,0,FALSE
C2R6,1,2,95,5,Transitivity_B2,59,59,0,FALSE
C2R6,1,3,5,95,Transitivity_B2,,,,FALSE
C2R6,1,3,50,50,Transitivity_B2,,,,FALSE
C2R6,1,3,95,5,Transitivity_B2,,,,FALSE
C2R6,1,4,5,95,Transitivity_B2,26,0,26,FALSE
C2R6,1,4,50,50,Transitivity_B2,23,0,23,FALSE
C2R6,1,4,95,5,Transitivity_B2,38,38,0,FALSE
C2R6,2,3,5,95,Transitivity_B2,47,7,40,FALSE
C2R6,2,3,50,50,Transitivity_B2,101,3,98,FALSE
C2R6,2,3,95,5,Transitivity_B2,35,5,30,FALSE
C2R6,2,4,5,95,Transitivity_B2,51,25,26,FALSE
C2R6,2,4,50,50,Transitivity_B2,31,19,12,FALSE
C2R6,2,4,95,5,Transitivity_B2,21,18,3,FALSE
C2R6,3,4,5,95,Transitivity_B2,13,0,13,FALSE
C2R6,3,4,50,50,Transitivity_B2,14,0,14,FALSE
C2R6,3,4,95,5,Transitivity_B2,50,50,0,FALSE
C2R8,1,2,5,95,Transitivity_B2,30,1,29,FALSE
C2R8,1,2,50,50,Transitivity_B2,26,7,19,FALSE
C2R8,1,2,95,5,Transitivity_B2,52,48,4,FALSE
C2R8,1,3,5,95,Transitivity_B2,79,79,0,FALSE
C2R8,1,3,50,50,Transitivity_B2,63,63,0,FALSE
C2R8,1,3,95,5,Transitivity_B2,56,55,1,FALSE
C2R8,1,4,5,95,Transitivity_B2,48,48,0,FALSE
C2R8,1,4,50,50,Transitivity_B2,69,69,1,FALSE
C2R8,1,4,95,5,Transitivity_B2,86,85,1,FALSE
C2R8,2,3,5,95,Transitivity_B2,41,41,0,FALSE
C2R8,2,3,50,50,Transitivity_B2,37,37,0,FALSE
C2R8,2,3,95,5,Transitivity_B2,49,49,0,FALSE
C2R8,2,4,5,95,Transitivity_B2,34,34,0,FALSE
C2R8,2,4,50,50,Transitivity_B2,35,35,0,FALSE
C2R8,2,4,95,5,Transitivity_B2,40,40,0,FALSE
C2R8,3,4,5,95,Transitivity_B2,,,,FALSE
C2R8,3,4,50,50,Transitivity_B2,,,,FALSE
C2R8,3,4,95,5,Transitivity_B2,,,,FALSE
C4R1,1,2,5,95,Transitivity_D,164,0,164,FALSE
C4R1,1,2,50,50,Transitivity_D,134,133,1,FALSE
C4R1,1,2,95,5,Transitivity_D,70,65,5,FALSE
C4R1,1,3,5,95,Transitivity_D,,,,FALSE
C4R1,1,3,50,50,Transitivity_D,,,,FALSE
C4R1,1,3,95,5,Transitivity_D,,,,FALSE
C4R1,2,3,5,95,Transitivity_D,63,60,3,FALSE
C4R1,2,3,50,50,Transitivity_D,135,135,0,FALSE
C4R1,2,3,95,5,Transitivity_D,124,124,0,FALSE
C7R1,1,2,5,95,Transitivity_B2,131,131,0,FALSE
C7R1,1,2,50,50,Transitivity_B2,88,88,0,FALSE
C7R1,1,2,95,5,Transitivity_B2,127,127,0,FALSE
C7R1,1,3,5,95,Transitivity_B2,,,,FALSE
C7R1,1,3,50,50,Transitivity_B2,,,,FALSE
C7R1,1,3,95,5,Transitivity_B2,,,,FALSE
C7R1,1,4,5,95,Transitivity_B2,,,,FALSE
C7R1,1,4,50,50,Transitivity_B2,,,,FALSE
C7R1,1,4,95,5,Transitivity_B2,,,,FALSE
C7R1,2,3,5,95,Transitivity_B2,92,0,92,FALSE
C7R1,2,3,50,50,Transitivity_B2,58,0,58,FALSE
C7R1,2,3,95,5,Transitivity_B2,65,0,65,FALSE
C7R1,2,4,5,95,Transitivity_B2,137,0,137,FALSE
C7R1,2,4,50,50,Transitivity_B2,54,0,54,FALSE
C7R1,2,4,95,5,Transitivity_B2,138,0,138,FALSE
C7R1,3,4,5,95,Transitivity_B2,,,,FALSE
C7R1,3,4,50,50,Transitivity_B2,,,,FALSE
C7R1,3,4,95,5,Transitivity_B2,,,,FALSE
C8R4,1,2,5,95,Transitivity_B2,106,17,89,FALSE
C8R4,1,2,50,50,Transitivity_B2,222,41,181,FALSE
C8R4,1,2,95,5,Transitivity_B2,192,54,138,FALSE
C8R4,1,3,5,95,Transitivity_B2,,,,FALSE
C8R4,1,3,50,50,Transitivity_B2,,,,FALSE
C8R4,1,3,95,5,Transitivity_B2,,,,FALSE
C8R4,2,3,5,95,Transitivity_B2,126,101,25,FALSE
C8R4,2,3,50,50,Transitivity_B2,50,33,17,FALSE
C8R4,2,3,95,5,Transitivity_B2,124,92,32,FALSE
C10R2,1,2,5,95,Transitivity_B2,81,0,81,FALSE
C10R2,1,2,50,50,Transitivity_B2,95,0,95,FALSE
C10R2,1,2,95,5,Transitivity_B2,139,0,139,FALSE
C10R2,1,3,5,95,Transitivity_B2,30,30,0,FALSE
C10R2,1,3,50,50,Transitivity_B2,36,36,0,FALSE
C10R2,1,3,95,5,Transitivity_B2,13,13,0,FALSE
C10R2,2,3,5,95,Transitivity_B2,53,53,0,FALSE
C10R2,2,3,50,50,Transitivity_B2,109,108,1,FALSE
C10R2,2,3,95,5,Transitivity_B2,61,59,2,FALSE
C11R1,1,2,5,95,Transitivity_C,144,44,100,FALSE
C11R1,1,2,50,50,Transitivity_C,,,,FALSE
C11R1,1,2,95,5,Transitivity_C,180,88,92,FALSE
C11R1,1,3,5,95,Transitivity_C,47,47,0,FALSE
C11R1,1,3,50,50,Transitivity_C,,,,FALSE
C11R1,1,3,95,5,Transitivity_C,37,37,0,FALSE
C11R1,1,4,5,95,Transitivity_C,,,,FALSE
C11R1,1,4,50,50,Transitivity_C,,,,FALSE
C11R1,1,4,95,5,Transitivity_C,,,,FALSE
C11R1,1,5,5,95,Transitivity_C,200,0,200,FALSE
C11R1,1,5,50,50,Transitivity_C,80,10,70,FALSE
C11R1,1,5,95,5,Transitivity_C,60,7,53,FALSE
C11R1,1,6,5,95,Transitivity_C,198,198,0,FALSE
C11R1,1,6,50,50,Transitivity_C,52,3,49,FALSE
C11R1,1,6,95,5,Transitivity_C,98,6,92,FALSE
C11R1,1,7,5,95,Transitivity_C,103,7,96,FALSE
C11R1,1,7,50,50,Transitivity_C,112,1,111,FALSE
C11R1,1,7,95,5,Transitivity_C,68,4,64,FALSE
C11R1,1,8,5,95,Transitivity_C,134,32,102,FALSE
C11R1,1,8,50,50,Transitivity_C,197,4,193,FALSE
C11R1,1,8,95,5,Transitivity_C,103,15,88,FALSE
C11R1,1,9,5,95,Transitivity_C,80,1,79,FALSE
C11R1,1,9,50,50,Transitivity_C,77,1,76,FALSE
C11R1,1,9,95,5,Transitivity_C,56,5,51,FALSE
C11R1,2,3,5,95,Transitivity_B2,56,52,4,FALSE
C11R1,2,3,50,50,Transitivity_B2,55,55,0,FALSE
C11R1,2,3,95,5,Transitivity_B2,48,45,3,FALSE
C11R1,2,4,5,95,Transitivity_B2,46,11,35,FALSE
C11R1,2,4,50,50,Transitivity_B2,48,22,26,FALSE
C11R1,2,4,95,5,Transitivity_B2,35,16,19,FALSE
C11R1,2,5,5,95,Transitivity_B2,99,0,99,FALSE
C11R1,2,5,50,50,Transitivity_B2,76,0,76,FALSE
C11R1,2,5,95,5,Transitivity_B2,112,0,112,FALSE
C11R1,2,6,5,95,Transitivity_B2,86,0,86,FALSE
C11R1,2,6,50,50,Transitivity_B2,68,0,68,FALSE
C11R1,2,6,95,5,Transitivity_B2,75,0,75,FALSE
C11R1,2,7,5,95,Transitivity_B2,55,0,55,FALSE
C11R1,2,7,50,50,Transitivity_B2,52,0,52,FALSE
C11R1,2,7,95,5,Transitivity_B2,130,0,130,FALSE
C11R1,2,8,5,95,Transitivity_B2,,,,FALSE
C11R1,2,8,50,50,Transitivity_B2,,,,FALSE
C11R1,2,8,95,5,Transitivity_B2,,,,FALSE
C11R1,2,9,5,95,Transitivity_B2,,,,FALSE
C11R1,2,9,50,50,Transitivity_B2,,,,FALSE
C11R1,2,9,95,5,Transitivity_B2,,,,FALSE
C11R1,3,4,5,95,Transitivity_B2,25,7,18,FALSE
C11R1,3,4,50,50,Transitivity_B2,22,3,19,FALSE
C11R1,3,4,95,5,Transitivity_B2,8,2,6,FALSE
C11R1,3,5,5,95,Transitivity_B2,91,0,91,FALSE
C11R1,3,5,50,50,Transitivity_B2,69,0,69,FALSE
C11R1,3,5,95,5,Transitivity_B2,140,0,140,FALSE
C11R1,3,6,5,95,Transitivity_B2,87,0,87,FALSE
C11R1,3,6,50,50,Transitivity_B2,69,0,69,FALSE
C11R1,3,6,95,5,Transitivity_B2,83,0,83,FALSE
C11R1,3,7,5,95,Transitivity_B2,103,0,103,FALSE
C11R1,3,7,50,50,Transitivity_B2,61,0,61,FALSE
C11R1,3,7,95,5,Transitivity_B2,108,0,108,FALSE
C11R1,3,8,5,95,Transitivity_B2,57,2,55,FALSE
C11R1,3,8,50,50,Transitivity_B2,45,2,43,FALSE
C11R1,3,8,95,5,Transitivity_B2,34,2,32,FALSE
C11R1,3,9,5,95,Transitivity_B2,56,0,56,FALSE
C11R1,3,9,50,50,Transitivity_B2,44,1,43,FALSE
C11R1,3,9,95,5,Transitivity_B2,54,0,54,FALSE
C11R1,4,5,5,95,Transitivity_B2,103,0,103,FALSE
C11R1,4,5,50,50,Transitivity_B2,68,0,68,FALSE
C11R1,4,5,95,5,Transitivity_B2,120,0,120,FALSE
C11R1,4,6,5,95,Transitivity_B2,89,0,89,FALSE
C11R1,4,6,50,50,Transitivity_B2,54,0,54,FALSE
C11R1,4,6,95,5,Transitivity_B2,105,0,105,FALSE
C11R1,4,7,5,95,Transitivity_B2,75,0,75,FALSE
C11R1,4,7,50,50,Transitivity_B2,82,0,82,FALSE
C11R1,4,7,95,5,Transitivity_B2,114,0,114,FALSE
C11R1,4,8,5,95,Transitivity_B2,70,36,34,FALSE
C11R1,4,8,50,50,Transitivity_B2,52,35,17,FALSE
C11R1,4,8,95,5,Transitivity_B2,26,14,12,FALSE
C11R1,4,9,5,95,Transitivity_B2,32,32,0,FALSE
C11R1,4,9,50,50,Transitivity_B2,36,34,2,FALSE
C11R1,4,9,95,5,Transitivity_B2,48,48,0,FALSE
C11R1,5,6,5,95,Transitivity_B2,103,2,101,FALSE
C11R1,5,6,50,50,Transitivity_B2,79,10,69,FALSE
C11R1,5,6,95,5,Transitivity_B2,96,39,57,FALSE
C11R1,5,7,5,95,Transitivity_B2,97,0,97,FALSE
C11R1,5,7,50,50,Transitivity_B2,81,13,68,FALSE
C11R1,5,7,95,5,Transitivity_B2,132,55,77,FALSE
C11R1,5,8,5,95,Transitivity_B2,153,153,0,FALSE
C11R1,5,8,50,50,Transitivity_B2,123,123,0,FALSE
C11R1,5,8,95,5,Transitivity_B2,57,57,0,FALSE
C11R1,5,9,5,95,Transitivity_B2,127,127,0,FALSE
C11R1,5,9,50,50,Transitivity_B2,64,64,0,FALSE
C11R1,5,9,95,5,Transitivity_B2,92,92,0,FALSE
C11R1,6,7,5,95,Transitivity_B2,78,27,51,FALSE
C11R1,6,7,50,50,Transitivity_B2,53,19,34,FALSE
C11R1,6,7,95,5,Transitivity_B2,93,23,70,FALSE
C11R1,6,8,5,95,Transitivity_B2,125,125,0,FALSE
C11R1,6,8,50,50,Transitivity_B2,92,92,0,FALSE
C11R1,6,8,95,5,Transitivity_B2,83,83,0,FALSE
C11R1,6,9,5,95,Transitivity_B2,93,93,0,FALSE
C11R1,6,9,50,50,Transitivity_B2,71,71,0,FALSE
C11R1,6,9,95,5,Transitivity_B2,102,102,0,FALSE
C11R1,7,8,5,95,Transitivity_B2,95,95,0,FALSE
C11R1,7,8,50,50,Transitivity_B2,124,124,0,FALSE
C11R1,7,8,95,5,Transitivity_B2,62,62,0,FALSE
C11R1,7,9,5,95,Transitivity_B2,93,93,0,FALSE
C11R1,7,9,50,50,Transitivity_B2,73,73,0,FALSE
C11R1,7,9,95,5,Transitivity_B2,88,88,0,FALSE
C11R1,8,9,5,95,Transitivity_B2,,,,FALSE
C11R1,8,9,50,50,Transitivity_B2,1,1,0,FALSE
C11R1,8,9,95,5,Transitivity_B2,1,1,0,FALSE
C11R2,1,2,5,95,Transitivity_C2,55,39,16,FALSE
C11R2,1,2,50,50,Transitivity_C2,149,134,15,FALSE
C11R2,1,2,95,5,Transitivity_C2,107,104,3,FALSE
C11R2,1,3,5,95,Transitivity_C2,52,42,10,FALSE
C11R2,1,3,50,50,Transitivity_C2,68,68,0,FALSE
C11R2,1,3,95,5,Transitivity_C2,83,83,0,FALSE
C11R2,1,4,5,95,Transitivity_C2,121,0,121,FALSE
C11R2,1,4,50,50,Transitivity_C2,106,0,106,FALSE
C11R2,1,4,95,5,Transitivity_C2,68,0,68,FALSE
C11R2,1,5,5,95,Transitivity_C2,49,45,4,FALSE
C11R2,1,5,50,50,Transitivity_C2,27,27,0,FALSE
C11R2,1,5,95,5,Transitivity_C2,36,36,0,FALSE
C11R2,1,6,5,95,Transitivity_C2,126,4,122,FALSE
C11R2,1,6,50,50,Transitivity_C2,88,7,81,FALSE
C11R2,1,6,95,5,Transitivity_C2,135,25,110,FALSE
C11R2,1,7,5,95,Transitivity_C2,158,139,19,FALSE
C11R2,1,7,50,50,Transitivity_C2,54,54,0,FALSE
C11R2,1,7,95,5,Transitivity_C2,84,75,9,FALSE
C11R2,1,8,5,95,Transitivity_C2,174,154,20,FALSE
C11R2,1,8,50,50,Transitivity_C2,84,76,8,FALSE
C11R2,1,8,95,5,Transitivity_C2,78,62,16,FALSE
C11R2,1,9,5,95,Transitivity_C2,49,49,0,FALSE
C11R2,1,9,50,50,Transitivity_C2,30,30,0,FALSE
C11R2,1,9,95,5,Transitivity_C2,110,110,0,FALSE
C11R2,1,10,5,95,Transitivity_C2,36,36,0,FALSE
C11R2,1,10,50,50,Transitivity_C2,41,41,0,FALSE
C11R2,1,10,95,5,Transitivity_C2,26,26,0,FALSE
C11R2,1,11,5,95,Transitivity_C2,46,0,46,FALSE
C11R2,1,11,50,50,Transitivity_C2,81,0,81,FALSE
C11R2,1,11,95,5,Transitivity_C2,90,0,90,FALSE
C11R2,1,12,5,95,Transitivity_C2,38,38,0,FALSE
C11R2,1,12,50,50,Transitivity_C2,57,54,3,FALSE
C11R2,1,12,95,5,Transitivity_C2,51,49,2,FALSE
C11R2,2,3,5,95,Transitivity_C2,15,3,12,FALSE
C11R2,2,3,50,50,Transitivity_C2,18,3,15,FALSE
C11R2,2,3,95,5,Transitivity_C2,71,7,64,FALSE
C11R2,2,4,5,95,Transitivity_C2,101,0,101,FALSE
C11R2,2,4,50,50,Transitivity_C2,134,0,134,FALSE
C11R2,2,4,95,5,Transitivity_C2,78,0,78,FALSE
C11R2,2,5,5,95,Transitivity_C2,57,1,56,FALSE
C11R2,2,5,50,50,Transitivity_C2,28,1,27,FALSE
C11R2,2,5,95,5,Transitivity_C2,40,1,39,FALSE
C11R2,2,6,5,95,Transitivity_C2,101,0,101,FALSE
C11R2,2,6,50,50,Transitivity_C2,95,0,95,FALSE
C11R2,2,6,95,5,Transitivity_C2,88,0,88,FALSE
C11R2,2,7,5,95,Transitivity_C2,37,2,35,FALSE
C11R2,2,7,50,50,Transitivity_C2,13,2,11,FALSE
C11R2,2,7,95,5,Transitivity_C2,23,8,15,FALSE
C11R2,2,8,5,95,Transitivity_C2,,,,FALSE
C11R2,2,8,50,50,Transitivity_C2,,,,FALSE
C11R2,2,8,95,5,Transitivity_C2,,,,FALSE
C11R2,2,9,5,95,Transitivity_C2,291,176,115,FALSE
C11R2,2,9,50,50,Transitivity_C2,4,4,0,FALSE
C11R2,2,9,95,5,Transitivity_C2,5,5,0,FALSE
C11R2,2,10,5,95,Transitivity_C2,322,157,165,FALSE
C11R2,2,10,50,50,Transitivity_C2,0,0,0,FALSE
C11R2,2,10,95,5,Transitivity_C2,1,0,1,FALSE
C11R2,2,11,5,95,Transitivity_C2,63,0,63,FALSE
C11R2,2,11,50,50,Transitivity_C2,66,0,66,FALSE
C11R2,2,11,95,5,Transitivity_C2,79,0,79,FALSE
C11R2,2,12,5,95,Transitivity_C2,17,2,15,FALSE
C11R2,2,12,50,50,Transitivity_C2,18,7,11,FALSE
C11R2,2,12,95,5,Transitivity_C2,15,1,14,FALSE
C11R2,3,4,5,95,Transitivity_C2,134,0,134,FALSE
C11R2,3,4,50,50,Transitivity_C2,96,0,96,FALSE
C11R2,3,4,95,5,Transitivity_C2,68,0,68,FALSE
C11R2,3,5,5,95,Transitivity_C2,,,,TRUE
C11R2,3,5,50,50,Transitivity_C2,92,9,83,FALSE
C11R2,3,5,95,5,Transitivity_C2,51,14,37,FALSE
C11R2,3,6,5,95,Transitivity_C2,,,,TRUE
C11R2,3,6,50,50,Transitivity_C2,88,0,88,FALSE
C11R2,3,6,95,5,Transitivity_C2,68,0,68,FALSE
C11R2,3,7,5,95,Transitivity_C2,,,,FALSE
C11R2,3,7,50,50,Transitivity_C2,,,,FALSE
C11R2,3,7,95,5,Transitivity_C2,,,,FALSE
C11R2,3,8,5,95,Transitivity_C2,102,94,8,FALSE
C11R2,3,8,50,50,Transitivity_C2,33,33,0,FALSE
C11R2,3,8,95,5,Transitivity_C2,20,19,1,FALSE
C11R2,3,9,5,95,Transitivity_C2,43,43,0,FALSE
C11R2,3,9,50,50,Transitivity_C2,33,33,0,FALSE
C11R2,3,9,95,5,Transitivity_C2,39,39,0,FALSE
C11R2,3,10,5,95,Transitivity_C2,47,47,0,FALSE
C11R2,3,10,50,50,Transitivity_C2,19,19,0,FALSE
C11R2,3,10,95,5,Transitivity_C2,20,20,0,FALSE
C11R2,3,11,5,95,Transitivity_C2,41,0,41,FALSE
C11R2,3,11,50,50,Transitivity_C2,57,0,57,FALSE
C11R2,3,11,95,5,Transitivity_C2,51,0,51,FALSE
C11R2,3,12,5,95,Transitivity_C2,,,,FALSE
C11R2,3,12,50,50,Transitivity_C2,,,,FALSE
C11R2,3,12,95,5,Transitivity_C2,,,,FALSE
C11R2,4,5,5,95,Transitivity_C2,115,115,0,FALSE
C11R2,4,5,50,50,Transitivity_C2,56,56,0,FALSE
C11R2,4,5,95,5,Transitivity_C2,113,113,0,FALSE
C11R2,4,6,5,95,Transitivity_C2,105,105,0,FALSE
C11R2,4,6,50,50,Transitivity_C2,128,125,4,FALSE
C11R2,4,6,95,5,Transitivity_C2,87,87,0,FALSE
C11R2,4,7,5,95,Transitivity_C2,118,118,0,FALSE
C11R2,4,7,50,50,Transitivity_C2,83,83,0,FALSE
C11R2,4,7,95,5,Transitivity_C2,103,103,0,FALSE
C11R2,4,8,5,95,Transitivity_C2,90,90,0,FALSE
