Community,Randomization,Motif,CountMotif
C1R2,18,Motif4,1
C1R2,18,Motif5,1
C1R2,18,Motif6,1
C1R2,18,Motif7,0
C1R2,19,Motif1,0
C1R2,19,Motif2,1
C1R2,19,Motif3,0
C1R2,19,Motif4,2
C1R2,19,Motif5,0
C1R2,19,Motif6,1
C1R2,19,Motif7,0
C1R2,20,Motif1,0
C1R2,20,Motif2,1
C1R2,20,Motif3,0
C1R2,20,Motif4,2
C1R2,20,Motif5,0
C1R2,20,Motif6,1
C1R2,20,Motif7,0
C1R2,21,Motif1,0
C1R2,21,Motif2,1
C1R2,21,Motif3,0
C1R2,21,Motif4,0
C1R2,21,Motif5,2
C1R2,21,Motif6,1
C1R2,21,Motif7,0
C1R2,22,Motif1,0
C1R2,22,Motif2,0
C1R2,22,Motif3,1
C1R2,22,Motif4,2
C1R2,22,Motif5,1
C1R2,22,Motif6,0
C1R2,22,Motif7,0
C1R2,23,Motif1,0
C1R2,23,Motif2,0
C1R2,23,Motif3,2
C1R2,23,Motif4,0
C1R2,23,Motif5,2
C1R2,23,Motif6,0
C1R2,23,Motif7,0
C1R2,24,Motif1,1
C1R2,24,Motif2,0
C1R2,24,Motif3,1
C1R2,24,Motif4,1
C1R2,24,Motif5,0
C1R2,24,Motif6,1
C1R2,24,Motif7,0
C1R2,25,Motif1,0
C1R2,25,Motif2,1
C1R2,25,Motif3,0
C1R2,25,Motif4,0
C1R2,25,Motif5,2
C1R2,25,Motif6,1
C1R2,25,Motif7,0
C1R2,26,Motif1,1
C1R2,26,Motif2,0
C1R2,26,Motif3,1
C1R2,26,Motif4,1
C1R2,26,Motif5,0
C1R2,26,Motif6,1
C1R2,26,Motif7,0
C1R2,27,Motif1,0
C1R2,27,Motif2,1
C1R2,27,Motif3,0
C1R2,27,Motif4,0
C1R2,27,Motif5,2
C1R2,27,Motif6,1
C1R2,27,Motif7,0
C1R2,28,Motif1,0
C1R2,28,Motif2,1
C1R2,28,Motif3,0
C1R2,28,Motif4,0
C1R2,28,Motif5,2
C1R2,28,Motif6,1
C1R2,28,Motif7,0
C1R2,29,Motif1,0
C1R2,29,Motif2,1
C1R2,29,Motif3,0
C1R2,29,Motif4,1
C1R2,29,Motif5,1
C1R2,29,Motif6,1
C1R2,29,Motif7,0
C1R2,30,Motif1,1
C1R2,30,Motif2,0
C1R2,30,Motif3,1
C1R2,30,Motif4,1
C1R2,30,Motif5,0
C1R2,30,Motif6,1
C1R2,30,Motif7,0
C1R2,31,Motif1,0
C1R2,31,Motif2,1
C1R2,31,Motif3,0
C1R2,31,Motif4,1
C1R2,31,Motif5,1
C1R2,31,Motif6,1
C1R2,31,Motif7,0
C1R2,32,Motif1,0
C1R2,32,Motif2,1
C1R2,32,Motif3,2
C1R2,32,Motif4,0
C1R2,32,Motif5,0
C1R2,32,Motif6,1
C1R2,32,Motif7,0
C1R2,33,Motif1,0
C1R2,33,Motif2,1
C1R2,33,Motif3,0
C1R2,33,Motif4,1
C1R2,33,Motif5,1
C1R2,33,Motif6,1
C1R2,33,Motif7,0
C1R2,34,Motif1,0
C1R2,34,Motif2,0
C1R2,34,Motif3,1
C1R2,34,Motif4,2
C1R2,34,Motif5,1
C1R2,34,Motif6,0
C1R2,34,Motif7,0
C1R2,35,Motif1,0
C1R2,35,Motif2,1
C1R2,35,Motif3,0
C1R2,35,Motif4,1
C1R2,35,Motif5,1
C1R2,35,Motif6,1
C1R2,35,Motif7,0
C1R2,36,Motif1,0
C1R2,36,Motif2,1
C1R2,36,Motif3,0
C1R2,36,Motif4,2
C1R2,36,Motif5,0
C1R2,36,Motif6,1
C1R2,36,Motif7,0
C1R2,37,Motif1,0
C1R2,37,Motif2,1
C1R2,37,Motif3,0
C1R2,37,Motif4,1
C1R2,37,Motif5,1
C1R2,37,Motif6,1
C1R2,37,Motif7,0
C1R2,38,Motif1,0
C1R2,38,Motif2,0
C1R2,38,Motif3,0
C1R2,38,Motif4,4
C1R2,38,Motif5,0
C1R2,38,Motif6,0
C1R2,38,Motif7,0
C1R2,39,Motif1,0
C1R2,39,Motif2,0
C1R2,39,Motif3,1
C1R2,39,Motif4,2
C1R2,39,Motif5,1
C1R2,39,Motif6,0
C1R2,39,Motif7,0
C1R2,40,Motif1,1
C1R2,40,Motif2,0
C1R2,40,Motif3,1
C1R2,40,Motif4,1
C1R2,40,Motif5,0
C1R2,40,Motif6,1
C1R2,40,Motif7,0
C1R2,41,Motif1,0
C1R2,41,Motif2,1
C1R2,41,Motif3,0
C1R2,41,Motif4,0
C1R2,41,Motif5,2
C1R2,41,Motif6,1
C1R2,41,Motif7,0
C1R2,42,Motif1,1
C1R2,42,Motif2,0
C1R2,42,Motif3,0
C1R2,42,Motif4,1
C1R2,42,Motif5,1
C1R2,42,Motif6,1
C1R2,42,Motif7,0
C1R2,43,Motif1,0
C1R2,43,Motif2,1
C1R2,43,Motif3,1
C1R2,43,Motif4,1
C1R2,43,Motif5,0
C1R2,43,Motif6,1
C1R2,43,Motif7,0
C1R2,44,Motif1,0
C1R2,44,Motif2,1
C1R2,44,Motif3,0
C1R2,44,Motif4,1
C1R2,44,Motif5,1
C1R2,44,Motif6,1
C1R2,44,Motif7,0
C1R2,45,Motif1,0
C1R2,45,Motif2,0
C1R2,45,Motif3,1
C1R2,45,Motif4,2
C1R2,45,Motif5,1
C1R2,45,Motif6,0
C1R2,45,Motif7,0
C1R2,46,Motif1,0
C1R2,46,Motif2,1
C1R2,46,Motif3,0
C1R2,46,Motif4,2
C1R2,46,Motif5,0
C1R2,46,Motif6,1
C1R2,46,Motif7,0
C1R2,47,Motif1,0
C1R2,47,Motif2,1
C1R2,47,Motif3,0
C1R2,47,Motif4,2
C1R2,47,Motif5,0
C1R2,47,Motif6,1
C1R2,47,Motif7,0
C1R2,48,Motif1,1
C1R2,48,Motif2,0
C1R2,48,Motif3,0
C1R2,48,Motif4,1
C1R2,48,Motif5,1
C1R2,48,Motif6,1
C1R2,48,Motif7,0
C1R2,49,Motif1,0
C1R2,49,Motif2,1
C1R2,49,Motif3,0
C1R2,49,Motif4,2
C1R2,49,Motif5,0
C1R2,49,Motif6,1
C1R2,49,Motif7,0
C1R2,50,Motif1,0
C1R2,50,Motif2,0
C1R2,50,Motif3,2
C1R2,50,Motif4,0
C1R2,50,Motif5,2
C1R2,50,Motif6,0
C1R2,50,Motif7,0
C1R2,51,Motif1,1
C1R2,51,Motif2,0
C1R2,51,Motif3,1
C1R2,51,Motif4,1
C1R2,51,Motif5,0
C1R2,51,Motif6,1
C1R2,51,Motif7,0
C1R2,52,Motif1,0
C1R2,52,Motif2,1
C1R2,52,Motif3,1
C1R2,52,Motif4,1
C1R2,52,Motif5,0
C1R2,52,Motif6,1
C1R2,52,Motif7,0
C1R2,53,Motif1,0
C1R2,53,Motif2,1
C1R2,53,Motif3,0
C1R2,53,Motif4,2
C1R2,53,Motif5,0
C1R2,53,Motif6,1
C1R2,53,Motif7,0
C1R2,54,Motif1,0
C1R2,54,Motif2,1
C1R2,54,Motif3,2
C1R2,54,Motif4,0
C1R2,54,Motif5,0
C1R2,54,Motif6,1
C1R2,54,Motif7,0
C1R2,55,Motif1,0
C1R2,55,Motif2,1
C1R2,55,Motif3,1
C1R2,55,Motif4,1
C1R2,55,Motif5,0
C1R2,55,Motif6,1
C1R2,55,Motif7,0
C1R2,56,Motif1,0
C1R2,56,Motif2,1
C1R2,56,Motif3,0
C1R2,56,Motif4,1
C1R2,56,Motif5,1
C1R2,56,Motif6,1
C1R2,56,Motif7,0
C1R2,57,Motif1,0
C1R2,57,Motif2,1
C1R2,57,Motif3,0
C1R2,57,Motif4,2
C1R2,57,Motif5,0
C1R2,57,Motif6,1
C1R2,57,Motif7,0
C1R2,58,Motif1,0
C1R2,58,Motif2,1
C1R2,58,Motif3,0
C1R2,58,Motif4,0
C1R2,58,Motif5,2
C1R2,58,Motif6,1
C1R2,58,Motif7,0
C1R2,59,Motif1,1
C1R2,59,Motif2,0
C1R2,59,Motif3,1
C1R2,59,Motif4,1
C1R2,59,Motif5,0
C1R2,59,Motif6,1
C1R2,59,Motif7,0
C1R2,60,Motif1,1
C1R2,60,Motif2,0
C1R2,60,Motif3,0
C1R2,60,Motif4,1
C1R2,60,Motif5,1
C1R2,60,Motif6,1
C1R2,60,Motif7,0
C1R2,61,Motif1,0
C1R2,61,Motif2,1
C1R2,61,Motif3,2
C1R2,61,Motif4,0
C1R2,61,Motif5,0
C1R2,61,Motif6,1
C1R2,61,Motif7,0
C1R2,62,Motif1,0
C1R2,62,Motif2,1
C1R2,62,Motif3,0
C1R2,62,Motif4,2
C1R2,62,Motif5,0
C1R2,62,Motif6,1
C1R2,62,Motif7,0
C1R2,63,Motif1,0
C1R2,63,Motif2,0
C1R2,63,Motif3,1
C1R2,63,Motif4,2
C1R2,63,Motif5,1
C1R2,63,Motif6,0
C1R2,63,Motif7,0
C1R2,64,Motif1,0
C1R2,64,Motif2,1
C1R2,64,Motif3,0
C1R2,64,Motif4,2
C1R2,64,Motif5,0
C1R2,64,Motif6,1
C1R2,64,Motif7,0
C1R2,65,Motif1,0
C1R2,65,Motif2,1
C1R2,65,Motif3,0
C1R2,65,Motif4,1
C1R2,65,Motif5,1
C1R2,65,Motif6,1
C1R2,65,Motif7,0
C1R2,66,Motif1,1
C1R2,66,Motif2,0
C1R2,66,Motif3,1
C1R2,66,Motif4,1
C1R2,66,Motif5,0
C1R2,66,Motif6,1
C1R2,66,Motif7,0
C1R2,67,Motif1,1
C1R2,67,Motif2,0
C1R2,67,Motif3,0
C1R2,67,Motif4,1
C1R2,67,Motif5,1
C1R2,67,Motif6,1
C1R2,67,Motif7,0
C1R2,68,Motif1,0
C1R2,68,Motif2,1
C1R2,68,Motif3,0
C1R2,68,Motif4,0
C1R2,68,Motif5,2
C1R2,68,Motif6,1
C1R2,68,Motif7,0
C1R2,69,Motif1,1
C1R2,69,Motif2,0
C1R2,69,Motif3,0
C1R2,69,Motif4,1
C1R2,69,Motif5,1
C1R2,69,Motif6,1
C1R2,69,Motif7,0
C1R2,70,Motif1,0
C1R2,70,Motif2,1
C1R2,70,Motif3,2
C1R2,70,Motif4,0
C1R2,70,Motif5,0
C1R2,70,Motif6,1
C1R2,70,Motif7,0
C1R2,71,Motif1,0
C1R2,71,Motif2,0
C1R2,71,Motif3,1
C1R2,71,Motif4,2
C1R2,71,Motif5,1
C1R2,71,Motif6,0
C1R2,71,Motif7,0
C1R2,72,Motif1,0
C1R2,72,Motif2,1
C1R2,72,Motif3,1
C1R2,72,Motif4,1
C1R2,72,Motif5,0
C1R2,72,Motif6,1
C1R2,72,Motif7,0
C1R2,73,Motif1,0
C1R2,73,Motif2,1
C1R2,73,Motif3,0
C1R2,73,Motif4,2
C1R2,73,Motif5,0
C1R2,73,Motif6,1
C1R2,73,Motif7,0
C1R2,74,Motif1,0
C1R2,74,Motif2,1
C1R2,74,Motif3,0
C1R2,74,Motif4,2
C1R2,74,Motif5,0
C1R2,74,Motif6,1
C1R2,74,Motif7,0
C1R2,75,Motif1,0
C1R2,75,Motif2,1
C1R2,75,Motif3,1
C1R2,75,Motif4,1
C1R2,75,Motif5,0
C1R2,75,Motif6,1
C1R2,75,Motif7,0
C1R2,76,Motif1,1
C1R2,76,Motif2,0
C1R2,76,Motif3,0
C1R2,76,Motif4,1
C1R2,76,Motif5,1
C1R2,76,Motif6,1
C1R2,76,Motif7,0
C1R2,77,Motif1,0
C1R2,77,Motif2,0
C1R2,77,Motif3,1
C1R2,77,Motif4,2
C1R2,77,Motif5,1
C1R2,77,Motif6,0
C1R2,77,Motif7,0
C1R2,78,Motif1,0
C1R2,78,Motif2,1
C1R2,78,Motif3,2
C1R2,78,Motif4,0
C1R2,78,Motif5,0
C1R2,78,Motif6,1
C1R2,78,Motif7,0
C1R2,79,Motif1,0
C1R2,79,Motif2,1
C1R2,79,Motif3,0
C1R2,79,Motif4,0
C1R2,79,Motif5,2
C1R2,79,Motif6,1
C1R2,79,Motif7,0
C1R2,80,Motif1,0
C1R2,80,Motif2,1
C1R2,80,Motif3,0
C1R2,80,Motif4,0
C1R2,80,Motif5,2
C1R2,80,Motif6,1
C1R2,80,Motif7,0
C1R2,81,Motif1,0
C1R2,81,Motif2,1
C1R2,81,Motif3,0
C1R2,81,Motif4,0
C1R2,81,Motif5,2
C1R2,81,Motif6,1
C1R2,81,Motif7,0
C1R2,82,Motif1,1
C1R2,82,Motif2,0
C1R2,82,Motif3,0
C1R2,82,Motif4,1
C1R2,82,Motif5,1
C1R2,82,Motif6,1
C1R2,82,Motif7,0
C1R2,83,Motif1,0
C1R2,83,Motif2,1
C1R2,83,Motif3,1
C1R2,83,Motif4,1
C1R2,83,Motif5,0
C1R2,83,Motif6,1
C1R2,83,Motif7,0
C1R2,84,Motif1,1
C1R2,84,Motif2,0
C1R2,84,Motif3,0
C1R2,84,Motif4,1
C1R2,84,Motif5,1
C1R2,84,Motif6,1
C1R2,84,Motif7,0
C1R2,85,Motif1,0
C1R2,85,Motif2,1
C1R2,85,Motif3,0
C1R2,85,Motif4,1
C1R2,85,Motif5,1
C1R2,85,Motif6,1
C1R2,85,Motif7,0
C1R2,86,Motif1,1
C1R2,86,Motif2,0
C1R2,86,Motif3,0
C1R2,86,Motif4,1
C1R2,86,Motif5,1
C1R2,86,Motif6,1
C1R2,86,Motif7,0
C1R2,87,Motif1,0
C1R2,87,Motif2,0
C1R2,87,Motif3,2
C1R2,87,Motif4,0
C1R2,87,Motif5,2
C1R2,87,Motif6,0
C1R2,87,Motif7,0
C1R2,88,Motif1,0
C1R2,88,Motif2,1
C1R2,88,Motif3,0
C1R2,88,Motif4,2
C1R2,88,Motif5,0
C1R2,88,Motif6,1
C1R2,88,Motif7,0
C1R2,89,Motif1,0
C1R2,89,Motif2,1
C1R2,89,Motif3,0
C1R2,89,Motif4,2
C1R2,89,Motif5,0
C1R2,89,Motif6,1
C1R2,89,Motif7,0
C1R2,90,Motif1,0
C1R2,90,Motif2,1
C1R2,90,Motif3,1
C1R2,90,Motif4,1
C1R2,90,Motif5,0
C1R2,90,Motif6,1
C1R2,90,Motif7,0
C1R2,91,Motif1,0
C1R2,91,Motif2,0
C1R2,91,Motif3,0
C1R2,91,Motif4,4
C1R2,91,Motif5,0
C1R2,91,Motif6,0
C1R2,91,Motif7,0
C1R2,92,Motif1,0
C1R2,92,Motif2,1
C1R2,92,Motif3,0
C1R2,92,Motif4,2
C1R2,92,Motif5,0
C1R2,92,Motif6,1
C1R2,92,Motif7,0
C1R2,93,Motif1,1
C1R2,93,Motif2,0
C1R2,93,Motif3,1
C1R2,93,Motif4,1
C1R2,93,Motif5,0
C1R2,93,Motif6,1
C1R2,93,Motif7,0
C1R2,94,Motif1,1
C1R2,94,Motif2,0
C1R2,94,Motif3,1
C1R2,94,Motif4,1
C1R2,94,Motif5,0
C1R2,94,Motif6,1
C1R2,94,Motif7,0
C1R2,95,Motif1,0
C1R2,95,Motif2,1
C1R2,95,Motif3,0
C1R2,95,Motif4,2
C1R2,95,Motif5,0
C1R2,95,Motif6,1
C1R2,95,Motif7,0
C1R2,96,Motif1,0
C1R2,96,Motif2,1
C1R2,96,Motif3,0
C1R2,96,Motif4,2
C1R2,96,Motif5,0
C1R2,96,Motif6,1
C1R2,96,Motif7,0
C1R2,97,Motif1,0
C1R2,97,Motif2,0
C1R2,97,Motif3,2
C1R2,97,Motif4,0
C1R2,97,Motif5,2
C1R2,97,Motif6,0
C1R2,97,Motif7,0
C1R2,98,Motif1,0
C1R2,98,Motif2,1
C1R2,98,Motif3,0
C1R2,98,Motif4,2
C1R2,98,Motif5,0
C1R2,98,Motif6,1
C1R2,98,Motif7,0
C1R2,99,Motif1,0
C1R2,99,Motif2,1
C1R2,99,Motif3,0
C1R2,99,Motif4,2
C1R2,99,Motif5,0
C1R2,99,Motif6,1
C1R2,99,Motif7,0
C1R2,100,Motif1,1
C1R2,100,Motif2,0
C1R2,100,Motif3,0
C1R2,100,Motif4,1
C1R2,100,Motif5,1
C1R2,100,Motif6,1
C1R2,100,Motif7,0
C1R2,101,Motif1,0
C1R2,101,Motif2,1
C1R2,101,Motif3,2
C1R2,101,Motif4,0
C1R2,101,Motif5,0
C1R2,101,Motif6,1
C1R2,101,Motif7,0
C1R2,102,Motif1,1
C1R2,102,Motif2,0
C1R2,102,Motif3,1
C1R2,102,Motif4,1
C1R2,102,Motif5,0
C1R2,102,Motif6,1
C1R2,102,Motif7,0
C1R2,103,Motif1,0
C1R2,103,Motif2,1
C1R2,103,Motif3,0
C1R2,103,Motif4,1
C1R2,103,Motif5,1
C1R2,103,Motif6,1
C1R2,103,Motif7,0
C1R2,104,Motif1,1
C1R2,104,Motif2,0
C1R2,104,Motif3,1
C1R2,104,Motif4,1
C1R2,104,Motif5,0
C1R2,104,Motif6,1
C1R2,104,Motif7,0
C1R2,105,Motif1,0
C1R2,105,Motif2,1
C1R2,105,Motif3,0
C1R2,105,Motif4,0
C1R2,105,Motif5,2
C1R2,105,Motif6,1
C1R2,105,Motif7,0
C1R2,106,Motif1,0
C1R2,106,Motif2,1
C1R2,106,Motif3,1
C1R2,106,Motif4,1
C1R2,106,Motif5,0
C1R2,106,Motif6,1
C1R2,106,Motif7,0
C1R2,107,Motif1,0
C1R2,107,Motif2,1
C1R2,107,Motif3,0
C1R2,107,Motif4,2
C1R2,107,Motif5,0
C1R2,107,Motif6,1
C1R2,107,Motif7,0
C1R2,108,Motif1,1
C1R2,108,Motif2,0
C1R2,108,Motif3,1
C1R2,108,Motif4,1
C1R2,108,Motif5,0
C1R2,108,Motif6,1
C1R2,108,Motif7,0
C1R2,109,Motif1,1
C1R2,109,Motif2,0
C1R2,109,Motif3,1
C1R2,109,Motif4,1
C1R2,109,Motif5,0
C1R2,109,Motif6,1
C1R2,109,Motif7,0
C1R2,110,Motif1,0
C1R2,110,Motif2,0
C1R2,110,Motif3,1
C1R2,110,Motif4,2
C1R2,110,Motif5,1
C1R2,110,Motif6,0
C1R2,110,Motif7,0
C1R2,111,Motif1,1
C1R2,111,Motif2,0
C1R2,111,Motif3,1
C1R2,111,Motif4,1
C1R2,111,Motif5,0
C1R2,111,Motif6,1
C1R2,111,Motif7,0
C1R2,112,Motif1,1
C1R2,112,Motif2,0
C1R2,112,Motif3,0
C1R2,112,Motif4,1
C1R2,112,Motif5,1
C1R2,112,Motif6,1
C1R2,112,Motif7,0
C1R2,113,Motif1,1
C1R2,113,Motif2,0
C1R2,113,Motif3,1
C1R2,113,Motif4,1
C1R2,113,Motif5,0
C1R2,113,Motif6,1
C1R2,113,Motif7,0
C1R2,114,Motif1,0
C1R2,114,Motif2,1
C1R2,114,Motif3,2
C1R2,114,Motif4,0
C1R2,114,Motif5,0
C1R2,114,Motif6,1
C1R2,114,Motif7,0
C1R2,115,Motif1,0
C1R2,115,Motif2,1
C1R2,115,Motif3,0
C1R2,115,Motif4,2
C1R2,115,Motif5,0
C1R2,115,Motif6,1
C1R2,115,Motif7,0
C1R2,116,Motif1,0
C1R2,116,Motif2,1
C1R2,116,Motif3,0
C1R2,116,Motif4,2
C1R2,116,Motif5,0
C1R2,116,Motif6,1
C1R2,116,Motif7,0
C1R2,117,Motif1,0
C1R2,117,Motif2,0
C1R2,117,Motif3,2
C1R2,117,Motif4,0
C1R2,117,Motif5,2
C1R2,117,Motif6,0
C1R2,117,Motif7,0
C1R2,118,Motif1,0
C1R2,118,Motif2,1
C1R2,118,Motif3,2
C1R2,118,Motif4,0
C1R2,118,Motif5,0
C1R2,118,Motif6,1
C1R2,118,Motif7,0
C1R2,119,Motif1,0
C1R2,119,Motif2,1
C1R2,119,Motif3,1
C1R2,119,Motif4,1
C1R2,119,Motif5,0
C1R2,119,Motif6,1
C1R2,119,Motif7,0
C1R2,120,Motif1,0
C1R2,120,Motif2,1
C1R2,120,Motif3,2
C1R2,120,Motif4,0
C1R2,120,Motif5,0
C1R2,120,Motif6,1
C1R2,120,Motif7,0
C1R2,121,Motif1,0
C1R2,121,Motif2,1
C1R2,121,Motif3,0
C1R2,121,Motif4,2
C1R2,121,Motif5,0
C1R2,121,Motif6,1
C1R2,121,Motif7,0
C1R2,122,Motif1,0
C1R2,122,Motif2,1
C1R2,122,Motif3,0
C1R2,122,Motif4,2
C1R2,122,Motif5,0
C1R2,122,Motif6,1
C1R2,122,Motif7,0
C1R2,123,Motif1,0
C1R2,123,Motif2,1
C1R2,123,Motif3,0
C1R2,123,Motif4,0
C1R2,123,Motif5,2
C1R2,123,Motif6,1
C1R2,123,Motif7,0
C1R2,124,Motif1,0
C1R2,124,Motif2,0
C1R2,124,Motif3,1
C1R2,124,Motif4,2
C1R2,124,Motif5,1
C1R2,124,Motif6,0
C1R2,124,Motif7,0
C1R2,125,Motif1,1
C1R2,125,Motif2,0
C1R2,125,Motif3,1
C1R2,125,Motif4,1
C1R2,125,Motif5,0
C1R2,125,Motif6,1
C1R2,125,Motif7,0
C1R2,126,Motif1,1
C1R2,126,Motif2,0
C1R2,126,Motif3,1
C1R2,126,Motif4,1
C1R2,126,Motif5,0
C1R2,126,Motif6,1
C1R2,126,Motif7,0
C1R2,127,Motif1,1
C1R2,127,Motif2,0
C1R2,127,Motif3,1
C1R2,127,Motif4,1
C1R2,127,Motif5,0
C1R2,127,Motif6,1
C1R2,127,Motif7,0
C1R2,128,Motif1,0
C1R2,128,Motif2,1
C1R2,128,Motif3,0
C1R2,128,Motif4,2
C1R2,128,Motif5,0
C1R2,128,Motif6,1
C1R2,128,Motif7,0
C1R2,129,Motif1,0
C1R2,129,Motif2,1
C1R2,129,Motif3,1
C1R2,129,Motif4,1
C1R2,129,Motif5,0
C1R2,129,Motif6,1
C1R2,129,Motif7,0
C1R2,130,Motif1,0
C1R2,130,Motif2,1
C1R2,130,Motif3,0
C1R2,130,Motif4,1
C1R2,130,Motif5,1
C1R2,130,Motif6,1
C1R2,130,Motif7,0
C1R2,131,Motif1,0
C1R2,131,Motif2,0
C1R2,131,Motif3,0
C1R2,131,Motif4,4
C1R2,131,Motif5,0
C1R2,131,Motif6,0
C1R2,131,Motif7,0
C1R2,132,Motif1,1
C1R2,132,Motif2,0
C1R2,132,Motif3,1
C1R2,132,Motif4,1
C1R2,132,Motif5,0
C1R2,132,Motif6,1
C1R2,132,Motif7,0
C1R2,133,Motif1,0
C1R2,133,Motif2,0
C1R2,133,Motif3,1
C1R2,133,Motif4,2
C1R2,133,Motif5,1
C1R2,133,Motif6,0
C1R2,133,Motif7,0
C1R2,134,Motif1,1
C1R2,134,Motif2,0
C1R2,134,Motif3,1
C1R2,134,Motif4,1
C1R2,134,Motif5,0
C1R2,134,Motif6,1
C1R2,134,Motif7,0
C1R2,135,Motif1,0
C1R2,135,Motif2,0
C1R2,135,Motif3,1
C1R2,135,Motif4,2
C1R2,135,Motif5,1
C1R2,135,Motif6,0
C1R2,135,Motif7,0
C1R2,136,Motif1,0
C1R2,136,Motif2,1
C1R2,136,Motif3,1
C1R2,136,Motif4,1
C1R2,136,Motif5,0
C1R2,136,Motif6,1
C1R2,136,Motif7,0
C1R2,137,Motif1,0
C1R2,137,Motif2,1
C1R2,137,Motif3,1
C1R2,137,Motif4,1
C1R2,137,Motif5,0
C1R2,137,Motif6,1
C1R2,137,Motif7,0
C1R2,138,Motif1,1
C1R2,138,Motif2,0
C1R2,138,Motif3,1
C1R2,138,Motif4,1
C1R2,138,Motif5,0
C1R2,138,Motif6,1
C1R2,138,Motif7,0
C1R2,139,Motif1,1
C1R2,139,Motif2,0
C1R2,139,Motif3,1
C1R2,139,Motif4,1
C1R2,139,Motif5,0
C1R2,139,Motif6,1
C1R2,139,Motif7,0
C1R2,140,Motif1,1
C1R2,140,Motif2,0
C1R2,140,Motif3,1
C1R2,140,Motif4,1
C1R2,140,Motif5,0
C1R2,140,Motif6,1
C1R2,140,Motif7,0
C1R2,141,Motif1,0
C1R2,141,Motif2,1
C1R2,141,Motif3,0
C1R2,141,Motif4,2
C1R2,141,Motif5,0
C1R2,141,Motif6,1
C1R2,141,Motif7,0
C1R2,142,Motif1,0
C1R2,142,Motif2,1
C1R2,142,Motif3,0
C1R2,142,Motif4,1
C1R2,142,Motif5,1
C1R2,142,Motif6,1
C1R2,142,Motif7,0
C1R2,143,Motif1,0
C1R2,143,Motif2,1
C1R2,143,Motif3,1
