Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Time,Isolate1CFUFreq,ErrorIsolate1CFUFreq,RawDataType,Family1,Family2,Genus1,Genus2,Fermenter1,Fermenter2
C11R1,1,8,50,50,T8,0.0203045685279188,0.00995258623241626,CFU,Pseudomonadaceae,Alcaligenaceae,Pseudomonas,Achromobacter,FALSE,FALSE
C11R1,1,9,50,50,T8,0.012987012987013,0.0129024061385767,CFU,Pseudomonadaceae,Comamonadaceae,Pseudomonas,Delftia,FALSE,FALSE
C11R1,2,4,50,50,T8,0.458333333333333,0.0529762862687515,CFU,Alcaligenaceae,Enterobacteriaceae,Achromobacter,Pantoea,FALSE,TRUE
C11R1,3,4,50,50,T8,0.136363636363636,0.068587573027677,CFU,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Pantoea,FALSE,TRUE
C11R1,3,8,50,50,T8,0.0444444444444444,0.0302043035720949,CFU,Moraxellaceae,Alcaligenaceae,Acinetobacter,Achromobacter,FALSE,FALSE
C11R1,3,9,50,50,T8,0.0227272727272727,0.0224675239369128,CFU,Moraxellaceae,Comamonadaceae,Acinetobacter,Delftia,FALSE,FALSE
C11R1,4,8,50,50,T8,0.673076923076923,0.0372255311602415,CFU,Enterobacteriaceae,Alcaligenaceae,Pantoea,Achromobacter,TRUE,FALSE
C11R1,4,9,50,50,T8,0.944444444444444,0.00906430565159778,CFU,Enterobacteriaceae,Comamonadaceae,Pantoea,Delftia,TRUE,FALSE
C11R1,5,6,50,50,T8,0.126582278481013,0.0349872160212247,CFU,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,TRUE,TRUE
C11R1,5,7,50,50,T8,0.160493827160494,0.0373900506911625,CFU,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,TRUE,TRUE
C11R1,6,7,50,50,T8,0.358490566037736,0.0528007218191721,CFU,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Raoultella,TRUE,TRUE
C11R2,1,2,50,50,T8,0.899328859060403,0.0078231044363836,CFU,Aeromonadaceae,Moraxellaceae,Aeromonas,Acinetobacter,TRUE,FALSE
C11R2,1,6,50,50,T8,0.0795454545454545,0.0276981863611356,CFU,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter,TRUE,TRUE
C11R2,1,8,50,50,T8,0.904761904761905,0.00989224964093829,CFU,Aeromonadaceae,Moraxellaceae,Aeromonas,Acinetobacter,TRUE,FALSE
C11R2,1,12,50,50,T8,0.947368421052632,0.00680620018082363,CFU,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter,TRUE,TRUE
C11R2,2,3,50,50,T8,0.166666666666667,0.0810736144232327,CFU,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter,FALSE,TRUE
C11R2,2,5,50,50,T8,0.0357142857142857,0.0350707323593559,CFU,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Salmonella,FALSE,TRUE
C11R2,2,7,50,50,T8,0.153846153846154,0.0941181876957803,CFU,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter,FALSE,TRUE
C11R2,2,12,50,50,T8,0.388888888888889,0.090406287135042,CFU,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter,FALSE,TRUE
C11R2,3,5,50,50,T8,0.0978260869565217,0.0294383992114013,CFU,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Salmonella,TRUE,TRUE
C11R2,4,6,50,50,T8,0.9765625,0.00204990913375814,CFU,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,TRUE,TRUE
C11R2,4,11,50,50,T8,0.0147058823529412,0.0145973503725659,CFU,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Serratia,TRUE,TRUE
C11R2,5,7,50,50,T8,0.904761904761905,0.0114298777749698,CFU,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Enterobacter,TRUE,TRUE
C11R2,5,8,50,50,T8,0.975,0.00276875705416709,CFU,Enterobacteriaceae,Moraxellaceae,Salmonella,Acinetobacter,TRUE,FALSE
C11R2,5,12,50,50,T8,0.821138211382114,0.014617424147517,CFU,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Enterobacter,TRUE,TRUE
C11R2,6,7,50,50,T8,0.934426229508197,0.00813369844150581,CFU,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
C11R2,7,8,50,50,T8,0.902439024390244,0.0145229692037284,CFU,Enterobacteriaceae,Moraxellaceae,Enterobacter,Acinetobacter,TRUE,FALSE
C11R2,9,10,50,50,T8,0.570731707317073,0.0226510829414991,CFU,Xanthomonadaceae,Pseudomonadaceae,Stenotrophomonas,Pseudomonas,FALSE,FALSE
C11R5,1,2,50,50,T8,0.0123456790123457,0.0122692344444433,CFU,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FALSE,TRUE
C11R5,1,4,50,50,T8,0.00980392156862745,0.00975574475830787,CFU,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
C11R5,2,3,50,50,T8,0.972222222222222,0.0026397126746126,CFU,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas,TRUE,FALSE
C11R5,3,5,50,50,T8,0.166666666666667,0.100634560737427,CFU,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FALSE,TRUE
C11R5,4,5,50,50,T8,1.0077519379845,,CFU,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FALSE,TRUE
