Experiment,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,ColonyCount,ColonyCount1,ColonyCount2,Contamination,DilutionFactor
Transitivity_D,C1R7,2,4,95,5,131,0,131,FALSE,
Transitivity_D,C1R7,2,5,5,95,84,0,84,FALSE,
Transitivity_D,C1R7,2,5,50,50,34,0,34,FALSE,
Transitivity_D,C1R7,2,5,95,5,47,0,47,FALSE,
Transitivity_D,C1R7,2,6,5,95,41,0,41,FALSE,
Transitivity_D,C1R7,2,6,50,50,43,0,43,FALSE,
Transitivity_D,C1R7,2,6,95,5,60,0,60,FALSE,
Transitivity_D,C1R7,2,7,5,95,103,0,103,FALSE,
Transitivity_D,C1R7,2,7,50,50,105,0,105,FALSE,
Transitivity_D,C1R7,2,7,95,5,128,0,128,FALSE,
Transitivity_D,C1R7,3,4,5,95,127,0,127,FALSE,
Transitivity_D,C1R7,3,4,50,50,95,0,95,FALSE,
Transitivity_D,C1R7,3,4,95,5,84,24,60,FALSE,
Transitivity_D,C1R7,3,5,5,95,36,9,27,FALSE,
Transitivity_D,C1R7,3,5,50,50,35,12,23,FALSE,
Transitivity_D,C1R7,3,5,95,5,28,11,17,FALSE,
Transitivity_D,C1R7,3,6,5,95,56,26,30,FALSE,
Transitivity_D,C1R7,3,6,50,50,35,15,20,FALSE,
Transitivity_D,C1R7,3,6,95,5,53,26,27,FALSE,
Transitivity_D,C1R7,3,7,5,95,116,0,116,FALSE,
Transitivity_D,C1R7,3,7,50,50,145,0,145,FALSE,
Transitivity_D,C1R7,3,7,95,5,69,0,69,FALSE,
Transitivity_D,C1R7,4,5,5,95,80,43,37,FALSE,
Transitivity_D,C1R7,4,5,50,50,143,141,2,FALSE,
Transitivity_D,C1R7,4,5,95,5,169,169,0,FALSE,
Transitivity_D,C1R7,4,6,5,95,129,129,0,FALSE,
Transitivity_D,C1R7,4,6,50,50,145,145,0,FALSE,
Transitivity_D,C1R7,4,6,95,5,178,178,0,FALSE,
Transitivity_D,C1R7,4,7,5,95,146,0,146,FALSE,
Transitivity_D,C1R7,4,7,50,50,140,0,140,FALSE,
Transitivity_D,C1R7,4,7,95,5,131,0,131,FALSE,
Transitivity_D,C1R7,5,6,5,95,56,0,56,FALSE,
Transitivity_D,C1R7,5,6,50,50,49,24,25,FALSE,
Transitivity_D,C1R7,5,6,95,5,56,29,27,FALSE,
Transitivity_D,C1R7,5,7,5,95,117,0,117,FALSE,
Transitivity_D,C1R7,5,7,50,50,140,0,140,FALSE,
Transitivity_D,C1R7,5,7,95,5,123,0,123,FALSE,
Transitivity_D,C1R7,6,7,5,95,128,0,128,FALSE,
Transitivity_D,C1R7,6,7,50,50,144,0,144,FALSE,
Transitivity_D,C1R7,6,7,95,5,145,0,145,FALSE,
Transitivity_B2,C2R6,1,2,5,95,82,77,5,FALSE,
Transitivity_B2,C2R6,1,2,50,50,48,48,0,FALSE,
Transitivity_B2,C2R6,1,2,95,5,59,59,0,FALSE,
Transitivity_B2,C2R6,1,3,5,95,,,,FALSE,
Transitivity_B2,C2R6,1,3,50,50,,,,FALSE,
Transitivity_B2,C2R6,1,3,95,5,,,,FALSE,
Transitivity_B2,C2R6,1,4,5,95,26,0,26,FALSE,
Transitivity_B2,C2R6,1,4,50,50,23,0,23,FALSE,
Transitivity_B2,C2R6,1,4,95,5,38,38,0,FALSE,
Transitivity_B2,C2R6,2,3,5,95,47,7,40,FALSE,
Transitivity_B2,C2R6,2,3,50,50,101,3,98,FALSE,
Transitivity_B2,C2R6,2,3,95,5,35,5,30,FALSE,
Transitivity_B2,C2R6,2,4,5,95,51,25,26,FALSE,
Transitivity_B2,C2R6,2,4,50,50,31,19,12,FALSE,
Transitivity_B2,C2R6,2,4,95,5,21,18,3,FALSE,
Transitivity_B2,C2R6,3,4,5,95,13,0,13,FALSE,
Transitivity_B2,C2R6,3,4,50,50,14,0,14,FALSE,
Transitivity_B2,C2R6,3,4,95,5,50,50,0,FALSE,
Transitivity_B2,C2R8,1,2,5,95,30,1,29,FALSE,
Transitivity_B2,C2R8,1,2,50,50,26,7,19,FALSE,
Transitivity_B2,C2R8,1,2,95,5,52,48,4,FALSE,
Transitivity_B2,C2R8,1,3,5,95,79,79,0,FALSE,
Transitivity_B2,C2R8,1,3,50,50,63,63,0,FALSE,
Transitivity_B2,C2R8,1,3,95,5,56,55,1,FALSE,
Transitivity_B2,C2R8,1,4,5,95,48,48,0,FALSE,
Transitivity_B2,C2R8,1,4,50,50,69,69,0,FALSE,
Transitivity_B2,C2R8,1,4,95,5,86,85,1,FALSE,
Transitivity_B2,C2R8,2,3,5,95,41,41,0,FALSE,
Transitivity_B2,C2R8,2,3,50,50,37,37,0,FALSE,
Transitivity_B2,C2R8,2,3,95,5,49,49,0,FALSE,
Transitivity_B2,C2R8,2,4,5,95,34,34,0,FALSE,
Transitivity_B2,C2R8,2,4,50,50,35,35,0,FALSE,
Transitivity_B2,C2R8,2,4,95,5,40,40,0,FALSE,
Transitivity_B2,C2R8,3,4,5,95,,,,FALSE,
Transitivity_B2,C2R8,3,4,50,50,,,,FALSE,
Transitivity_B2,C2R8,3,4,95,5,,,,FALSE,
Transitivity_D,C4R1,1,2,5,95,164,0,164,FALSE,
Transitivity_D,C4R1,1,2,50,50,134,133,1,FALSE,
Transitivity_D,C4R1,1,2,95,5,70,65,5,FALSE,
Transitivity_D,C4R1,1,3,5,95,,,,FALSE,
Transitivity_D,C4R1,1,3,50,50,,,,FALSE,
Transitivity_D,C4R1,1,3,95,5,,,,FALSE,
Transitivity_D,C4R1,2,3,5,95,63,60,3,FALSE,
Transitivity_D,C4R1,2,3,50,50,135,135,0,FALSE,
Transitivity_D,C4R1,2,3,95,5,124,124,0,FALSE,
Transitivity_B2,C7R1,1,2,5,95,131,131,0,FALSE,
Transitivity_B2,C7R1,1,2,50,50,88,88,0,FALSE,
Transitivity_B2,C7R1,1,2,95,5,127,127,0,FALSE,
Transitivity_B2,C7R1,1,3,5,95,,,,FALSE,
Transitivity_B2,C7R1,1,3,50,50,,,,FALSE,
Transitivity_B2,C7R1,1,3,95,5,,,,FALSE,
Transitivity_B2,C7R1,1,4,5,95,,,,FALSE,
Transitivity_B2,C7R1,1,4,50,50,,,,FALSE,
Transitivity_B2,C7R1,1,4,95,5,,,,FALSE,
Transitivity_B2,C7R1,2,3,5,95,92,0,92,FALSE,
Transitivity_B2,C7R1,2,3,50,50,58,0,58,FALSE,
Transitivity_B2,C7R1,2,3,95,5,65,0,65,FALSE,
Transitivity_B2,C7R1,2,4,5,95,137,0,137,FALSE,
Transitivity_B2,C7R1,2,4,50,50,54,0,54,FALSE,
Transitivity_B2,C7R1,2,4,95,5,138,0,138,FALSE,
Transitivity_B2,C7R1,3,4,5,95,,,,FALSE,
Transitivity_B2,C7R1,3,4,50,50,,,,FALSE,
Transitivity_B2,C7R1,3,4,95,5,,,,FALSE,
Transitivity_B2,C8R4,1,2,5,95,106,17,89,FALSE,
Transitivity_B2,C8R4,1,2,50,50,222,41,181,FALSE,
Transitivity_B2,C8R4,1,2,95,5,192,54,138,FALSE,
Transitivity_B2,C8R4,1,3,5,95,,,,FALSE,
Transitivity_B2,C8R4,1,3,50,50,,,,FALSE,
Transitivity_B2,C8R4,1,3,95,5,,,,FALSE,
Transitivity_B2,C8R4,2,3,5,95,126,101,25,FALSE,
Transitivity_B2,C8R4,2,3,50,50,50,33,17,FALSE,
Transitivity_B2,C8R4,2,3,95,5,124,92,32,FALSE,
Transitivity_B2,C10R2,1,2,5,95,81,0,81,FALSE,
Transitivity_B2,C10R2,1,2,50,50,95,0,95,FALSE,
Transitivity_B2,C10R2,1,2,95,5,139,0,139,FALSE,
Transitivity_B2,C10R2,1,3,5,95,30,30,0,FALSE,
Transitivity_B2,C10R2,1,3,50,50,36,36,0,FALSE,
Transitivity_B2,C10R2,1,3,95,5,13,13,0,FALSE,
Transitivity_B2,C10R2,2,3,5,95,53,53,0,FALSE,
Transitivity_B2,C10R2,2,3,50,50,109,108,1,FALSE,
Transitivity_B2,C10R2,2,3,95,5,61,59,2,FALSE,
Transitivity_C,C11R1,1,2,5,95,144,44,100,FALSE,
Transitivity_C,C11R1,1,2,50,50,,,,FALSE,
Transitivity_C,C11R1,1,2,95,5,180,88,92,FALSE,
Transitivity_C,C11R1,1,3,5,95,47,47,0,FALSE,
Transitivity_C,C11R1,1,3,50,50,,,,FALSE,
Transitivity_C,C11R1,1,3,95,5,37,37,0,FALSE,
Transitivity_C,C11R1,1,4,5,95,20,0,20,FALSE,5
Transitivity_C,C11R1,1,4,50,50,,,,FALSE,
Transitivity_C,C11R1,1,4,95,5,13,0,13,FALSE,5
Transitivity_C,C11R1,1,5,5,95,200,0,200,FALSE,
Transitivity_C,C11R1,1,5,50,50,80,10,70,FALSE,
Transitivity_C,C11R1,1,5,95,5,60,7,53,FALSE,
Transitivity_C,C11R1,1,6,5,95,198,198,0,FALSE,
Transitivity_C,C11R1,1,6,50,50,52,3,49,FALSE,
Transitivity_C,C11R1,1,6,95,5,98,6,92,FALSE,
Transitivity_C,C11R1,1,7,5,95,103,7,96,FALSE,
Transitivity_C,C11R1,1,7,50,50,112,1,111,FALSE,
Transitivity_C,C11R1,1,7,95,5,68,4,64,FALSE,
Transitivity_C,C11R1,1,8,5,95,134,32,102,FALSE,
Transitivity_C,C11R1,1,8,50,50,197,4,193,FALSE,
Transitivity_C,C11R1,1,8,95,5,103,15,88,FALSE,
Transitivity_C,C11R1,1,9,5,95,80,1,79,FALSE,
Transitivity_C,C11R1,1,9,50,50,77,1,76,FALSE,
Transitivity_C,C11R1,1,9,95,5,56,5,51,FALSE,
Transitivity_B2,C11R1,2,3,5,95,56,52,4,FALSE,
Transitivity_B2,C11R1,2,3,50,50,55,55,0,FALSE,
Transitivity_B2,C11R1,2,3,95,5,48,45,3,FALSE,
Transitivity_B2,C11R1,2,4,5,95,46,11,35,FALSE,
Transitivity_B2,C11R1,2,4,50,50,48,22,26,FALSE,
Transitivity_B2,C11R1,2,4,95,5,35,16,19,FALSE,
Transitivity_B2,C11R1,2,5,5,95,99,0,99,FALSE,
Transitivity_B2,C11R1,2,5,50,50,76,0,76,FALSE,
Transitivity_B2,C11R1,2,5,95,5,112,0,112,FALSE,
Transitivity_B2,C11R1,2,6,5,95,86,0,86,FALSE,
Transitivity_B2,C11R1,2,6,50,50,68,0,68,FALSE,
Transitivity_B2,C11R1,2,6,95,5,75,0,75,FALSE,
Transitivity_B2,C11R1,2,7,5,95,55,0,55,FALSE,
Transitivity_B2,C11R1,2,7,50,50,52,0,52,FALSE,
Transitivity_B2,C11R1,2,7,95,5,130,0,130,FALSE,
Transitivity_B2,C11R1,2,8,5,95,,,,FALSE,
Transitivity_B2,C11R1,2,8,50,50,,,,FALSE,
Transitivity_B2,C11R1,2,8,95,5,,,,FALSE,
Transitivity_B2,C11R1,2,9,5,95,,,,FALSE,
Transitivity_B2,C11R1,2,9,50,50,0,0,0,FALSE,5
Transitivity_B2,C11R1,2,9,95,5,0,0,0,FALSE,5
Transitivity_B2,C11R1,3,4,5,95,25,7,18,FALSE,
Transitivity_B2,C11R1,3,4,50,50,22,3,19,FALSE,
Transitivity_B2,C11R1,3,4,95,5,8,2,6,FALSE,
Transitivity_B2,C11R1,3,5,5,95,91,0,91,FALSE,
Transitivity_B2,C11R1,3,5,50,50,69,0,69,FALSE,
Transitivity_B2,C11R1,3,5,95,5,140,0,140,FALSE,
Transitivity_B2,C11R1,3,6,5,95,87,0,87,FALSE,
Transitivity_B2,C11R1,3,6,50,50,69,0,69,FALSE,
Transitivity_B2,C11R1,3,6,95,5,83,0,83,FALSE,
Transitivity_B2,C11R1,3,7,5,95,103,0,103,FALSE,
Transitivity_B2,C11R1,3,7,50,50,61,0,61,FALSE,
Transitivity_B2,C11R1,3,7,95,5,108,0,108,FALSE,
Transitivity_B2,C11R1,3,8,5,95,57,2,55,FALSE,
Transitivity_B2,C11R1,3,8,50,50,45,2,43,FALSE,
Transitivity_B2,C11R1,3,8,95,5,34,2,32,FALSE,
Transitivity_B2,C11R1,3,9,5,95,56,0,56,FALSE,
Transitivity_B2,C11R1,3,9,50,50,44,1,43,FALSE,
Transitivity_B2,C11R1,3,9,95,5,54,0,54,FALSE,
Transitivity_B2,C11R1,4,5,5,95,103,0,103,FALSE,
Transitivity_B2,C11R1,4,5,50,50,68,0,68,FALSE,
Transitivity_B2,C11R1,4,5,95,5,120,0,120,FALSE,
Transitivity_B2,C11R1,4,6,5,95,89,0,89,FALSE,
Transitivity_B2,C11R1,4,6,50,50,54,0,54,FALSE,
Transitivity_B2,C11R1,4,6,95,5,105,0,105,FALSE,
Transitivity_B2,C11R1,4,7,5,95,75,0,75,FALSE,
Transitivity_B2,C11R1,4,7,50,50,82,0,82,FALSE,
Transitivity_B2,C11R1,4,7,95,5,114,0,114,FALSE,
Transitivity_B2,C11R1,4,8,5,95,70,36,34,FALSE,
Transitivity_B2,C11R1,4,8,50,50,52,35,17,FALSE,
Transitivity_B2,C11R1,4,8,95,5,26,14,12,FALSE,
Transitivity_B2,C11R1,4,9,5,95,32,32,0,FALSE,
Transitivity_B2,C11R1,4,9,50,50,36,34,2,FALSE,
Transitivity_B2,C11R1,4,9,95,5,48,48,0,FALSE,
Transitivity_B2,C11R1,5,6,5,95,103,2,101,FALSE,
Transitivity_B2,C11R1,5,6,50,50,79,10,69,FALSE,
Transitivity_B2,C11R1,5,6,95,5,96,39,57,FALSE,
Transitivity_B2,C11R1,5,7,5,95,97,0,97,FALSE,
Transitivity_B2,C11R1,5,7,50,50,81,13,68,FALSE,
Transitivity_B2,C11R1,5,7,95,5,132,55,77,FALSE,
Transitivity_B2,C11R1,5,8,5,95,153,153,0,FALSE,
Transitivity_B2,C11R1,5,8,50,50,123,123,0,FALSE,
Transitivity_B2,C11R1,5,8,95,5,57,57,0,FALSE,
Transitivity_B2,C11R1,5,9,5,95,127,127,0,FALSE,
Transitivity_B2,C11R1,5,9,50,50,64,64,0,FALSE,
Transitivity_B2,C11R1,5,9,95,5,92,92,0,FALSE,
Transitivity_B2,C11R1,6,7,5,95,78,27,51,FALSE,
Transitivity_B2,C11R1,6,7,50,50,53,19,34,FALSE,
Transitivity_B2,C11R1,6,7,95,5,93,23,70,FALSE,
Transitivity_B2,C11R1,6,8,5,95,125,125,0,FALSE,
Transitivity_B2,C11R1,6,8,50,50,92,92,0,FALSE,
Transitivity_B2,C11R1,6,8,95,5,83,83,0,FALSE,
Transitivity_B2,C11R1,6,9,5,95,93,93,0,FALSE,
Transitivity_B2,C11R1,6,9,50,50,71,71,0,FALSE,
Transitivity_B2,C11R1,6,9,95,5,102,102,0,FALSE,
Transitivity_B2,C11R1,7,8,5,95,95,95,0,FALSE,
Transitivity_B2,C11R1,7,8,50,50,124,124,0,FALSE,
Transitivity_B2,C11R1,7,8,95,5,62,62,0,FALSE,
Transitivity_B2,C11R1,7,9,5,95,93,93,0,FALSE,
Transitivity_B2,C11R1,7,9,50,50,73,73,0,FALSE,
Transitivity_B2,C11R1,7,9,95,5,88,88,0,FALSE,
Transitivity_B2,C11R1,8,9,5,95,0,0,0,FALSE,5
Transitivity_B2,C11R1,8,9,50,50,1,1,0,FALSE,
Transitivity_B2,C11R1,8,9,95,5,1,1,0,FALSE,
Transitivity_C2,C11R2,1,2,5,95,55,39,16,FALSE,
Transitivity_C2,C11R2,1,2,50,50,149,134,15,FALSE,
Transitivity_C2,C11R2,1,2,95,5,107,104,3,FALSE,
Transitivity_C2,C11R2,1,3,5,95,52,42,10,FALSE,
Transitivity_C2,C11R2,1,3,50,50,68,68,0,FALSE,
Transitivity_C2,C11R2,1,3,95,5,83,83,0,FALSE,
Transitivity_C2,C11R2,1,4,5,95,121,0,121,FALSE,
Transitivity_C2,C11R2,1,4,50,50,106,0,106,FALSE,
Transitivity_C2,C11R2,1,4,95,5,68,0,68,FALSE,
Transitivity_C2,C11R2,1,5,5,95,49,45,4,FALSE,
Transitivity_C2,C11R2,1,5,50,50,27,27,0,FALSE,
Transitivity_C2,C11R2,1,5,95,5,36,36,0,FALSE,
Transitivity_C2,C11R2,1,6,5,95,126,4,122,FALSE,
Transitivity_C2,C11R2,1,6,50,50,88,7,81,FALSE,
Transitivity_C2,C11R2,1,6,95,5,135,25,110,FALSE,
Transitivity_C2,C11R2,1,7,5,95,158,139,19,FALSE,
Transitivity_C2,C11R2,1,7,50,50,54,54,0,FALSE,
Transitivity_C2,C11R2,1,7,95,5,84,75,9,FALSE,
Transitivity_C2,C11R2,1,8,5,95,174,154,20,FALSE,
Transitivity_C2,C11R2,1,8,50,50,84,76,8,FALSE,
Transitivity_C2,C11R2,1,8,95,5,78,62,16,FALSE,
Transitivity_C2,C11R2,1,9,5,95,49,49,0,FALSE,
Transitivity_C2,C11R2,1,9,50,50,30,30,0,FALSE,
Transitivity_C2,C11R2,1,9,95,5,110,110,0,FALSE,
Transitivity_C2,C11R2,1,10,5,95,36,36,0,FALSE,
Transitivity_C2,C11R2,1,10,50,50,41,41,0,FALSE,
Transitivity_C2,C11R2,1,10,95,5,26,26,0,FALSE,
Transitivity_C2,C11R2,1,11,5,95,46,0,46,FALSE,
Transitivity_C2,C11R2,1,11,50,50,81,0,81,FALSE,
Transitivity_C2,C11R2,1,11,95,5,90,0,90,FALSE,
Transitivity_C2,C11R2,1,12,5,95,38,38,0,FALSE,
Transitivity_C2,C11R2,1,12,50,50,57,54,3,FALSE,
Transitivity_C2,C11R2,1,12,95,5,51,49,2,FALSE,
Transitivity_C2,C11R2,2,3,5,95,15,3,12,FALSE,
Transitivity_C2,C11R2,2,3,50,50,18,3,15,FALSE,
Transitivity_C2,C11R2,2,3,95,5,7,1,6,FALSE,5
Transitivity_C2,C11R2,2,4,5,95,101,0,101,FALSE,
Transitivity_C2,C11R2,2,4,50,50,134,0,134,FALSE,
Transitivity_C2,C11R2,2,4,95,5,78,0,78,FALSE,
Transitivity_C2,C11R2,2,5,5,95,57,1,56,FALSE,
Transitivity_C2,C11R2,2,5,50,50,28,1,27,FALSE,
Transitivity_C2,C11R2,2,5,95,5,40,1,39,FALSE,
Transitivity_C2,C11R2,2,6,5,95,101,0,101,FALSE,
Transitivity_C2,C11R2,2,6,50,50,95,0,95,FALSE,
Transitivity_C2,C11R2,2,6,95,5,88,0,88,FALSE,
Transitivity_C2,C11R2,2,7,5,95,37,2,35,FALSE,
Transitivity_C2,C11R2,2,7,50,50,13,2,11,FALSE,
Transitivity_C2,C11R2,2,7,95,5,23,8,15,FALSE,
Transitivity_C2,C11R2,2,8,5,95,,,,FALSE,
Transitivity_C2,C11R2,2,8,50,50,,,,FALSE,
Transitivity_C2,C11R2,2,8,95,5,,,,FALSE,
Transitivity_C2,C11R2,2,9,5,95,291,176,115,FALSE,
Transitivity_C2,C11R2,2,9,50,50,0,0,0,FALSE,5
Transitivity_C2,C11R2,2,9,95,5,5,5,0,FALSE,
Transitivity_C2,C11R2,2,10,5,95,322,157,165,FALSE,
Transitivity_C2,C11R2,2,10,50,50,9,4,5,FALSE,4
Transitivity_C2,C11R2,2,10,95,5,1,0,1,FALSE,
Transitivity_C2,C11R2,2,11,5,95,63,0,63,FALSE,
Transitivity_C2,C11R2,2,11,50,50,66,0,66,FALSE,
Transitivity_C2,C11R2,2,11,95,5,79,0,79,FALSE,
Transitivity_C2,C11R2,2,12,5,95,17,2,15,FALSE,
Transitivity_C2,C11R2,2,12,50,50,18,7,11,FALSE,
Transitivity_C2,C11R2,2,12,95,5,15,1,14,FALSE,
Transitivity_C2,C11R2,3,4,5,95,134,0,134,FALSE,
Transitivity_C2,C11R2,3,4,50,50,96,0,96,FALSE,
Transitivity_C2,C11R2,3,4,95,5,68,0,68,FALSE,
Transitivity_C2,C11R2,3,5,5,95,80,9,71,TRUE,5
Transitivity_C2,C11R2,3,5,50,50,92,9,83,FALSE,
Transitivity_C2,C11R2,3,5,95,5,51,14,37,FALSE,
Transitivity_C2,C11R2,3,6,5,95,,,,TRUE,
Transitivity_C2,C11R2,3,6,50,50,88,0,88,FALSE,
Transitivity_C2,C11R2,3,6,95,5,68,0,68,FALSE,
Transitivity_C2,C11R2,3,7,5,95,,,,FALSE,
Transitivity_C2,C11R2,3,7,50,50,,,,FALSE,
Transitivity_C2,C11R2,3,7,95,5,,,,FALSE,
Transitivity_C2,C11R2,3,8,5,95,102,94,8,FALSE,
Transitivity_C2,C11R2,3,8,50,50,33,33,0,FALSE,
Transitivity_C2,C11R2,3,8,95,5,20,19,1,FALSE,
Transitivity_C2,C11R2,3,9,5,95,43,43,0,FALSE,
Transitivity_C2,C11R2,3,9,50,50,33,33,0,FALSE,
Transitivity_C2,C11R2,3,9,95,5,39,39,0,FALSE,
Transitivity_C2,C11R2,3,10,5,95,47,47,0,FALSE,
Transitivity_C2,C11R2,3,10,50,50,19,19,0,FALSE,
Transitivity_C2,C11R2,3,10,95,5,20,20,0,FALSE,
Transitivity_C2,C11R2,3,11,5,95,41,0,41,FALSE,
Transitivity_C2,C11R2,3,11,50,50,57,0,57,FALSE,
