Community,Isolate1,Isolate2,FreqFunc,PairIsolate1MeasuredFreqT8,Isolate1Win,FromRare,FromMedium,FromAbundant,InteractionType,InteractionTypeFiner,From,To
C1R6,1,5,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,5,1
C1R6,2,3,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,2,3
C1R6,2,4,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,2,4
C1R6,2,5,1_1_1,0.99_0.75_1,,1,1,1,exclusion,competitive exclusion,2,5
C1R6,3,4,-1_0_-1,0.01_0.47_0.06,,-1,0,-1,coexistence,frequency-dependent coexistence,3,4
C1R6,3,5,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,5,3
C1R6,4,5,-1_-1_-1,0_0.02_0.9,,-1,-1,-1,exclusion,competitive exclusion,5,4
C1R7,1,2,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,2
C1R7,1,3,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,3
C1R7,1,4,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,4
C1R7,1,5,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,5
C1R7,1,6,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,6
C1R7,1,7,1_0_-1,0.14_0.29_0.43,,1,0,-1,coexistence,stable coexistence,1,7
C1R7,2,3,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,3,2
C1R7,2,4,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,4,2
C1R7,2,5,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,5,2
C1R7,2,6,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,6,2
C1R7,2,7,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,7,2
C1R7,3,4,-1_-1_-1,0_0_0.29,,-1,-1,-1,exclusion,competitive exclusion,4,3
C1R7,3,5,1_0_-1,0.25_0.34_0.39,,1,0,-1,coexistence,stable coexistence,3,5
C1R7,3,6,1_0_-1,0.46_0.43_0.49,,1,0,-1,coexistence,stable coexistence,3,6
C1R7,3,7,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,7,3
C1R7,4,5,1_1_1,0.54_0.99_1,,1,1,1,exclusion,competitive exclusion,4,5
C1R7,4,6,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,4,6
C1R7,4,7,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,7,4
C1R7,5,6,-1_0_-1,0_0.49_0.52,,-1,0,-1,coexistence,frequency-dependent coexistence,5,6
C1R7,5,7,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,7,5
C1R7,6,7,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,7,6
C2R6,1,2,1_1_1,0.94_1_1,,1,1,1,exclusion,competitive exclusion,1,2
C2R6,1,3,-1_1_1,0_1_1,,-1,1,1,exclusion,mutual exclusion,1,3
C2R6,1,4,-1_-1_1,0_0_1,,-1,-1,1,exclusion,mutual exclusion,1,4
C2R6,2,3,1_-1_-1,0.15_0.03_0.14,,1,-1,-1,coexistence,stable coexistence,2,3
C2R6,2,4,1_0_0,0.49_0.61_0.86,,1,0,0,coexistence,stable coexistence,2,4
C2R6,3,4,-1_-1_1,0_0_1,,-1,-1,1,exclusion,mutual exclusion,3,4
C2R8,1,2,0_0_0,0.03_0.27_0.92,,0,0,0,neutrality,neutrality,1,2
C2R8,1,3,1_1_0,1_1_0.98,,1,1,0,coexistence,stable coexistence,1,3
C2R8,1,4,1_1_1,1_1_0.99,,1,1,1,exclusion,competitive exclusion,1,4
C2R8,2,3,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,2,3
C2R8,2,4,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,2,4
C2R8,3,4,-1_1_1,0_1_1,,-1,1,1,coexistence,stable coexistence,3,4
C4R1,1,2,-1_1_1,0_0.99_0.93,,-1,1,1,exclusion,mutual exclusion,1,2
C4R1,1,3,1_1_-1,0.59_0.88_0.56,,1,1,-1,coexistence,stable coexistence,1,3
C4R1,2,3,1_1_1,0.95_1_1,,1,1,1,exclusion,competitive exclusion,2,3
C7R1,1,2,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,2
C7R1,1,3,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,3
C7R1,1,4,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,4
C7R1,2,3,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,3,2
C7R1,2,4,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,4,2
C7R1,3,4,1_1_-1,0.85_0.82_0.8,,1,1,-1,coexistence,stable coexistence,3,4
C8R4,1,2,0_-1_-1,0.16_0.18_0.28,,0,-1,-1,coexistence,stable coexistence,1,2
C8R4,1,3,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,3,1
C8R4,2,3,1_1_0,0.8_0.66_0.74,,1,1,0,coexistence,stable coexistence,2,3
C10R2,1,2,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,2,1
C10R2,1,3,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,3
C10R2,2,3,1_1_0,1_0.99_0.97,,1,1,0,coexistence,stable coexistence,2,3
C11R1,1,2,1_-1_-1,0.31_0.39_0.49,,1,-1,-1,coexistence,stable coexistence,1,2
C11R1,1,3,1_1_0,1_0.91_1,,1,1,0,coexistence,stable coexistence,1,3
C11R1,1,4,1_0_-1,0.14_0.12_0.15,,1,0,-1,coexistence,stable coexistence,1,4
C11R1,1,5,-1_1_-1,0_0.19_0.12,,-1,1,-1,coexistence,frequency-dependent coexistence,1,5
C11R1,1,6,1_1_-1,1_0.94_0.06,,1,1,-1,coexistence,stable coexistence,1,6
C11R1,1,7,1_-1_-1,0.07_0.01_0.06,,1,-1,-1,coexistence,stable coexistence,1,7
C11R1,1,8,1_-1_-1,0.24_0.3_0.15,,1,-1,-1,coexistence,stable coexistence,1,8
C11R1,1,9,0_0_-1,0.01_0.21_0.09,,0,0,-1,coexistence,stable coexistence,1,9
C11R1,2,3,1_1_-1,0.93_0.68_0.75,,1,1,-1,coexistence,stable coexistence,2,3
C11R1,2,4,1_-1_-1,0.24_0.22_0.33,,1,-1,-1,coexistence,stable coexistence,2,4
C11R1,2,5,-1_-1_-1,0_0.03_0.03,,-1,-1,-1,exclusion,competitive exclusion,5,2
C11R1,2,6,-1_1_-1,0_0.92_0.92,,-1,1,-1,coexistence,frequency-dependent coexistence,2,6
C11R1,2,7,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,7,2
C11R1,2,8,1_1_-1,0.56_0.69_0.62,,1,1,-1,coexistence,stable coexistence,2,8
C11R1,2,9,1_-1_-1,0.32_0.32_0.36,,1,-1,-1,coexistence,stable coexistence,2,9
C11R1,3,4,0_0_-1,0.28_0.14_0.25,,0,0,-1,coexistence,stable coexistence,3,4
C11R1,3,5,0_0_-1,0_0_0,FALSE,0,0,-1,exclusion,competitive exclusion,5,3
C11R1,3,6,0_0_-1,0_0_0,FALSE,0,0,-1,exclusion,competitive exclusion,6,3
C11R1,3,7,0_0_-1,0_0_0,FALSE,0,0,-1,exclusion,competitive exclusion,7,3
C11R1,3,8,0_-1_-1,0.04_0.04_0.06,,0,-1,-1,coexistence,stable coexistence,3,8
C11R1,3,9,0_0_-1,0_0.02_0,,0,0,-1,coexistence,stable coexistence,3,9
C11R1,4,5,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,5,4
C11R1,4,6,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,6,4
C11R1,4,7,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,7,4
C11R1,4,8,1_1_-1,0.51_0.67_0.54,,1,1,-1,coexistence,stable coexistence,4,8
C11R1,4,9,1_0_0,1_0.94_1,,1,0,0,coexistence,stable coexistence,4,9
C11R1,5,6,-1_-1_-1,0.02_0.13_0.41,,-1,-1,-1,exclusion,competitive exclusion,6,5
C11R1,5,7,-1_-1_-1,0_0.16_0.42,,-1,-1,-1,exclusion,competitive exclusion,7,5
C11R1,5,8,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,5,8
C11R1,5,9,1_0_0,1_1_1,TRUE,1,0,0,exclusion,competitive exclusion,5,9
C11R1,6,7,1_0_-1,0.35_0.36_0.25,,1,0,-1,coexistence,stable coexistence,6,7
C11R1,6,8,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,6,8
C11R1,6,9,1_0_0,1_1_1,TRUE,1,0,0,exclusion,competitive exclusion,6,9
C11R1,7,8,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,7,8
C11R1,7,9,1_0_0,1_1_1,TRUE,1,0,0,exclusion,competitive exclusion,7,9
C11R1,8,9,1_1_1,0.32_1_1,,1,1,1,exclusion,competitive exclusion,8,9
C11R2,1,2,1_0_0,0.71_0.9_0.97,,1,0,0,coexistence,stable coexistence,1,2
C11R2,1,3,1_1_1,0.81_1_1,,1,1,1,exclusion,competitive exclusion,1,3
C11R2,1,4,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,4,1
C11R2,1,5,1_1_1,0.92_1_1,,1,1,1,exclusion,competitive exclusion,1,5
C11R2,1,6,0_-1_-1,0.03_0.08_0.19,,0,-1,-1,coexistence,stable coexistence,1,6
C11R2,1,7,1_1_-1,0.88_1_0.89,,1,1,-1,coexistence,stable coexistence,1,7
C11R2,1,8,1_1_-1,0.89_0.9_0.79,,1,1,-1,coexistence,stable coexistence,1,8
C11R2,1,9,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,1,9
C11R2,1,10,1_1_0,1_1_1,TRUE,1,1,0,exclusion,competitive exclusion,1,10
C11R2,1,11,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,11,1
C11R2,1,12,1_1_0,1_0.95_0.96,,1,1,0,coexistence,stable coexistence,1,12
C11R2,2,3,1_0_-1,0.2_0.17_0.14,,1,0,-1,coexistence,stable coexistence,2,3
C11R2,2,4,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,4,2
C11R2,2,5,0_0_-1,0.02_0.04_0.03,,0,0,-1,coexistence,stable coexistence,2,5
C11R2,2,6,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,6,2
C11R2,2,7,0_0_-1,0.05_0.15_0.35,,0,0,-1,coexistence,stable coexistence,2,7
C11R2,2,8,1_-1_-1,0.39_0.1_0.06,,1,-1,-1,coexistence,stable coexistence,2,8
C11R2,2,9,1_1_1,0.96_0.91_0.97,,1,1,1,exclusion,competitive exclusion,2,9
C11R2,2,10,1_0_-1,0.49_0.44_0,,1,0,-1,coexistence,stable coexistence,2,10
C11R2,2,11,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,11,2
C11R2,2,12,0_1_-1,0.12_0.39_0.07,,0,1,-1,coexistence,frequency-dependent coexistence,2,12
C11R2,3,4,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,4,3
C11R2,3,5,1_-1_-1,0.11_0.1_0.27,,1,-1,-1,coexistence,stable coexistence,3,5
C11R2,3,6,,NA_0_0,,,,,exclusion,competitive exclusion,6,3
C11R2,3,7,1_1_-1,0.77_1_0.72,,1,1,-1,coexistence,stable coexistence,3,7
C11R2,3,8,1_1_0,0.92_1_0.95,,1,1,0,coexistence,stable coexistence,3,8
C11R2,3,9,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,3,9
C11R2,3,10,1_1_0,1_1_1,TRUE,1,1,0,exclusion,competitive exclusion,3,10
C11R2,3,11,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,11,3
C11R2,3,12,1_1_-1,0.42_0.95_0.56,,1,1,-1,coexistence,stable coexistence,3,12
C11R2,4,5,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,4,5
C11R2,4,6,1_1_1,1_0.98_1,,1,1,1,exclusion,competitive exclusion,4,6
C11R2,4,7,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,4,7
C11R2,4,8,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,4,8
C11R2,4,9,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,4,9
C11R2,4,10,1_0_0,1_1_1,TRUE,1,0,0,exclusion,competitive exclusion,4,10
C11R2,4,11,-1_-1_0,0_0.01_0.97,,-1,-1,0,coexistence,frequency-dependent coexistence,4,11
C11R2,4,12,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,4,12
C11R2,5,6,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,5,6
C11R2,5,7,1_1_0,0.88_0.9_0.94,,1,1,0,coexistence,stable coexistence,5,7
C11R2,5,8,1_1_0,1_0.98_0.97,,1,1,0,coexistence,stable coexistence,5,8
C11R2,5,9,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,5,9
C11R2,5,10,1_1_0,1_1_1,TRUE,1,1,0,exclusion,competitive exclusion,5,10
C11R2,5,11,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,11,5
C11R2,5,12,1_1_-1,0.88_0.82_0.87,,1,1,-1,coexistence,stable coexistence,5,12
C11R2,6,7,1_1_1,1_0.93_1,,1,1,1,exclusion,competitive exclusion,6,7
C11R2,6,8,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,6,8
C11R2,6,9,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,6,9
C11R2,6,10,1_0_0,1_1_1,TRUE,1,0,0,exclusion,competitive exclusion,6,10
C11R2,6,11,1_-1_-1,0.75_0.13_0,,1,-1,-1,coexistence,stable coexistence,6,11
C11R2,6,12,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,6,12
C11R2,7,8,1_1_1,0.93_0.9_1,,1,1,1,exclusion,competitive exclusion,7,8
C11R2,7,9,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,7,9
C11R2,7,10,1_1_0,1_1_1,TRUE,1,1,0,exclusion,competitive exclusion,7,10
C11R2,7,11,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,11,7
C11R2,7,12,-1_1_-1,0_0.95_0.36,,-1,1,-1,coexistence,frequency-dependent coexistence,7,12
C11R2,8,9,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,8,9
C11R2,8,10,1_-1_-1,0.35_0_0,,1,-1,-1,coexistence,stable coexistence,8,10
C11R2,8,11,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,11,8
C11R2,8,12,-1_-1_-1,0_0_0.06,,-1,-1,-1,exclusion,competitive exclusion,12,8
C11R2,9,10,1_1_-1,0.33_0.57_0.35,,1,1,-1,coexistence,stable coexistence,9,10
C11R2,9,11,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,11,9
C11R2,9,12,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,12,9
C11R2,10,11,0_-1_-1,0_0_0,FALSE,0,-1,-1,exclusion,competitive exclusion,11,10
C11R2,10,12,0_-1_-1,0_0_0,FALSE,0,-1,-1,exclusion,competitive exclusion,12,10
C11R2,11,12,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,11,12
C11R5,1,2,-1_-1_-1,0_0.01_0,,-1,-1,-1,exclusion,competitive exclusion,2,1
C11R5,1,3,-1_0_-1,0_0.46_0.36,,-1,0,-1,coexistence,frequency-dependent coexistence,1,3
C11R5,1,4,-1_-1_-1,0_0.01_0,,-1,-1,-1,exclusion,competitive exclusion,4,1
C11R5,1,5,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,5,1
C11R5,2,3,1_1_1,0.99_0.97_1,,1,1,1,exclusion,competitive exclusion,2,3
C11R5,2,4,-1_-1_-1,0.03_0_0,,-1,-1,-1,exclusion,competitive exclusion,4,2
C11R5,2,5,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,2,5
C11R5,3,4,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,4,3
C11R5,3,5,-1_-1_-1,0_0_0,FALSE,-1,-1,-1,exclusion,competitive exclusion,5,3
C11R5,4,5,1_1_1,1_1_1,TRUE,1,1,1,exclusion,competitive exclusion,4,5
