Community,Isolate1,Isolate2,InteractionType,InteractionTypeFiner,From,To
C11R2,6,7,exclusion,competitive exclusion,6,7
C11R2,6,8,exclusion,competitive exclusion,6,8
C11R2,6,9,exclusion,competitive exclusion,6,9
C11R2,6,10,exclusion,competitive exclusion,6,10
C11R2,6,11,coexistence,stable coexistence,6,11
C11R2,6,12,exclusion,competitive exclusion,6,12
C11R2,7,8,exclusion,competitive exclusion,7,8
C11R2,7,9,exclusion,competitive exclusion,7,9
C11R2,7,10,exclusion,competitive exclusion,7,10
C11R2,7,11,exclusion,competitive exclusion,11,7
C11R2,7,12,coexistence,frequency-dependent coexistence,7,12
C11R2,8,9,exclusion,competitive exclusion,8,9
C11R2,8,10,coexistence,stable coexistence,8,10
C11R2,8,11,exclusion,competitive exclusion,11,8
C11R2,8,12,exclusion,competitive exclusion,12,8
C11R2,9,10,coexistence,stable coexistence,9,10
C11R2,9,11,exclusion,competitive exclusion,11,9
C11R2,9,12,exclusion,competitive exclusion,12,9
C11R2,10,11,exclusion,competitive exclusion,11,10
C11R2,10,12,exclusion,competitive exclusion,12,10
C11R2,11,12,exclusion,competitive exclusion,11,12
C11R5,1,2,exclusion,competitive exclusion,2,1
C11R5,1,3,coexistence,frequency-dependent coexistence,1,3
C11R5,1,4,exclusion,competitive exclusion,4,1
C11R5,1,5,exclusion,competitive exclusion,5,1
C11R5,2,3,exclusion,competitive exclusion,2,3
C11R5,2,4,exclusion,competitive exclusion,4,2
C11R5,2,5,exclusion,competitive exclusion,2,5
C11R5,3,4,exclusion,competitive exclusion,4,3
C11R5,3,5,exclusion,competitive exclusion,5,3
C11R5,4,5,exclusion,competitive exclusion,4,5
C1R2,1,2,exclusion,competitive exclusion,1,2
C1R2,1,3,coexistence,frequency-dependent coexistence,1,3
C1R2,1,4,exclusion,competitive exclusion,1,4
C1R2,2,3,exclusion,competitive exclusion,3,2
C1R2,2,4,coexistence,stable coexistence,2,4
C1R2,3,4,exclusion,competitive exclusion,3,4
C1R4,1,2,exclusion,competitive exclusion,2,1
C1R4,1,3,coexistence,frequency-dependent coexistence,1,3
C1R4,1,4,exclusion,competitive exclusion,4,1
C1R4,1,5,exclusion,competitive exclusion,5,1
C1R4,2,3,exclusion,competitive exclusion,2,3
C1R4,2,4,coexistence,stable coexistence,2,4
C1R4,2,5,coexistence,frequency-dependent coexistence,2,5
C1R4,3,4,exclusion,competitive exclusion,4,3
C1R4,3,5,exclusion,competitive exclusion,5,3
C1R4,4,5,coexistence,stable coexistence,4,5
C1R6,1,2,coexistence,stable coexistence,1,2
C1R6,1,3,exclusion,competitive exclusion,3,1
C1R6,1,4,exclusion,competitive exclusion,4,1
C1R6,1,5,exclusion,competitive exclusion,5,1
C1R6,2,3,exclusion,competitive exclusion,2,3
C1R6,2,4,exclusion,competitive exclusion,2,4
C1R6,2,5,exclusion,competitive exclusion,2,5
C1R6,3,4,coexistence,frequency-dependent coexistence,3,4
C1R6,3,5,exclusion,competitive exclusion,5,3
C1R6,4,5,exclusion,competitive exclusion,5,4
C1R7,1,2,exclusion,competitive exclusion,1,2
C1R7,1,3,exclusion,competitive exclusion,1,3
C1R7,1,4,exclusion,competitive exclusion,1,4
C1R7,1,5,exclusion,competitive exclusion,1,5
C1R7,1,6,exclusion,competitive exclusion,1,6
C1R7,1,7,coexistence,stable coexistence,1,7
C1R7,2,3,exclusion,competitive exclusion,3,2
C1R7,2,4,exclusion,competitive exclusion,4,2
C1R7,2,5,exclusion,competitive exclusion,5,2
C1R7,2,6,exclusion,competitive exclusion,6,2
C1R7,2,7,exclusion,competitive exclusion,7,2
C1R7,3,4,exclusion,competitive exclusion,4,3
C1R7,3,5,coexistence,stable coexistence,3,5
C1R7,3,6,coexistence,stable coexistence,3,6
C1R7,3,7,exclusion,competitive exclusion,7,3
C1R7,4,5,exclusion,competitive exclusion,4,5
C1R7,4,6,exclusion,competitive exclusion,4,6
C1R7,4,7,exclusion,competitive exclusion,7,4
C1R7,5,6,coexistence,frequency-dependent coexistence,5,6
C1R7,5,7,exclusion,competitive exclusion,7,5
C1R7,6,7,exclusion,competitive exclusion,7,6
C2R6,1,2,exclusion,competitive exclusion,1,2
C2R6,1,3,exclusion,mutual exclusion,1,3
C2R6,1,4,exclusion,mutual exclusion,1,4
C2R6,2,3,coexistence,stable coexistence,2,3
C2R6,2,4,coexistence,stable coexistence,2,4
C2R6,3,4,exclusion,mutual exclusion,3,4
C2R8,1,2,neutrality,neutrality,1,2
C2R8,1,3,coexistence,stable coexistence,1,3
C2R8,1,4,exclusion,competitive exclusion,1,4
C2R8,2,3,exclusion,competitive exclusion,2,3
C2R8,2,4,exclusion,competitive exclusion,2,4
C2R8,3,4,coexistence,stable coexistence,3,4
C4R1,1,2,exclusion,mutual exclusion,1,2
C4R1,1,3,coexistence,stable coexistence,1,3
C4R1,2,3,exclusion,competitive exclusion,2,3
C7R1,1,2,exclusion,competitive exclusion,1,2
C7R1,1,3,exclusion,competitive exclusion,1,3
C7R1,1,4,exclusion,competitive exclusion,1,4
C7R1,2,3,exclusion,competitive exclusion,3,2
C7R1,2,4,exclusion,competitive exclusion,4,2
C7R1,3,4,coexistence,stable coexistence,3,4
C8R4,1,2,coexistence,stable coexistence,1,2
C8R4,1,3,exclusion,competitive exclusion,3,1
C8R4,2,3,coexistence,stable coexistence,2,3
RanAss1,1,2,exclusion,competitive exclusion,2,1
RanAss1,1,3,exclusion,competitive exclusion,3,1
RanAss1,1,4,exclusion,competitive exclusion,4,1
RanAss1,1,5,coexistence,stable coexistence,1,5
RanAss1,1,6,exclusion,competitive exclusion,6,1
RanAss1,1,7,coexistence,stable coexistence,1,7
RanAss1,1,8,coexistence,stable coexistence,1,8
RanAss1,2,3,exclusion,competitive exclusion,3,2
RanAss1,2,4,exclusion,competitive exclusion,2,4
RanAss1,2,5,exclusion,competitive exclusion,2,5
RanAss1,2,6,exclusion,competitive exclusion,6,2
RanAss1,2,7,exclusion,competitive exclusion,2,7
RanAss1,2,8,exclusion,competitive exclusion,2,8
RanAss1,3,4,exclusion,competitive exclusion,3,4
RanAss1,3,5,exclusion,competitive exclusion,3,5
RanAss1,3,6,exclusion,competitive exclusion,6,3
RanAss1,3,7,exclusion,competitive exclusion,3,7
RanAss1,3,8,exclusion,competitive exclusion,3,8
RanAss1,4,5,exclusion,competitive exclusion,4,5
RanAss1,4,6,exclusion,competitive exclusion,6,4
RanAss1,4,7,coexistence,stable coexistence,4,7
RanAss1,4,8,exclusion,competitive exclusion,4,8
RanAss1,5,6,exclusion,competitive exclusion,6,5
RanAss1,5,7,exclusion,competitive exclusion,7,5
RanAss1,5,8,exclusion,competitive exclusion,8,5
RanAss1,6,7,exclusion,competitive exclusion,6,7
RanAss1,6,8,exclusion,competitive exclusion,6,8
RanAss1,7,8,exclusion,competitive exclusion,7,8
RanAss2,1,2,exclusion,competitive exclusion,1,2
RanAss2,1,3,coexistence,stable coexistence,1,3
RanAss2,1,4,coexistence,stable coexistence,1,4
RanAss2,1,5,NA,NA,1,5
RanAss2,1,6,NA,NA,1,6
RanAss2,1,7,NA,NA,1,7
RanAss2,1,8,NA,NA,1,8
RanAss2,2,3,exclusion,competitive exclusion,3,2
RanAss2,2,4,coexistence,stable coexistence,2,4
RanAss2,2,5,NA,NA,2,5
RanAss2,2,6,NA,NA,2,6
RanAss2,2,7,NA,NA,2,7
RanAss2,2,8,NA,NA,2,8
RanAss2,3,4,coexistence,stable coexistence,3,4
RanAss2,3,5,NA,NA,3,5
RanAss2,3,6,NA,NA,3,6
RanAss2,3,7,NA,NA,3,7
RanAss2,3,8,NA,NA,3,8
RanAss2,4,5,NA,NA,4,5
RanAss2,4,6,NA,NA,4,6
RanAss2,4,7,NA,NA,4,7
RanAss2,4,8,NA,NA,4,8
