ExpID,ID,Community,Isolate,SangerID,OD620,Glucose_perc,acetate_mM,succinate_mM,lactate_mM,gluconate_mM,ketogluconate_mM,Family,Comm
11.1.A.1,335,C11R1,1,335,0.035,0.074916923,0.089053126,0.017473303,0,1.01380004,0,Pseudomonadaceae,TRUE
11.1.A.2,452,C11R1,2,452,0.034666667,0.071109659,0,0.010103727,0,3.976974848,0,Alcaligenaceae,TRUE
11.1.A.3,336,C11R1,3,336,0.038,0.070128406,0,0.013431923,0,0.891768554,0,Moraxellaceae,TRUE
11.1.A.4,332,C11R1,4,332,0.138333333,0.018632225,9.463471257,0.150363407,3.874438009,0.150192599,NA,Enterobacteriaceae,TRUE
11.1.B.1,338,C11R1,5,338,0.192,0,6.198669676,0.545943249,0.554857789,0,0,Enterobacteriaceae,TRUE
11.1.B.3,340,C11R1,6,340,0.181,0,7.379386753,0.282064868,2.905031297,0,0,Enterobacteriaceae,TRUE
11.1.C.1,461,C11R1,7,461,0.179333333,0,7.363538201,0.279925314,3.000696433,0,0,Enterobacteriaceae,TRUE
11.1.C.2,341,C11R1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.1.C.3,342,C11R1,9,342,0.034,0.07703643,0,0.009390542,0,0,0,Comamonadaceae,TRUE
11.2.A.1,343,C11R2,1,343,0.333666667,0.002735919,9.051408921,0.716869875,3.526854682,0,0,Aeromonadaceae,TRUE
11.2.A.2,453,C11R2,2,453,0.038,0.070717158,0,0.022227869,0,0.284740135,0,Moraxellaceae,TRUE
11.2.A.3,344,C11R2,3,344,0.159666667,0.01733697,8.988014716,0.394034884,3.986047334,0,0,Enterobacteriaceae,TRUE
11.2.A.3.2,345,C11R2,4,345,0.193,0,7.434856682,0.309641348,3.584253763,0,0,Enterobacteriaceae,TRUE
11.2.B.1,346,C11R2,5,346,0.163666667,0.022596489,7.601266472,0.479379333,3.115494597,0,NA,Enterobacteriaceae,TRUE
11.2.B.2,280,C11R2,6,280,0.186666667,0,7.617115023,0.579938391,0.765321088,0.666479656,0,Enterobacteriaceae,TRUE
11.2.B.3,348,C11R2,7,348,0.153666667,0.021929237,9.812139387,0.39593671,4.005180362,0.306643222,0,Enterobacteriaceae,TRUE
11.2.B.4.1,454,C11R2,8,454,0.038,0.076094427,0,0.016284662,0,2.184050704,0,Moraxellaceae,TRUE
11.2.B.4.2,455,C11R2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.2.B.6,350,C11R2,10,350,0.034,0.075387924,0,0.009865999,0,0.122031486,0,Pseudomonadaceae,TRUE
11.2.B.7,458,C11R2,11,458,0.160333333,0.055409604,7.149582758,0.696662972,2.484104699,0.093870374,0,Enterobacteriaceae,TRUE
11.2.B.8.2,460,C11R2,12,460,0.143666667,0.029504513,8.758210721,0.367171589,3.485399789,0,0,Enterobacteriaceae,TRUE
11.5.A.1,352,C11R5,1,352,0.133333333,0.0399843,0,0.022227869,0.019133027,2.76291801,1.46378661265856,Pseudomonadaceae,TRUE
11.5.A.1.2,353,C11R5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.5.B.1,355,C11R5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.5.B.2,462,C11R5,4,462,0.124333333,0.046970824,0,0.019612858,0.009566514,3.032013083,1.54674028138065,Pseudomonadaceae,TRUE
11.5.B.3,356,C11R5,5,356,0.176666667,0,7.181279861,0.31891275,3.702240764,0,0,Enterobacteriaceae,TRUE
