Community,Isolate1,Isolate2,InteractionType,From,To,Family1,Family2,Genus1,Genus2,Fermenter1,Fermenter2
AcrAss1,3,7,coexistence,3,7,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
AcrAss1,3,8,coexistence,3,8,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
AcrAss1,4,5,coexistence,4,5,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,TRUE,TRUE
AcrAss1,4,6,coexistence,4,6,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas,TRUE,FALSE
AcrAss1,4,7,coexistence,4,7,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,TRUE,TRUE
AcrAss1,4,8,coexistence,4,8,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,TRUE,TRUE
AcrAss1,5,6,exclusion,5,6,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
AcrAss1,5,7,coexistence,5,7,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
AcrAss1,5,8,coexistence,5,8,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
AcrAss1,6,7,exclusion,7,6,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
AcrAss1,6,8,exclusion,8,6,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
AcrAss1,7,8,coexistence,7,8,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
AcrAss2,1,2,exclusion,2,1,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,TRUE,FALSE
AcrAss2,1,3,exclusion,1,3,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,TRUE,FALSE
AcrAss2,1,4,exclusion,1,4,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
AcrAss2,1,5,coexistence,1,5,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,TRUE,FALSE
AcrAss2,1,6,coexistence,1,6,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
AcrAss2,1,7,exclusion,7,1,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Raoultella,TRUE,TRUE
AcrAss2,1,8,exclusion,8,1,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Serratia,TRUE,TRUE
AcrAss2,2,3,coexistence,2,3,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
AcrAss2,2,4,coexistence,2,4,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
AcrAss2,2,5,exclusion,2,5,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
AcrAss2,2,6,exclusion,2,6,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
AcrAss2,2,7,exclusion,7,2,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FALSE,TRUE
AcrAss2,2,8,exclusion,8,2,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FALSE,TRUE
AcrAss2,3,4,coexistence,3,4,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
AcrAss2,3,5,coexistence,3,5,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
AcrAss2,3,6,coexistence,3,6,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
AcrAss2,3,7,exclusion,7,3,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FALSE,TRUE
AcrAss2,3,8,exclusion,8,3,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FALSE,TRUE
AcrAss2,4,5,coexistence,4,5,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
AcrAss2,4,6,coexistence,4,6,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
AcrAss2,4,7,exclusion,7,4,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,TRUE,TRUE
AcrAss2,4,8,exclusion,8,4,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,TRUE,TRUE
AcrAss2,5,6,coexistence,5,6,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
AcrAss2,5,7,exclusion,7,5,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella,FALSE,TRUE
AcrAss2,5,8,exclusion,8,5,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia,FALSE,TRUE
AcrAss2,6,7,coexistence,6,7,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,TRUE,TRUE
AcrAss2,6,8,exclusion,8,6,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia,TRUE,TRUE
AcrAss2,7,8,exclusion,8,7,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Serratia,TRUE,TRUE
RanAss1,1,2,coexistence,1,2,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
RanAss1,1,3,coexistence,1,3,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Raoultella,TRUE,TRUE
RanAss1,1,4,coexistence,1,4,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
RanAss1,1,5,coexistence,1,5,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Pantoea,TRUE,TRUE
RanAss1,1,6,coexistence,1,6,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
RanAss1,1,7,coexistence,1,7,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,TRUE,FALSE
RanAss1,1,8,coexistence,1,8,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,TRUE,FALSE
RanAss1,2,3,coexistence,2,3,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,TRUE,TRUE
RanAss1,2,4,exclusion,2,4,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
RanAss1,2,5,coexistence,2,5,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Pantoea,TRUE,TRUE
RanAss1,2,6,exclusion,6,2,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
RanAss1,2,7,coexistence,2,7,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
RanAss1,2,8,exclusion,2,8,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
RanAss1,3,4,coexistence,3,4,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,TRUE,TRUE
RanAss1,3,5,exclusion,3,5,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Pantoea,TRUE,TRUE
RanAss1,3,6,coexistence,3,6,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,TRUE,TRUE
RanAss1,3,7,exclusion,3,7,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas,TRUE,FALSE
RanAss1,3,8,exclusion,3,8,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas,TRUE,FALSE
RanAss1,4,5,exclusion,4,5,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Pantoea,TRUE,TRUE
RanAss1,4,6,coexistence,4,6,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
RanAss1,4,7,coexistence,4,7,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
RanAss1,4,8,coexistence,4,8,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
RanAss1,5,6,exclusion,6,5,Enterobacteriaceae,Enterobacteriaceae,Pantoea,Enterobacter,TRUE,TRUE
RanAss1,5,7,coexistence,5,7,Enterobacteriaceae,Pseudomonadaceae,Pantoea,Pseudomonas,TRUE,FALSE
RanAss1,5,8,coexistence,5,8,Enterobacteriaceae,Pseudomonadaceae,Pantoea,Pseudomonas,TRUE,FALSE
RanAss1,6,7,exclusion,6,7,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
RanAss1,6,8,exclusion,6,8,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
RanAss1,7,8,coexistence,7,8,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
RanAss2,1,2,coexistence,1,2,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
RanAss2,1,3,coexistence,1,3,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Raoultella,TRUE,TRUE
RanAss2,1,4,coexistence,1,4,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,TRUE,FALSE
RanAss2,1,5,exclusion,1,5,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,TRUE,FALSE
RanAss2,1,6,coexistence,1,6,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
RanAss2,1,7,exclusion,1,7,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas,TRUE,FALSE
RanAss2,1,8,coexistence,1,8,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Enterobacter,TRUE,TRUE
RanAss2,2,3,coexistence,2,3,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella,TRUE,TRUE
RanAss2,2,4,coexistence,2,4,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
RanAss2,2,5,exclusion,2,5,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
RanAss2,2,6,coexistence,2,6,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
RanAss2,2,7,coexistence,2,7,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
RanAss2,2,8,coexistence,2,8,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
RanAss2,3,4,coexistence,3,4,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas,TRUE,FALSE
RanAss2,3,5,exclusion,3,5,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas,TRUE,FALSE
RanAss2,3,6,coexistence,3,6,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,TRUE,TRUE
RanAss2,3,7,exclusion,3,7,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas,TRUE,FALSE
RanAss2,3,8,coexistence,3,8,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter,TRUE,TRUE
RanAss2,4,5,coexistence,4,5,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
RanAss2,4,6,exclusion,6,4,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
RanAss2,4,7,coexistence,4,7,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
RanAss2,4,8,exclusion,8,4,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
RanAss2,5,6,exclusion,6,5,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
RanAss2,5,7,coexistence,5,7,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas,FALSE,FALSE
RanAss2,5,8,exclusion,8,5,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
RanAss2,6,7,exclusion,6,7,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas,TRUE,FALSE
RanAss2,6,8,coexistence,6,8,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter,TRUE,TRUE
RanAss2,7,8,coexistence,7,8,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter,FALSE,TRUE
