Community,Richness,Replicate,Motif,Count,Fraction
W0,6,18,2,2,0.1
W0,6,18,3,3,0.15
W0,6,18,4,6,0.3
W0,6,18,5,3,0.15
W0,6,18,6,4,0.2
W0,6,18,7,0,0
W0,6,19,1,1,0.05
W0,6,19,2,5,0.25
W0,6,19,3,3,0.15
W0,6,19,4,5,0.25
W0,6,19,5,1,0.05
W0,6,19,6,4,0.2
W0,6,19,7,1,0.05
W0,6,20,1,0,0
W0,6,20,2,5,0.25
W0,6,20,3,5,0.25
W0,6,20,4,4,0.2
W0,6,20,5,1,0.05
W0,6,20,6,5,0.25
W0,6,20,7,0,0
W0,6,21,1,2,0.1
W0,6,21,2,4,0.2
W0,6,21,3,2,0.1
W0,6,21,4,6,0.3
W0,6,21,5,0,0
W0,6,21,6,6,0.3
W0,6,21,7,0,0
W0,6,22,1,0,0
W0,6,22,2,5,0.25
W0,6,22,3,1,0.05
W0,6,22,4,6,0.3
W0,6,22,5,3,0.15
W0,6,22,6,5,0.25
W0,6,22,7,0,0
W0,6,23,1,3,0.15
W0,6,23,2,4,0.2
W0,6,23,3,3,0.15
W0,6,23,4,2,0.1
W0,6,23,5,1,0.05
W0,6,23,6,7,0.35
W0,6,23,7,0,0
W0,6,24,1,1,0.05
W0,6,24,2,4,0.2
W0,6,24,3,3,0.15
W0,6,24,4,5,0.25
W0,6,24,5,2,0.1
W0,6,24,6,5,0.25
W0,6,24,7,0,0
W0,6,25,1,2,0.1
W0,6,25,2,4,0.2
W0,6,25,3,0,0
W0,6,25,4,4,0.2
W0,6,25,5,4,0.2
W0,6,25,6,6,0.3
W0,6,25,7,0,0
W0,6,26,1,2,0.1
W0,6,26,2,4,0.2
W0,6,26,3,1,0.05
W0,6,26,4,4,0.2
W0,6,26,5,4,0.2
W0,6,26,6,4,0.2
W0,6,26,7,1,0.05
W0,6,27,1,2,0.1
W0,6,27,2,3,0.15
W0,6,27,3,2,0.1
W0,6,27,4,5,0.25
W0,6,27,5,3,0.15
W0,6,27,6,5,0.25
W0,6,27,7,0,0
W0,6,28,1,3,0.15
W0,6,28,2,4,0.2
W0,6,28,3,0,0
W0,6,28,4,4,0.2
W0,6,28,5,3,0.15
W0,6,28,6,5,0.25
W0,6,28,7,1,0.05
W0,6,29,1,1,0.05
W0,6,29,2,3,0.15
W0,6,29,3,2,0.1
W0,6,29,4,9,0.45
W0,6,29,5,1,0.05
W0,6,29,6,4,0.2
W0,6,29,7,0,0
W0,6,30,1,2,0.1
W0,6,30,2,4,0.2
W0,6,30,3,2,0.1
W0,6,30,4,3,0.15
W0,6,30,5,3,0.15
W0,6,30,6,6,0.3
W0,6,30,7,0,0
W0,6,31,1,1,0.05
W0,6,31,2,4,0.2
W0,6,31,3,4,0.2
W0,6,31,4,4,0.2
W0,6,31,5,2,0.1
W0,6,31,6,5,0.25
W0,6,31,7,0,0
W0,6,32,1,2,0.1
W0,6,32,2,2,0.1
W0,6,32,3,4,0.2
W0,6,32,4,4,0.2
W0,6,32,5,4,0.2
W0,6,32,6,4,0.2
W0,6,32,7,0,0
W0,6,33,1,0,0
W0,6,33,2,6,0.3
W0,6,33,3,2,0.1
W0,6,33,4,6,0.3
W0,6,33,5,1,0.05
W0,6,33,6,4,0.2
W0,6,33,7,1,0.05
W0,6,34,1,0,0
W0,6,34,2,6,0.3
W0,6,34,3,2,0.1
W0,6,34,4,6,0.3
W0,6,34,5,0,0
W0,6,34,6,6,0.3
W0,6,34,7,0,0
W0,6,35,1,0,0
W0,6,35,2,5,0.25
W0,6,35,3,4,0.2
W0,6,35,4,1,0.05
W0,6,35,5,5,0.25
W0,6,35,6,5,0.25
W0,6,35,7,0,0
W0,6,36,1,3,0.15
W0,6,36,2,3,0.15
W0,6,36,3,4,0.2
W0,6,36,4,3,0.15
W0,6,36,5,1,0.05
W0,6,36,6,6,0.3
W0,6,36,7,0,0
W0,6,37,1,2,0.1
W0,6,37,2,5,0.25
W0,6,37,3,0,0
W0,6,37,4,3,0.15
W0,6,37,5,3,0.15
W0,6,37,6,7,0.35
W0,6,37,7,0,0
W0,6,38,1,2,0.1
W0,6,38,2,4,0.2
W0,6,38,3,1,0.05
W0,6,38,4,4,0.2
W0,6,38,5,3,0.15
W0,6,38,6,6,0.3
W0,6,38,7,0,0
W0,6,39,1,1,0.05
W0,6,39,2,5,0.25
W0,6,39,3,8,0.4
W0,6,39,4,2,0.1
W0,6,39,5,0,0
W0,6,39,6,2,0.1
W0,6,39,7,2,0.1
W0,6,40,1,2,0.1
W0,6,40,2,3,0.15
W0,6,40,3,4,0.2
W0,6,40,4,6,0.3
W0,6,40,5,1,0.05
W0,6,40,6,3,0.15
W0,6,40,7,1,0.05
W0,6,41,1,3,0.15
W0,6,41,2,2,0.1
W0,6,41,3,3,0.15
W0,6,41,4,5,0.25
W0,6,41,5,2,0.1
W0,6,41,6,5,0.25
W0,6,41,7,0,0
W0,6,42,1,2,0.1
W0,6,42,2,3,0.15
W0,6,42,3,2,0.1
W0,6,42,4,5,0.25
W0,6,42,5,3,0.15
W0,6,42,6,5,0.25
W0,6,42,7,0,0
W0,6,43,1,3,0.15
W0,6,43,2,3,0.15
W0,6,43,3,3,0.15
W0,6,43,4,4,0.2
W0,6,43,5,1,0.05
W0,6,43,6,6,0.3
W0,6,43,7,0,0
W0,6,44,1,1,0.05
W0,6,44,2,3,0.15
W0,6,44,3,5,0.25
W0,6,44,4,4,0.2
W0,6,44,5,3,0.15
W0,6,44,6,4,0.2
W0,6,44,7,0,0
W0,6,45,1,2,0.1
W0,6,45,2,3,0.15
W0,6,45,3,3,0.15
W0,6,45,4,6,0.3
W0,6,45,5,1,0.05
W0,6,45,6,5,0.25
W0,6,45,7,0,0
W0,6,46,1,1,0.05
W0,6,46,2,5,0.25
W0,6,46,3,1,0.05
W0,6,46,4,5,0.25
W0,6,46,5,2,0.1
W0,6,46,6,6,0.3
W0,6,46,7,0,0
W0,6,47,1,1,0.05
W0,6,47,2,4,0.2
W0,6,47,3,3,0.15
W0,6,47,4,6,0.3
W0,6,47,5,1,0.05
W0,6,47,6,5,0.25
W0,6,47,7,0,0
W0,6,48,1,1,0.05
W0,6,48,2,5,0.25
W0,6,48,3,1,0.05
W0,6,48,4,6,0.3
W0,6,48,5,1,0.05
W0,6,48,6,6,0.3
W0,6,48,7,0,0
W0,6,49,1,1,0.05
W0,6,49,2,3,0.15
W0,6,49,3,3,0.15
W0,6,49,4,6,0.3
W0,6,49,5,3,0.15
W0,6,49,6,4,0.2
W0,6,49,7,0,0
W0,6,50,1,2,0.1
W0,6,50,2,5,0.25
W0,6,50,3,0,0
W0,6,50,4,4,0.2
W0,6,50,5,2,0.1
W0,6,50,6,7,0.35
W0,6,50,7,0,0
W0,6,51,1,3,0.15
W0,6,51,2,1,0.05
W0,6,51,3,4,0.2
W0,6,51,4,5,0.25
W0,6,51,5,4,0.2
W0,6,51,6,2,0.1
W0,6,51,7,1,0.05
W0,6,52,1,1,0.05
W0,6,52,2,4,0.2
W0,6,52,3,1,0.05
W0,6,52,4,8,0.4
W0,6,52,5,1,0.05
W0,6,52,6,5,0.25
W0,6,52,7,0,0
W0,6,53,1,0,0
W0,6,53,2,5,0.25
W0,6,53,3,2,0.1
W0,6,53,4,5,0.25
W0,6,53,5,3,0.15
W0,6,53,6,5,0.25
W0,6,53,7,0,0
W0,6,54,1,2,0.1
W0,6,54,2,3,0.15
W0,6,54,3,2,0.1
W0,6,54,4,6,0.3
W0,6,54,5,2,0.1
W0,6,54,6,5,0.25
W0,6,54,7,0,0
W0,6,55,1,1,0.05
W0,6,55,2,3,0.15
W0,6,55,3,3,0.15
W0,6,55,4,4,0.2
W0,6,55,5,5,0.25
W0,6,55,6,4,0.2
W0,6,55,7,0,0
W0,6,56,1,1,0.05
W0,6,56,2,3,0.15
W0,6,56,3,3,0.15
W0,6,56,4,7,0.35
W0,6,56,5,2,0.1
W0,6,56,6,4,0.2
W0,6,56,7,0,0
W0,6,57,1,0,0
W0,6,57,2,6,0.3
W0,6,57,3,6,0.3
W0,6,57,4,1,0.05
W0,6,57,5,1,0.05
W0,6,57,6,6,0.3
W0,6,57,7,0,0
W0,6,58,1,2,0.1
W0,6,58,2,4,0.2
W0,6,58,3,1,0.05
W0,6,58,4,3,0.15
W0,6,58,5,4,0.2
W0,6,58,6,6,0.3
W0,6,58,7,0,0
W0,6,59,1,0,0
W0,6,59,2,3,0.15
W0,6,59,3,5,0.25
W0,6,59,4,4,0.2
W0,6,59,5,6,0.3
W0,6,59,6,1,0.05
W0,6,59,7,1,0.05
W0,6,60,1,1,0.05
W0,6,60,2,4,0.2
W0,6,60,3,4,0.2
W0,6,60,4,4,0.2
W0,6,60,5,2,0.1
W0,6,60,6,5,0.25
W0,6,60,7,0,0
W0,6,61,1,2,0.1
W0,6,61,2,3,0.15
W0,6,61,3,1,0.05
W0,6,61,4,5,0.25
W0,6,61,5,5,0.25
W0,6,61,6,3,0.15
W0,6,61,7,1,0.05
W0,6,62,1,1,0.05
W0,6,62,2,4,0.2
W0,6,62,3,2,0.1
W0,6,62,4,6,0.3
W0,6,62,5,3,0.15
W0,6,62,6,3,0.15
W0,6,62,7,1,0.05
W0,6,63,1,1,0.05
W0,6,63,2,3,0.15
W0,6,63,3,2,0.1
W0,6,63,4,6,0.3
W0,6,63,5,4,0.2
W0,6,63,6,4,0.2
W0,6,63,7,0,0
W0,6,64,1,1,0.05
W0,6,64,2,5,0.25
W0,6,64,3,3,0.15
W0,6,64,4,3,0.15
W0,6,64,5,2,0.1
W0,6,64,6,6,0.3
W0,6,64,7,0,0
W0,6,65,1,0,0
W0,6,65,2,5,0.25
W0,6,65,3,4,0.2
W0,6,65,4,1,0.05
W0,6,65,5,5,0.25
W0,6,65,6,5,0.25
W0,6,65,7,0,0
W0,6,66,1,1,0.05
W0,6,66,2,4,0.2
W0,6,66,3,4,0.2
W0,6,66,4,5,0.25
W0,6,66,5,2,0.1
W0,6,66,6,3,0.15
W0,6,66,7,1,0.05
W0,6,67,1,1,0.05
W0,6,67,2,5,0.25
W0,6,67,3,1,0.05
W0,6,67,4,5,0.25
W0,6,67,5,2,0.1
W0,6,67,6,6,0.3
W0,6,67,7,0,0
W0,6,68,1,1,0.05
W0,6,68,2,5,0.25
W0,6,68,3,4,0.2
W0,6,68,4,2,0.1
W0,6,68,5,2,0.1
W0,6,68,6,6,0.3
W0,6,68,7,0,0
W0,6,69,1,2,0.1
W0,6,69,2,4,0.2
W0,6,69,3,1,0.05
W0,6,69,4,7,0.35
W0,6,69,5,0,0
W0,6,69,6,6,0.3
W0,6,69,7,0,0
W0,6,70,1,3,0.15
W0,6,70,2,1,0.05
W0,6,70,3,4,0.2
W0,6,70,4,5,0.25
W0,6,70,5,3,0.15
W0,6,70,6,4,0.2
W0,6,70,7,0,0
W0,6,71,1,0,0
W0,6,71,2,5,0.25
W0,6,71,3,4,0.2
W0,6,71,4,4,0.2
W0,6,71,5,2,0.1
W0,6,71,6,5,0.25
W0,6,71,7,0,0
W0,6,72,1,1,0.05
W0,6,72,2,5,0.25
W0,6,72,3,4,0.2
W0,6,72,4,4,0.2
W0,6,72,5,0,0
W0,6,72,6,6,0.3
W0,6,72,7,0,0
W0,6,73,1,1,0.05
W0,6,73,2,6,0.3
W0,6,73,3,4,0.2
W0,6,73,4,3,0.15
W0,6,73,5,0,0
W0,6,73,6,5,0.25
W0,6,73,7,1,0.05
W0,6,74,1,0,0
W0,6,74,2,4,0.2
W0,6,74,3,4,0.2
W0,6,74,4,5,0.25
W0,6,74,5,3,0.15
W0,6,74,6,4,0.2
W0,6,74,7,0,0
W0,6,75,1,0,0
W0,6,75,2,6,0.3
W0,6,75,3,0,0
W0,6,75,4,5,0.25
W0,6,75,5,4,0.2
W0,6,75,6,4,0.2
W0,6,75,7,1,0.05
W0,6,76,1,0,0
W0,6,76,2,5,0.25
W0,6,76,3,1,0.05
W0,6,76,4,8,0.4
W0,6,76,5,2,0.1
W0,6,76,6,3,0.15
W0,6,76,7,1,0.05
W0,6,77,1,1,0.05
W0,6,77,2,4,0.2
W0,6,77,3,0,0
W0,6,77,4,9,0.45
W0,6,77,5,1,0.05
W0,6,77,6,5,0.25
W0,6,77,7,0,0
W0,6,78,1,1,0.05
W0,6,78,2,5,0.25
W0,6,78,3,4,0.2
W0,6,78,4,3,0.15
W0,6,78,5,1,0.05
W0,6,78,6,6,0.3
W0,6,78,7,0,0
W0,6,79,1,1,0.05
W0,6,79,2,4,0.2
W0,6,79,3,2,0.1
W0,6,79,4,3,0.15
W0,6,79,5,5,0.25
W0,6,79,6,5,0.25
W0,6,79,7,0,0
W0,6,80,1,2,0.1
W0,6,80,2,3,0.15
W0,6,80,3,2,0.1
W0,6,80,4,4,0.2
W0,6,80,5,4,0.2
W0,6,80,6,5,0.25
W0,6,80,7,0,0
W0,6,81,1,0,0
W0,6,81,2,4,0.2
W0,6,81,3,6,0.3
W0,6,81,4,1,0.05
W0,6,81,5,5,0.25
W0,6,81,6,4,0.2
W0,6,81,7,0,0
W0,6,82,1,0,0
W0,6,82,2,4,0.2
W0,6,82,3,3,0.15
W0,6,82,4,6,0.3
W0,6,82,5,4,0.2
W0,6,82,6,2,0.1
W0,6,82,7,1,0.05
W0,6,83,1,2,0.1
W0,6,83,2,3,0.15
W0,6,83,3,3,0.15
W0,6,83,4,6,0.3
W0,6,83,5,2,0.1
W0,6,83,6,3,0.15
W0,6,83,7,1,0.05
W0,6,84,1,0,0
W0,6,84,2,6,0.3
W0,6,84,3,4,0.2
W0,6,84,4,5,0.25
W0,6,84,5,0,0
W0,6,84,6,4,0.2
W0,6,84,7,1,0.05
W0,6,85,1,2,0.1
W0,6,85,2,2,0.1
W0,6,85,3,3,0.15
W0,6,85,4,5,0.25
W0,6,85,5,4,0.2
W0,6,85,6,4,0.2
W0,6,85,7,0,0
W0,6,86,1,2,0.1
W0,6,86,2,2,0.1
W0,6,86,3,4,0.2
W0,6,86,4,6,0.3
W0,6,86,5,3,0.15
W0,6,86,6,2,0.1
W0,6,86,7,1,0.05
W0,6,87,1,3,0.15
W0,6,87,2,2,0.1
W0,6,87,3,3,0.15
W0,6,87,4,4,0.2
W0,6,87,5,3,0.15
W0,6,87,6,5,0.25
W0,6,87,7,0,0
W0,6,88,1,1,0.05
W0,6,88,2,4,0.2
W0,6,88,3,4,0.2
W0,6,88,4,5,0.25
W0,6,88,5,2,0.1
W0,6,88,6,3,0.15
W0,6,88,7,1,0.05
W0,6,89,1,1,0.05
W0,6,89,2,5,0.25
W0,6,89,3,2,0.1
W0,6,89,4,5,0.25
W0,6,89,5,1,0.05
W0,6,89,6,6,0.3
W0,6,89,7,0,0
W0,6,90,1,1,0.05
W0,6,90,2,4,0.2
W0,6,90,3,3,0.15
W0,6,90,4,5,0.25
W0,6,90,5,2,0.1
W0,6,90,6,5,0.25
W0,6,90,7,0,0
W0,6,91,1,1,0.05
W0,6,91,2,5,0.25
W0,6,91,3,1,0.05
W0,6,91,4,5,0.25
W0,6,91,5,3,0.15
W0,6,91,6,4,0.2
W0,6,91,7,1,0.05
W0,6,92,1,0,0
W0,6,92,2,7,0.35
W0,6,92,3,1,0.05
W0,6,92,4,3,0.15
W0,6,92,5,3,0.15
W0,6,92,6,5,0.25
W0,6,92,7,1,0.05
W0,6,93,1,3,0.15
W0,6,93,2,4,0.2
W0,6,93,3,2,0.1
W0,6,93,4,4,0.2
W0,6,93,5,0,0
W0,6,93,6,7,0.35
W0,6,93,7,0,0
W0,6,94,1,1,0.05
W0,6,94,2,5,0.25
W0,6,94,3,3,0.15
W0,6,94,4,6,0.3
W0,6,94,5,0,0
W0,6,94,6,4,0.2
W0,6,94,7,1,0.05
W0,6,95,1,0,0
W0,6,95,2,6,0.3
W0,6,95,3,2,0.1
W0,6,95,4,4,0.2
W0,6,95,5,3,0.15
W0,6,95,6,4,0.2
W0,6,95,7,1,0.05
W0,6,96,1,2,0.1
W0,6,96,2,3,0.15
W0,6,96,3,2,0.1
W0,6,96,4,4,0.2
W0,6,96,5,4,0.2
W0,6,96,6,5,0.25
W0,6,96,7,0,0
W0,6,97,1,1,0.05
W0,6,97,2,3,0.15
W0,6,97,3,3,0.15
W0,6,97,4,7,0.35
W0,6,97,5,2,0.1
W0,6,97,6,4,0.2
W0,6,97,7,0,0
W0,6,98,1,1,0.05
W0,6,98,2,4,0.2
W0,6,98,3,2,0.1
W0,6,98,4,5,0.25
W0,6,98,5,3,0.15
W0,6,98,6,5,0.25
W0,6,98,7,0,0
W0,6,99,1,1,0.05
W0,6,99,2,5,0.25
W0,6,99,3,1,0.05
W0,6,99,4,4,0.2
W0,6,99,5,3,0.15
W0,6,99,6,6,0.3
W0,6,99,7,0,0
W0,6,100,1,0,0
W0,6,100,2,5,0.25
W0,6,100,3,0,0
W0,6,100,4,9,0.45
W0,6,100,5,1,0.05
W0,6,100,6,5,0.25
W0,6,100,7,0,0
W0,6,101,1,0,0
W0,6,101,2,6,0.3
W0,6,101,3,2,0.1
W0,6,101,4,7,0.35
W0,6,101,5,0,0
W0,6,101,6,4,0.2
W0,6,101,7,1,0.05
W0,6,102,1,2,0.1
W0,6,102,2,5,0.25
W0,6,102,3,3,0.15
W0,6,102,4,4,0.2
W0,6,102,5,0,0
W0,6,102,6,5,0.25
W0,6,102,7,1,0.05
W0,6,103,1,0,0
W0,6,103,2,7,0.35
W0,6,103,3,0,0
W0,6,103,4,6,0.3
W0,6,103,5,1,0.05
W0,6,103,6,5,0.25
W0,6,103,7,1,0.05
W0,6,104,1,1,0.05
W0,6,104,2,5,0.25
W0,6,104,3,0,0
W0,6,104,4,6,0.3
W0,6,104,5,3,0.15
W0,6,104,6,4,0.2
W0,6,104,7,1,0.05
W0,6,105,1,1,0.05
W0,6,105,2,3,0.15
W0,6,105,3,5,0.25
W0,6,105,4,6,0.3
W0,6,105,5,2,0.1
W0,6,105,6,2,0.1
W0,6,105,7,1,0.05
W0,6,106,1,3,0.15
W0,6,106,2,1,0.05
W0,6,106,3,3,0.15
W0,6,106,4,5,0.25
W0,6,106,5,5,0.25
W0,6,106,6,2,0.1
W0,6,106,7,1,0.05
W0,6,107,1,0,0
W0,6,107,2,7,0.35
W0,6,107,3,1,0.05
W0,6,107,4,6,0.3
W0,6,107,5,0,0
W0,6,107,6,5,0.25
W0,6,107,7,1,0.05
W0,6,108,1,1,0.05
W0,6,108,2,4,0.2
W0,6,108,3,4,0.2
W0,6,108,4,5,0.25
W0,6,108,5,1,0.05
W0,6,108,6,5,0.25
W0,6,108,7,0,0
W0,6,109,1,1,0.05
W0,6,109,2,4,0.2
W0,6,109,3,1,0.05
W0,6,109,4,5,0.25
W0,6,109,5,4,0.2
W0,6,109,6,5,0.25
W0,6,109,7,0,0
W0,6,110,1,2,0.1
W0,6,110,2,5,0.25
W0,6,110,3,2,0.1
W0,6,110,4,4,0.2
W0,6,110,5,0,0
W0,6,110,6,7,0.35
W0,6,110,7,0,0
W0,6,111,1,3,0.15
W0,6,111,2,2,0.1
W0,6,111,3,3,0.15
W0,6,111,4,5,0.25
W0,6,111,5,3,0.15
W0,6,111,6,3,0.15
W0,6,111,7,1,0.05
W0,6,112,1,1,0.05
W0,6,112,2,5,0.25
W0,6,112,3,4,0.2
W0,6,112,4,3,0.15
W0,6,112,5,2,0.1
W0,6,112,6,4,0.2
W0,6,112,7,1,0.05
W0,6,113,1,4,0.2
W0,6,113,2,2,0.1
W0,6,113,3,3,0.15
W0,6,113,4,3,0.15
W0,6,113,5,2,0.1
W0,6,113,6,6,0.3
W0,6,113,7,0,0
W0,6,114,1,3,0.15
W0,6,114,2,3,0.15
W0,6,114,3,1,0.05
W0,6,114,4,4,0.2
W0,6,114,5,4,0.2
W0,6,114,6,4,0.2
W0,6,114,7,1,0.05
W0,6,115,1,0,0
W0,6,115,2,5,0.25
W0,6,115,3,5,0.25
W0,6,115,4,3,0.15
W0,6,115,5,2,0.1
W0,6,115,6,5,0.25
W0,6,115,7,0,0
W0,6,116,1,1,0.05
W0,6,116,2,5,0.25
W0,6,116,3,0,0
W0,6,116,4,7,0.35
W0,6,116,5,2,0.1
W0,6,116,6,4,0.2
W0,6,116,7,1,0.05
W0,6,117,1,0,0
W0,6,117,2,6,0.3
W0,6,117,3,1,0.05
W0,6,117,4,5,0.25
W0,6,117,5,2,0.1
W0,6,117,6,6,0.3
W0,6,117,7,0,0
W0,6,118,1,0,0
W0,6,118,2,4,0.2
W0,6,118,3,3,0.15
W0,6,118,4,4,0.2
W0,6,118,5,6,0.3
W0,6,118,6,2,0.1
W0,6,118,7,1,0.05
W0,6,119,1,1,0.05
W0,6,119,2,5,0.25
W0,6,119,3,1,0.05
W0,6,119,4,3,0.15
W0,6,119,5,6,0.3
W0,6,119,6,2,0.1
W0,6,119,7,2,0.1
W0,6,120,1,2,0.1
W0,6,120,2,3,0.15
W0,6,120,3,4,0.2
W0,6,120,4,6,0.3
W0,6,120,5,1,0.05
W0,6,120,6,3,0.15
W0,6,120,7,1,0.05
W0,6,121,1,1,0.05
W0,6,121,2,5,0.25
W0,6,121,3,2,0.1
W0,6,121,4,7,0.35
W0,6,121,5,0,0
W0,6,121,6,4,0.2
W0,6,121,7,1,0.05
W0,6,122,1,2,0.1
W0,6,122,2,2,0.1
W0,6,122,3,4,0.2
W0,6,122,4,6,0.3
W0,6,122,5,3,0.15
W0,6,122,6,2,0.1
W0,6,122,7,1,0.05
W0,6,123,1,1,0.05
W0,6,123,2,4,0.2
W0,6,123,3,1,0.05
W0,6,123,4,7,0.35
W0,6,123,5,2,0.1
W0,6,123,6,5,0.25
W0,6,123,7,0,0
W0,6,124,1,3,0.15
W0,6,124,2,3,0.15
W0,6,124,3,6,0.3
W0,6,124,4,3,0.15
W0,6,124,5,1,0.05
W0,6,124,6,2,0.1
W0,6,124,7,2,0.1
W0,6,125,1,4,0.2
W0,6,125,2,0,0
W0,6,125,3,4,0.2
W0,6,125,4,2,0.1
W0,6,125,5,7,0.35
W0,6,125,6,2,0.1
W0,6,125,7,1,0.05
W0,6,126,1,1,0.05
W0,6,126,2,3,0.15
W0,6,126,3,3,0.15
W0,6,126,4,6,0.3
W0,6,126,5,3,0.15
W0,6,126,6,4,0.2
W0,6,126,7,0,0
W0,6,127,1,0,0
W0,6,127,2,6,0.3
W0,6,127,3,3,0.15
W0,6,127,4,3,0.15
W0,6,127,5,3,0.15
W0,6,127,6,4,0.2
W0,6,127,7,1,0.05
W0,6,128,1,1,0.05
W0,6,128,2,4,0.2
W0,6,128,3,1,0.05
W0,6,128,4,6,0.3
W0,6,128,5,4,0.2
W0,6,128,6,3,0.15
W0,6,128,7,1,0.05
W0,6,129,1,2,0.1
W0,6,129,2,4,0.2
W0,6,129,3,0,0
W0,6,129,4,5,0.25
W0,6,129,5,3,0.15
W0,6,129,6,6,0.3
W0,6,129,7,0,0
W0,6,130,1,1,0.05
W0,6,130,2,3,0.15
W0,6,130,3,2,0.1
W0,6,130,4,7,0.35
W0,6,130,5,4,0.2
W0,6,130,6,2,0.1
W0,6,130,7,1,0.05
W0,6,131,1,2,0.1
W0,6,131,2,4,0.2
W0,6,131,3,0,0
W0,6,131,4,7,0.35
W0,6,131,5,2,0.1
W0,6,131,6,4,0.2
W0,6,131,7,1,0.05
W0,6,132,1,0,0
W0,6,132,2,5,0.25
W0,6,132,3,2,0.1
W0,6,132,4,3,0.15
W0,6,132,5,5,0.25
W0,6,132,6,5,0.25
W0,6,132,7,0,0
W0,6,133,1,1,0.05
W0,6,133,2,5,0.25
W0,6,133,3,4,0.2
W0,6,133,4,4,0.2
W0,6,133,5,0,0
W0,6,133,6,6,0.3
W0,6,133,7,0,0
W0,6,134,1,1,0.05
W0,6,134,2,5,0.25
W0,6,134,3,4,0.2
W0,6,134,4,3,0.15
W0,6,134,5,1,0.05
W0,6,134,6,6,0.3
W0,6,134,7,0,0
W0,6,135,1,2,0.1
W0,6,135,2,3,0.15
W0,6,135,3,2,0.1
W0,6,135,4,8,0.4
W0,6,135,5,1,0.05
W0,6,135,6,3,0.15
W0,6,135,7,1,0.05
W0,6,136,1,1,0.05
W0,6,136,2,3,0.15
W0,6,136,3,3,0.15
