Community,Replicate,RankDifference,InteractionType,Count,TotalCount,Fraction
W0,45,5,coexistence,0,1,0
W0,46,0,coexistence,1,1,1
W0,46,1,coexistence,2,4,0.5
W0,46,2,coexistence,1,4,0.25
W0,46,3,coexistence,1,3,0.3333333333333333
W0,46,4,coexistence,0,2,0
W0,46,5,coexistence,0,1,0
W0,47,0,coexistence,1,1,1
W0,47,1,coexistence,2,4,0.5
W0,47,2,coexistence,1,4,0.25
W0,47,3,coexistence,1,3,0.3333333333333333
W0,47,4,coexistence,0,2,0
W0,47,5,coexistence,0,1,0
W0,48,0,coexistence,0,1,0
W0,48,1,coexistence,1,4,0.25
W0,48,2,coexistence,2,4,0.5
W0,48,3,coexistence,2,3,0.6666666666666666
W0,48,4,coexistence,0,2,0
W0,48,5,coexistence,0,1,0
W0,49,0,coexistence,0,1,0
W0,49,1,coexistence,3,4,0.75
W0,49,2,coexistence,1,4,0.25
W0,49,3,coexistence,1,3,0.3333333333333333
W0,49,4,coexistence,0,2,0
W0,49,5,coexistence,0,1,0
W0,50,0,coexistence,0,1,0
W0,50,1,coexistence,2,4,0.5
W0,50,2,coexistence,1,4,0.25
W0,50,3,coexistence,1,3,0.3333333333333333
W0,50,4,coexistence,1,2,0.5
W0,50,5,coexistence,0,1,0
W0,51,0,coexistence,0,1,0
W0,51,1,coexistence,2,4,0.5
W0,51,2,coexistence,1,4,0.25
W0,51,3,coexistence,2,3,0.6666666666666666
W0,51,4,coexistence,0,2,0
W0,51,5,coexistence,0,1,0
W0,52,0,coexistence,0,1,0
W0,52,1,coexistence,1,4,0.25
W0,52,2,coexistence,2,4,0.5
W0,52,3,coexistence,1,3,0.3333333333333333
W0,52,4,coexistence,0,2,0
W0,52,5,coexistence,1,1,1
W0,53,0,coexistence,1,1,1
W0,53,1,coexistence,1,4,0.25
W0,53,2,coexistence,2,4,0.5
W0,53,3,coexistence,0,3,0
W0,53,4,coexistence,1,2,0.5
W0,53,5,coexistence,0,1,0
W0,54,0,coexistence,1,1,1
W0,54,1,coexistence,1,4,0.25
W0,54,2,coexistence,2,4,0.5
W0,54,3,coexistence,1,3,0.3333333333333333
W0,54,4,coexistence,0,2,0
W0,54,5,coexistence,0,1,0
W0,55,0,coexistence,0,1,0
W0,55,1,coexistence,2,4,0.5
W0,55,2,coexistence,1,4,0.25
W0,55,3,coexistence,1,3,0.3333333333333333
W0,55,4,coexistence,0,2,0
W0,55,5,coexistence,1,1,1
W0,56,0,coexistence,0,1,0
W0,56,1,coexistence,2,4,0.5
W0,56,2,coexistence,2,4,0.5
W0,56,3,coexistence,0,3,0
W0,56,4,coexistence,0,2,0
W0,56,5,coexistence,1,1,1
W0,57,0,coexistence,0,1,0
W0,57,1,coexistence,1,4,0.25
W0,57,2,coexistence,2,4,0.5
W0,57,3,coexistence,1,3,0.3333333333333333
W0,57,4,coexistence,1,2,0.5
W0,57,5,coexistence,0,1,0
W0,58,0,coexistence,0,1,0
W0,58,1,coexistence,2,4,0.5
W0,58,2,coexistence,1,4,0.25
W0,58,3,coexistence,1,3,0.3333333333333333
W0,58,4,coexistence,1,2,0.5
W0,58,5,coexistence,0,1,0
W0,59,0,coexistence,0,1,0
W0,59,1,coexistence,0,4,0
W0,59,2,coexistence,2,4,0.5
W0,59,3,coexistence,1,3,0.3333333333333333
W0,59,4,coexistence,2,2,1
W0,59,5,coexistence,0,1,0
W0,60,0,coexistence,0,1,0
W0,60,1,coexistence,2,4,0.5
W0,60,2,coexistence,1,4,0.25
W0,60,3,coexistence,1,3,0.3333333333333333
W0,60,4,coexistence,1,2,0.5
W0,60,5,coexistence,0,1,0
W0,61,0,coexistence,0,1,0
W0,61,1,coexistence,1,4,0.25
W0,61,2,coexistence,1,4,0.25
W0,61,3,coexistence,2,3,0.6666666666666666
W0,61,4,coexistence,1,2,0.5
W0,61,5,coexistence,0,1,0
W0,62,0,coexistence,0,1,0
W0,62,1,coexistence,2,4,0.5
W0,62,2,coexistence,0,4,0
W0,62,3,coexistence,1,3,0.3333333333333333
W0,62,4,coexistence,2,2,1
W0,62,5,coexistence,0,1,0
W0,63,0,coexistence,1,1,1
W0,63,1,coexistence,1,4,0.25
W0,63,2,coexistence,0,4,0
W0,63,3,coexistence,2,3,0.6666666666666666
W0,63,4,coexistence,1,2,0.5
W0,63,5,coexistence,0,1,0
W0,64,0,coexistence,0,1,0
W0,64,1,coexistence,1,4,0.25
W0,64,2,coexistence,2,4,0.5
W0,64,3,coexistence,2,3,0.6666666666666666
W0,64,4,coexistence,0,2,0
W0,64,5,coexistence,0,1,0
W0,65,0,coexistence,0,1,0
W0,65,1,coexistence,1,4,0.25
W0,65,2,coexistence,2,4,0.5
W0,65,3,coexistence,1,3,0.3333333333333333
W0,65,4,coexistence,1,2,0.5
W0,65,5,coexistence,0,1,0
W0,66,0,coexistence,0,1,0
W0,66,1,coexistence,1,4,0.25
W0,66,2,coexistence,1,4,0.25
W0,66,3,coexistence,1,3,0.3333333333333333
W0,66,4,coexistence,1,2,0.5
W0,66,5,coexistence,1,1,1
W0,67,0,coexistence,1,1,1
W0,67,1,coexistence,1,4,0.25
W0,67,2,coexistence,1,4,0.25
W0,67,3,coexistence,2,3,0.6666666666666666
W0,67,4,coexistence,0,2,0
W0,67,5,coexistence,0,1,0
W0,68,0,coexistence,0,1,0
W0,68,1,coexistence,1,4,0.25
W0,68,2,coexistence,0,4,0
W0,68,3,coexistence,1,3,0.3333333333333333
W0,68,4,coexistence,2,2,1
W0,68,5,coexistence,1,1,1
W0,69,0,coexistence,0,1,0
W0,69,1,coexistence,2,4,0.5
W0,69,2,coexistence,1,4,0.25
W0,69,3,coexistence,1,3,0.3333333333333333
W0,69,4,coexistence,1,2,0.5
W0,69,5,coexistence,0,1,0
W0,70,0,coexistence,0,1,0
W0,70,1,coexistence,0,4,0
W0,70,2,coexistence,3,4,0.75
W0,70,3,coexistence,2,3,0.6666666666666666
W0,70,4,coexistence,0,2,0
W0,70,5,coexistence,0,1,0
W0,71,0,coexistence,1,1,1
W0,71,1,coexistence,1,4,0.25
W0,71,2,coexistence,1,4,0.25
W0,71,3,coexistence,0,3,0
W0,71,4,coexistence,1,2,0.5
W0,71,5,coexistence,1,1,1
W0,72,0,coexistence,0,1,0
W0,72,1,coexistence,1,4,0.25
W0,72,2,coexistence,3,4,0.75
W0,72,3,coexistence,1,3,0.3333333333333333
W0,72,4,coexistence,0,2,0
W0,72,5,coexistence,0,1,0
W0,73,0,coexistence,0,1,0
W0,73,1,coexistence,1,4,0.25
W0,73,2,coexistence,1,4,0.25
W0,73,3,coexistence,1,3,0.3333333333333333
W0,73,4,coexistence,1,2,0.5
W0,73,5,coexistence,1,1,1
W0,74,0,coexistence,1,1,1
W0,74,1,coexistence,3,4,0.75
W0,74,2,coexistence,1,4,0.25
W0,74,3,coexistence,0,3,0
W0,74,4,coexistence,0,2,0
W0,74,5,coexistence,0,1,0
W0,75,0,coexistence,0,1,0
W0,75,1,coexistence,0,4,0
W0,75,2,coexistence,3,4,0.75
W0,75,3,coexistence,1,3,0.3333333333333333
W0,75,4,coexistence,0,2,0
W0,75,5,coexistence,1,1,1
W0,76,0,coexistence,0,1,0
W0,76,1,coexistence,2,4,0.5
W0,76,2,coexistence,0,4,0
W0,76,3,coexistence,1,3,0.3333333333333333
W0,76,4,coexistence,1,2,0.5
W0,76,5,coexistence,1,1,1
W0,77,0,coexistence,1,1,1
W0,77,1,coexistence,3,4,0.75
W0,77,2,coexistence,0,4,0
W0,77,3,coexistence,0,3,0
W0,77,4,coexistence,1,2,0.5
W0,77,5,coexistence,0,1,0
W0,78,0,coexistence,0,1,0
W0,78,1,coexistence,2,4,0.5
W0,78,2,coexistence,1,4,0.25
W0,78,3,coexistence,0,3,0
W0,78,4,coexistence,2,2,1
W0,78,5,coexistence,0,1,0
W0,79,0,coexistence,0,1,0
W0,79,1,coexistence,3,4,0.75
W0,79,2,coexistence,0,4,0
W0,79,3,coexistence,1,3,0.3333333333333333
W0,79,4,coexistence,1,2,0.5
W0,79,5,coexistence,0,1,0
W0,80,0,coexistence,0,1,0
W0,80,1,coexistence,2,4,0.5
W0,80,2,coexistence,2,4,0.5
W0,80,3,coexistence,0,3,0
W0,80,4,coexistence,0,2,0
W0,80,5,coexistence,1,1,1
W0,81,0,coexistence,1,1,1
W0,81,1,coexistence,1,4,0.25
W0,81,2,coexistence,0,4,0
W0,81,3,coexistence,2,3,0.6666666666666666
W0,81,4,coexistence,1,2,0.5
W0,81,5,coexistence,0,1,0
W0,82,0,coexistence,1,1,1
W0,82,1,coexistence,0,4,0
W0,82,2,coexistence,3,4,0.75
W0,82,3,coexistence,0,3,0
W0,82,4,coexistence,1,2,0.5
W0,82,5,coexistence,0,1,0
W0,83,0,coexistence,0,1,0
W0,83,1,coexistence,1,4,0.25
W0,83,2,coexistence,1,4,0.25
W0,83,3,coexistence,2,3,0.6666666666666666
W0,83,4,coexistence,1,2,0.5
W0,83,5,coexistence,0,1,0
W0,84,0,coexistence,0,1,0
W0,84,1,coexistence,0,4,0
W0,84,2,coexistence,3,4,0.75
W0,84,3,coexistence,1,3,0.3333333333333333
W0,84,4,coexistence,1,2,0.5
W0,84,5,coexistence,0,1,0
W0,85,0,coexistence,0,1,0
W0,85,1,coexistence,0,4,0
W0,85,2,coexistence,2,4,0.5
W0,85,3,coexistence,1,3,0.3333333333333333
W0,85,4,coexistence,2,2,1
W0,85,5,coexistence,0,1,0
W0,86,0,coexistence,0,1,0
W0,86,1,coexistence,1,4,0.25
W0,86,2,coexistence,2,4,0.5
W0,86,3,coexistence,1,3,0.3333333333333333
W0,86,4,coexistence,1,2,0.5
W0,86,5,coexistence,0,1,0
W0,87,0,coexistence,1,1,1
W0,87,1,coexistence,2,4,0.5
W0,87,2,coexistence,1,4,0.25
W0,87,3,coexistence,1,3,0.3333333333333333
W0,87,4,coexistence,0,2,0
W0,87,5,coexistence,0,1,0
W0,88,0,coexistence,1,1,1
W0,88,1,coexistence,2,4,0.5
W0,88,2,coexistence,1,4,0.25
W0,88,3,coexistence,0,3,0
W0,88,4,coexistence,0,2,0
W0,88,5,coexistence,1,1,1
W0,89,0,coexistence,1,1,1
W0,89,1,coexistence,2,4,0.5
W0,89,2,coexistence,1,4,0.25
W0,89,3,coexistence,0,3,0
W0,89,4,coexistence,1,2,0.5
W0,89,5,coexistence,0,1,0
W0,90,0,coexistence,0,1,0
W0,90,1,coexistence,2,4,0.5
W0,90,2,coexistence,1,4,0.25
W0,90,3,coexistence,2,3,0.6666666666666666
W0,90,4,coexistence,0,2,0
W0,90,5,coexistence,0,1,0
W0,91,0,coexistence,0,1,0
W0,91,1,coexistence,1,4,0.25
W0,91,2,coexistence,1,4,0.25
W0,91,3,coexistence,0,3,0
W0,91,4,coexistence,2,2,1
W0,91,5,coexistence,1,1,1
W0,92,0,coexistence,0,1,0
W0,92,1,coexistence,0,4,0
W0,92,2,coexistence,3,4,0.75
W0,92,3,coexistence,0,3,0
W0,92,4,coexistence,1,2,0.5
W0,92,5,coexistence,1,1,1
W0,93,0,coexistence,0,1,0
W0,93,1,coexistence,1,4,0.25
W0,93,2,coexistence,1,4,0.25
W0,93,3,coexistence,1,3,0.3333333333333333
W0,93,4,coexistence,1,2,0.5
W0,93,5,coexistence,1,1,1
W0,94,0,coexistence,0,1,0
W0,94,1,coexistence,1,4,0.25
W0,94,2,coexistence,3,4,0.75
W0,94,3,coexistence,0,3,0
W0,94,4,coexistence,1,2,0.5
W0,94,5,coexistence,0,1,0
W0,95,0,coexistence,0,1,0
W0,95,1,coexistence,1,4,0.25
W0,95,2,coexistence,2,4,0.5
W0,95,3,coexistence,1,3,0.3333333333333333
W0,95,4,coexistence,1,2,0.5
W0,95,5,coexistence,0,1,0
W0,96,0,coexistence,0,1,0
W0,96,1,coexistence,2,4,0.5
W0,96,2,coexistence,2,4,0.5
W0,96,3,coexistence,1,3,0.3333333333333333
W0,96,4,coexistence,0,2,0
W0,96,5,coexistence,0,1,0
W0,97,0,coexistence,0,1,0
W0,97,1,coexistence,1,4,0.25
W0,97,2,coexistence,2,4,0.5
W0,97,3,coexistence,2,3,0.6666666666666666
W0,97,4,coexistence,0,2,0
W0,97,5,coexistence,0,1,0
W0,98,0,coexistence,0,1,0
W0,98,1,coexistence,1,4,0.25
W0,98,2,coexistence,1,4,0.25
W0,98,3,coexistence,1,3,0.3333333333333333
W0,98,4,coexistence,1,2,0.5
W0,98,5,coexistence,1,1,1
W0,99,0,coexistence,0,1,0
W0,99,1,coexistence,1,4,0.25
W0,99,2,coexistence,0,4,0
W0,99,3,coexistence,3,3,1
W0,99,4,coexistence,1,2,0.5
W0,99,5,coexistence,0,1,0
W0,100,0,coexistence,1,1,1
W0,100,1,coexistence,2,4,0.5
W0,100,2,coexistence,0,4,0
W0,100,3,coexistence,1,3,0.3333333333333333
W0,100,4,coexistence,1,2,0.5
W0,100,5,coexistence,0,1,0
W0,101,0,coexistence,0,1,0
W0,101,1,coexistence,2,4,0.5
W0,101,2,coexistence,2,4,0.5
W0,101,3,coexistence,1,3,0.3333333333333333
W0,101,4,coexistence,0,2,0
W0,101,5,coexistence,0,1,0
W0,102,0,coexistence,0,1,0
W0,102,1,coexistence,1,4,0.25
W0,102,2,coexistence,0,4,0
W0,102,3,coexistence,2,3,0.6666666666666666
W0,102,4,coexistence,1,2,0.5
W0,102,5,coexistence,1,1,1
W0,103,0,coexistence,0,1,0
W0,103,1,coexistence,1,4,0.25
W0,103,2,coexistence,2,4,0.5
W0,103,3,coexistence,0,3,0
W0,103,4,coexistence,1,2,0.5
W0,103,5,coexistence,1,1,1
W0,104,0,coexistence,0,1,0
W0,104,1,coexistence,1,4,0.25
W0,104,2,coexistence,2,4,0.5
W0,104,3,coexistence,1,3,0.3333333333333333
W0,104,4,coexistence,1,2,0.5
W0,104,5,coexistence,0,1,0
W0,105,0,coexistence,0,1,0
W0,105,1,coexistence,1,4,0.25
W0,105,2,coexistence,2,4,0.5
W0,105,3,coexistence,2,3,0.6666666666666666
W0,105,4,coexistence,0,2,0
W0,105,5,coexistence,0,1,0
W0,106,0,coexistence,1,1,1
W0,106,1,coexistence,2,4,0.5
W0,106,2,coexistence,0,4,0
W0,106,3,coexistence,1,3,0.3333333333333333
W0,106,4,coexistence,1,2,0.5
W0,106,5,coexistence,0,1,0
W0,107,0,coexistence,0,1,0
W0,107,1,coexistence,1,4,0.25
W0,107,2,coexistence,1,4,0.25
W0,107,3,coexistence,1,3,0.3333333333333333
W0,107,4,coexistence,1,2,0.5
W0,107,5,coexistence,1,1,1
W0,108,0,coexistence,1,1,1
W0,108,1,coexistence,2,4,0.5
W0,108,2,coexistence,0,4,0
W0,108,3,coexistence,1,3,0.3333333333333333
W0,108,4,coexistence,0,2,0
W0,108,5,coexistence,1,1,1
W0,109,0,coexistence,0,1,0
W0,109,1,coexistence,3,4,0.75
W0,109,2,coexistence,0,4,0
W0,109,3,coexistence,1,3,0.3333333333333333
W0,109,4,coexistence,0,2,0
W0,109,5,coexistence,1,1,1
W0,110,0,coexistence,1,1,1
W0,110,1,coexistence,1,4,0.25
W0,110,2,coexistence,1,4,0.25
W0,110,3,coexistence,0,3,0
W0,110,4,coexistence,1,2,0.5
W0,110,5,coexistence,1,1,1
W0,111,0,coexistence,0,1,0
W0,111,1,coexistence,1,4,0.25
W0,111,2,coexistence,1,4,0.25
W0,111,3,coexistence,2,3,0.6666666666666666
W0,111,4,coexistence,0,2,0
W0,111,5,coexistence,1,1,1
W0,112,0,coexistence,0,1,0
W0,112,1,coexistence,2,4,0.5
W0,112,2,coexistence,1,4,0.25
W0,112,3,coexistence,2,3,0.6666666666666666
W0,112,4,coexistence,0,2,0
W0,112,5,coexistence,0,1,0
W0,113,0,coexistence,0,1,0
W0,113,1,coexistence,1,4,0.25
W0,113,2,coexistence,1,4,0.25
W0,113,3,coexistence,2,3,0.6666666666666666
W0,113,4,coexistence,1,2,0.5
W0,113,5,coexistence,0,1,0
W0,114,0,coexistence,1,1,1
W0,114,1,coexistence,1,4,0.25
W0,114,2,coexistence,0,4,0
W0,114,3,coexistence,1,3,0.3333333333333333
W0,114,4,coexistence,1,2,0.5
W0,114,5,coexistence,1,1,1
W0,115,0,coexistence,1,1,1
W0,115,1,coexistence,1,4,0.25
W0,115,2,coexistence,1,4,0.25
W0,115,3,coexistence,1,3,0.3333333333333333
W0,115,4,coexistence,1,2,0.5
W0,115,5,coexistence,0,1,0
W0,116,0,coexistence,1,1,1
W0,116,1,coexistence,1,4,0.25
W0,116,2,coexistence,1,4,0.25
W0,116,3,coexistence,1,3,0.3333333333333333
W0,116,4,coexistence,1,2,0.5
W0,116,5,coexistence,0,1,0
W0,117,0,coexistence,0,1,0
W0,117,1,coexistence,1,4,0.25
W0,117,2,coexistence,3,4,0.75
W0,117,3,coexistence,1,3,0.3333333333333333
W0,117,4,coexistence,0,2,0
W0,117,5,coexistence,0,1,0
W0,118,0,coexistence,1,1,1
W0,118,1,coexistence,1,4,0.25
W0,118,2,coexistence,0,4,0
W0,118,3,coexistence,1,3,0.3333333333333333
W0,118,4,coexistence,2,2,1
W0,118,5,coexistence,0,1,0
W0,119,0,coexistence,0,1,0
W0,119,1,coexistence,1,4,0.25
W0,119,2,coexistence,2,4,0.5
