Community,CommunitySize,CommunityPairSize,CommunitiyMotifSize,Replicate,Motif,Count,Fraction
C1R2,4,6,4,16,6,1,0.25
C1R2,4,6,4,16,7,0,0
C1R2,4,6,4,17,1,0,0
C1R2,4,6,4,17,2,1,0.25
C1R2,4,6,4,17,3,0,0
C1R2,4,6,4,17,4,1,0.25
C1R2,4,6,4,17,5,1,0.25
C1R2,4,6,4,17,6,1,0.25
C1R2,4,6,4,17,7,0,0
C1R2,4,6,4,18,1,1,0.25
C1R2,4,6,4,18,2,0,0
C1R2,4,6,4,18,3,0,0
C1R2,4,6,4,18,4,1,0.25
C1R2,4,6,4,18,5,1,0.25
C1R2,4,6,4,18,6,1,0.25
C1R2,4,6,4,18,7,0,0
C1R2,4,6,4,19,1,0,0
C1R2,4,6,4,19,2,1,0.25
C1R2,4,6,4,19,3,0,0
C1R2,4,6,4,19,4,2,0.5
C1R2,4,6,4,19,5,0,0
C1R2,4,6,4,19,6,1,0.25
C1R2,4,6,4,19,7,0,0
C1R2,4,6,4,20,1,0,0
C1R2,4,6,4,20,2,1,0.25
C1R2,4,6,4,20,3,0,0
C1R2,4,6,4,20,4,2,0.5
C1R2,4,6,4,20,5,0,0
C1R2,4,6,4,20,6,1,0.25
C1R2,4,6,4,20,7,0,0
C1R2,4,6,4,21,1,0,0
C1R2,4,6,4,21,2,1,0.25
C1R2,4,6,4,21,3,0,0
C1R2,4,6,4,21,4,0,0
C1R2,4,6,4,21,5,2,0.5
C1R2,4,6,4,21,6,1,0.25
C1R2,4,6,4,21,7,0,0
C1R2,4,6,4,22,1,0,0
C1R2,4,6,4,22,2,0,0
C1R2,4,6,4,22,3,1,0.25
C1R2,4,6,4,22,4,2,0.5
C1R2,4,6,4,22,5,1,0.25
C1R2,4,6,4,22,6,0,0
C1R2,4,6,4,22,7,0,0
C1R2,4,6,4,23,1,0,0
C1R2,4,6,4,23,2,0,0
C1R2,4,6,4,23,3,2,0.5
C1R2,4,6,4,23,4,0,0
C1R2,4,6,4,23,5,2,0.5
C1R2,4,6,4,23,6,0,0
C1R2,4,6,4,23,7,0,0
C1R2,4,6,4,24,1,1,0.25
C1R2,4,6,4,24,2,0,0
C1R2,4,6,4,24,3,1,0.25
C1R2,4,6,4,24,4,1,0.25
C1R2,4,6,4,24,5,0,0
C1R2,4,6,4,24,6,1,0.25
C1R2,4,6,4,24,7,0,0
C1R2,4,6,4,25,1,0,0
C1R2,4,6,4,25,2,1,0.25
C1R2,4,6,4,25,3,0,0
C1R2,4,6,4,25,4,0,0
C1R2,4,6,4,25,5,2,0.5
C1R2,4,6,4,25,6,1,0.25
C1R2,4,6,4,25,7,0,0
C1R2,4,6,4,26,1,1,0.25
C1R2,4,6,4,26,2,0,0
C1R2,4,6,4,26,3,1,0.25
C1R2,4,6,4,26,4,1,0.25
C1R2,4,6,4,26,5,0,0
C1R2,4,6,4,26,6,1,0.25
C1R2,4,6,4,26,7,0,0
C1R2,4,6,4,27,1,0,0
C1R2,4,6,4,27,2,1,0.25
C1R2,4,6,4,27,3,0,0
C1R2,4,6,4,27,4,0,0
C1R2,4,6,4,27,5,2,0.5
C1R2,4,6,4,27,6,1,0.25
C1R2,4,6,4,27,7,0,0
C1R2,4,6,4,28,1,0,0
C1R2,4,6,4,28,2,1,0.25
C1R2,4,6,4,28,3,0,0
C1R2,4,6,4,28,4,0,0
C1R2,4,6,4,28,5,2,0.5
C1R2,4,6,4,28,6,1,0.25
C1R2,4,6,4,28,7,0,0
C1R2,4,6,4,29,1,0,0
C1R2,4,6,4,29,2,1,0.25
C1R2,4,6,4,29,3,0,0
C1R2,4,6,4,29,4,1,0.25
C1R2,4,6,4,29,5,1,0.25
C1R2,4,6,4,29,6,1,0.25
C1R2,4,6,4,29,7,0,0
C1R2,4,6,4,30,1,1,0.25
C1R2,4,6,4,30,2,0,0
C1R2,4,6,4,30,3,1,0.25
C1R2,4,6,4,30,4,1,0.25
C1R2,4,6,4,30,5,0,0
C1R2,4,6,4,30,6,1,0.25
C1R2,4,6,4,30,7,0,0
C1R2,4,6,4,31,1,0,0
C1R2,4,6,4,31,2,1,0.25
C1R2,4,6,4,31,3,0,0
C1R2,4,6,4,31,4,1,0.25
C1R2,4,6,4,31,5,1,0.25
C1R2,4,6,4,31,6,1,0.25
C1R2,4,6,4,31,7,0,0
C1R2,4,6,4,32,1,0,0
C1R2,4,6,4,32,2,1,0.25
C1R2,4,6,4,32,3,2,0.5
C1R2,4,6,4,32,4,0,0
C1R2,4,6,4,32,5,0,0
C1R2,4,6,4,32,6,1,0.25
C1R2,4,6,4,32,7,0,0
C1R2,4,6,4,33,1,0,0
C1R2,4,6,4,33,2,1,0.25
C1R2,4,6,4,33,3,0,0
C1R2,4,6,4,33,4,1,0.25
C1R2,4,6,4,33,5,1,0.25
C1R2,4,6,4,33,6,1,0.25
C1R2,4,6,4,33,7,0,0
C1R2,4,6,4,34,1,0,0
C1R2,4,6,4,34,2,0,0
C1R2,4,6,4,34,3,1,0.25
C1R2,4,6,4,34,4,2,0.5
C1R2,4,6,4,34,5,1,0.25
C1R2,4,6,4,34,6,0,0
C1R2,4,6,4,34,7,0,0
C1R2,4,6,4,35,1,0,0
C1R2,4,6,4,35,2,1,0.25
C1R2,4,6,4,35,3,0,0
C1R2,4,6,4,35,4,1,0.25
C1R2,4,6,4,35,5,1,0.25
C1R2,4,6,4,35,6,1,0.25
C1R2,4,6,4,35,7,0,0
C1R2,4,6,4,36,1,0,0
C1R2,4,6,4,36,2,1,0.25
C1R2,4,6,4,36,3,0,0
C1R2,4,6,4,36,4,2,0.5
C1R2,4,6,4,36,5,0,0
C1R2,4,6,4,36,6,1,0.25
C1R2,4,6,4,36,7,0,0
C1R2,4,6,4,37,1,0,0
C1R2,4,6,4,37,2,1,0.25
C1R2,4,6,4,37,3,0,0
C1R2,4,6,4,37,4,1,0.25
C1R2,4,6,4,37,5,1,0.25
C1R2,4,6,4,37,6,1,0.25
C1R2,4,6,4,37,7,0,0
C1R2,4,6,4,38,1,0,0
C1R2,4,6,4,38,2,0,0
C1R2,4,6,4,38,3,0,0
C1R2,4,6,4,38,4,4,1
C1R2,4,6,4,38,5,0,0
C1R2,4,6,4,38,6,0,0
C1R2,4,6,4,38,7,0,0
C1R2,4,6,4,39,1,0,0
C1R2,4,6,4,39,2,0,0
C1R2,4,6,4,39,3,1,0.25
C1R2,4,6,4,39,4,2,0.5
C1R2,4,6,4,39,5,1,0.25
C1R2,4,6,4,39,6,0,0
C1R2,4,6,4,39,7,0,0
C1R2,4,6,4,40,1,1,0.25
C1R2,4,6,4,40,2,0,0
C1R2,4,6,4,40,3,1,0.25
C1R2,4,6,4,40,4,1,0.25
C1R2,4,6,4,40,5,0,0
C1R2,4,6,4,40,6,1,0.25
C1R2,4,6,4,40,7,0,0
C1R2,4,6,4,41,1,0,0
C1R2,4,6,4,41,2,1,0.25
C1R2,4,6,4,41,3,0,0
C1R2,4,6,4,41,4,0,0
C1R2,4,6,4,41,5,2,0.5
C1R2,4,6,4,41,6,1,0.25
C1R2,4,6,4,41,7,0,0
C1R2,4,6,4,42,1,1,0.25
C1R2,4,6,4,42,2,0,0
C1R2,4,6,4,42,3,0,0
C1R2,4,6,4,42,4,1,0.25
C1R2,4,6,4,42,5,1,0.25
C1R2,4,6,4,42,6,1,0.25
C1R2,4,6,4,42,7,0,0
C1R2,4,6,4,43,1,0,0
C1R2,4,6,4,43,2,1,0.25
C1R2,4,6,4,43,3,1,0.25
C1R2,4,6,4,43,4,1,0.25
C1R2,4,6,4,43,5,0,0
C1R2,4,6,4,43,6,1,0.25
C1R2,4,6,4,43,7,0,0
C1R2,4,6,4,44,1,0,0
C1R2,4,6,4,44,2,1,0.25
C1R2,4,6,4,44,3,0,0
C1R2,4,6,4,44,4,1,0.25
C1R2,4,6,4,44,5,1,0.25
C1R2,4,6,4,44,6,1,0.25
C1R2,4,6,4,44,7,0,0
C1R2,4,6,4,45,1,0,0
C1R2,4,6,4,45,2,0,0
C1R2,4,6,4,45,3,1,0.25
C1R2,4,6,4,45,4,2,0.5
C1R2,4,6,4,45,5,1,0.25
C1R2,4,6,4,45,6,0,0
C1R2,4,6,4,45,7,0,0
C1R2,4,6,4,46,1,0,0
C1R2,4,6,4,46,2,1,0.25
C1R2,4,6,4,46,3,0,0
C1R2,4,6,4,46,4,2,0.5
C1R2,4,6,4,46,5,0,0
C1R2,4,6,4,46,6,1,0.25
C1R2,4,6,4,46,7,0,0
C1R2,4,6,4,47,1,0,0
C1R2,4,6,4,47,2,1,0.25
C1R2,4,6,4,47,3,0,0
C1R2,4,6,4,47,4,2,0.5
C1R2,4,6,4,47,5,0,0
C1R2,4,6,4,47,6,1,0.25
C1R2,4,6,4,47,7,0,0
C1R2,4,6,4,48,1,1,0.25
C1R2,4,6,4,48,2,0,0
C1R2,4,6,4,48,3,0,0
C1R2,4,6,4,48,4,1,0.25
C1R2,4,6,4,48,5,1,0.25
C1R2,4,6,4,48,6,1,0.25
C1R2,4,6,4,48,7,0,0
C1R2,4,6,4,49,1,0,0
C1R2,4,6,4,49,2,1,0.25
C1R2,4,6,4,49,3,0,0
C1R2,4,6,4,49,4,2,0.5
C1R2,4,6,4,49,5,0,0
C1R2,4,6,4,49,6,1,0.25
C1R2,4,6,4,49,7,0,0
C1R2,4,6,4,50,1,0,0
C1R2,4,6,4,50,2,0,0
C1R2,4,6,4,50,3,2,0.5
C1R2,4,6,4,50,4,0,0
C1R2,4,6,4,50,5,2,0.5
C1R2,4,6,4,50,6,0,0
C1R2,4,6,4,50,7,0,0
C1R2,4,6,4,51,1,1,0.25
C1R2,4,6,4,51,2,0,0
C1R2,4,6,4,51,3,1,0.25
C1R2,4,6,4,51,4,1,0.25
C1R2,4,6,4,51,5,0,0
C1R2,4,6,4,51,6,1,0.25
C1R2,4,6,4,51,7,0,0
C1R2,4,6,4,52,1,0,0
C1R2,4,6,4,52,2,1,0.25
C1R2,4,6,4,52,3,1,0.25
C1R2,4,6,4,52,4,1,0.25
C1R2,4,6,4,52,5,0,0
C1R2,4,6,4,52,6,1,0.25
C1R2,4,6,4,52,7,0,0
C1R2,4,6,4,53,1,0,0
C1R2,4,6,4,53,2,1,0.25
C1R2,4,6,4,53,3,0,0
C1R2,4,6,4,53,4,2,0.5
C1R2,4,6,4,53,5,0,0
C1R2,4,6,4,53,6,1,0.25
C1R2,4,6,4,53,7,0,0
C1R2,4,6,4,54,1,0,0
C1R2,4,6,4,54,2,1,0.25
C1R2,4,6,4,54,3,2,0.5
C1R2,4,6,4,54,4,0,0
C1R2,4,6,4,54,5,0,0
C1R2,4,6,4,54,6,1,0.25
C1R2,4,6,4,54,7,0,0
C1R2,4,6,4,55,1,0,0
C1R2,4,6,4,55,2,1,0.25
C1R2,4,6,4,55,3,1,0.25
C1R2,4,6,4,55,4,1,0.25
C1R2,4,6,4,55,5,0,0
C1R2,4,6,4,55,6,1,0.25
C1R2,4,6,4,55,7,0,0
C1R2,4,6,4,56,1,0,0
C1R2,4,6,4,56,2,1,0.25
C1R2,4,6,4,56,3,0,0
C1R2,4,6,4,56,4,1,0.25
C1R2,4,6,4,56,5,1,0.25
C1R2,4,6,4,56,6,1,0.25
C1R2,4,6,4,56,7,0,0
C1R2,4,6,4,57,1,0,0
C1R2,4,6,4,57,2,1,0.25
C1R2,4,6,4,57,3,0,0
C1R2,4,6,4,57,4,2,0.5
C1R2,4,6,4,57,5,0,0
C1R2,4,6,4,57,6,1,0.25
C1R2,4,6,4,57,7,0,0
C1R2,4,6,4,58,1,0,0
C1R2,4,6,4,58,2,1,0.25
C1R2,4,6,4,58,3,0,0
C1R2,4,6,4,58,4,0,0
C1R2,4,6,4,58,5,2,0.5
C1R2,4,6,4,58,6,1,0.25
C1R2,4,6,4,58,7,0,0
C1R2,4,6,4,59,1,1,0.25
C1R2,4,6,4,59,2,0,0
C1R2,4,6,4,59,3,1,0.25
C1R2,4,6,4,59,4,1,0.25
C1R2,4,6,4,59,5,0,0
C1R2,4,6,4,59,6,1,0.25
C1R2,4,6,4,59,7,0,0
C1R2,4,6,4,60,1,1,0.25
C1R2,4,6,4,60,2,0,0
C1R2,4,6,4,60,3,0,0
C1R2,4,6,4,60,4,1,0.25
C1R2,4,6,4,60,5,1,0.25
C1R2,4,6,4,60,6,1,0.25
C1R2,4,6,4,60,7,0,0
C1R2,4,6,4,61,1,0,0
C1R2,4,6,4,61,2,1,0.25
C1R2,4,6,4,61,3,2,0.5
C1R2,4,6,4,61,4,0,0
C1R2,4,6,4,61,5,0,0
C1R2,4,6,4,61,6,1,0.25
C1R2,4,6,4,61,7,0,0
C1R2,4,6,4,62,1,0,0
C1R2,4,6,4,62,2,1,0.25
C1R2,4,6,4,62,3,0,0
C1R2,4,6,4,62,4,2,0.5
C1R2,4,6,4,62,5,0,0
C1R2,4,6,4,62,6,1,0.25
C1R2,4,6,4,62,7,0,0
C1R2,4,6,4,63,1,0,0
C1R2,4,6,4,63,2,0,0
C1R2,4,6,4,63,3,1,0.25
C1R2,4,6,4,63,4,2,0.5
C1R2,4,6,4,63,5,1,0.25
C1R2,4,6,4,63,6,0,0
C1R2,4,6,4,63,7,0,0
C1R2,4,6,4,64,1,0,0
C1R2,4,6,4,64,2,1,0.25
C1R2,4,6,4,64,3,0,0
C1R2,4,6,4,64,4,2,0.5
C1R2,4,6,4,64,5,0,0
C1R2,4,6,4,64,6,1,0.25
C1R2,4,6,4,64,7,0,0
C1R2,4,6,4,65,1,0,0
C1R2,4,6,4,65,2,1,0.25
C1R2,4,6,4,65,3,0,0
C1R2,4,6,4,65,4,1,0.25
C1R2,4,6,4,65,5,1,0.25
C1R2,4,6,4,65,6,1,0.25
C1R2,4,6,4,65,7,0,0
C1R2,4,6,4,66,1,1,0.25
C1R2,4,6,4,66,2,0,0
C1R2,4,6,4,66,3,1,0.25
C1R2,4,6,4,66,4,1,0.25
C1R2,4,6,4,66,5,0,0
C1R2,4,6,4,66,6,1,0.25
C1R2,4,6,4,66,7,0,0
C1R2,4,6,4,67,1,1,0.25
C1R2,4,6,4,67,2,0,0
C1R2,4,6,4,67,3,0,0
C1R2,4,6,4,67,4,1,0.25
C1R2,4,6,4,67,5,1,0.25
C1R2,4,6,4,67,6,1,0.25
C1R2,4,6,4,67,7,0,0
C1R2,4,6,4,68,1,0,0
C1R2,4,6,4,68,2,1,0.25
C1R2,4,6,4,68,3,0,0
C1R2,4,6,4,68,4,0,0
C1R2,4,6,4,68,5,2,0.5
C1R2,4,6,4,68,6,1,0.25
C1R2,4,6,4,68,7,0,0
C1R2,4,6,4,69,1,1,0.25
C1R2,4,6,4,69,2,0,0
C1R2,4,6,4,69,3,0,0
C1R2,4,6,4,69,4,1,0.25
C1R2,4,6,4,69,5,1,0.25
C1R2,4,6,4,69,6,1,0.25
C1R2,4,6,4,69,7,0,0
C1R2,4,6,4,70,1,0,0
C1R2,4,6,4,70,2,1,0.25
C1R2,4,6,4,70,3,2,0.5
C1R2,4,6,4,70,4,0,0
C1R2,4,6,4,70,5,0,0
C1R2,4,6,4,70,6,1,0.25
C1R2,4,6,4,70,7,0,0
C1R2,4,6,4,71,1,0,0
C1R2,4,6,4,71,2,0,0
C1R2,4,6,4,71,3,1,0.25
C1R2,4,6,4,71,4,2,0.5
C1R2,4,6,4,71,5,1,0.25
C1R2,4,6,4,71,6,0,0
C1R2,4,6,4,71,7,0,0
C1R2,4,6,4,72,1,0,0
C1R2,4,6,4,72,2,1,0.25
C1R2,4,6,4,72,3,1,0.25
C1R2,4,6,4,72,4,1,0.25
C1R2,4,6,4,72,5,0,0
C1R2,4,6,4,72,6,1,0.25
C1R2,4,6,4,72,7,0,0
C1R2,4,6,4,73,1,0,0
C1R2,4,6,4,73,2,1,0.25
C1R2,4,6,4,73,3,0,0
C1R2,4,6,4,73,4,2,0.5
C1R2,4,6,4,73,5,0,0
C1R2,4,6,4,73,6,1,0.25
C1R2,4,6,4,73,7,0,0
C1R2,4,6,4,74,1,0,0
C1R2,4,6,4,74,2,1,0.25
C1R2,4,6,4,74,3,0,0
C1R2,4,6,4,74,4,2,0.5
C1R2,4,6,4,74,5,0,0
C1R2,4,6,4,74,6,1,0.25
C1R2,4,6,4,74,7,0,0
C1R2,4,6,4,75,1,0,0
C1R2,4,6,4,75,2,1,0.25
C1R2,4,6,4,75,3,1,0.25
C1R2,4,6,4,75,4,1,0.25
C1R2,4,6,4,75,5,0,0
C1R2,4,6,4,75,6,1,0.25
C1R2,4,6,4,75,7,0,0
C1R2,4,6,4,76,1,1,0.25
C1R2,4,6,4,76,2,0,0
C1R2,4,6,4,76,3,0,0
C1R2,4,6,4,76,4,1,0.25
C1R2,4,6,4,76,5,1,0.25
C1R2,4,6,4,76,6,1,0.25
C1R2,4,6,4,76,7,0,0
C1R2,4,6,4,77,1,0,0
C1R2,4,6,4,77,2,0,0
C1R2,4,6,4,77,3,1,0.25
C1R2,4,6,4,77,4,2,0.5
C1R2,4,6,4,77,5,1,0.25
C1R2,4,6,4,77,6,0,0
C1R2,4,6,4,77,7,0,0
C1R2,4,6,4,78,1,0,0
C1R2,4,6,4,78,2,1,0.25
C1R2,4,6,4,78,3,2,0.5
C1R2,4,6,4,78,4,0,0
C1R2,4,6,4,78,5,0,0
C1R2,4,6,4,78,6,1,0.25
C1R2,4,6,4,78,7,0,0
C1R2,4,6,4,79,1,0,0
C1R2,4,6,4,79,2,1,0.25
C1R2,4,6,4,79,3,0,0
C1R2,4,6,4,79,4,0,0
C1R2,4,6,4,79,5,2,0.5
C1R2,4,6,4,79,6,1,0.25
C1R2,4,6,4,79,7,0,0
C1R2,4,6,4,80,1,0,0
C1R2,4,6,4,80,2,1,0.25
C1R2,4,6,4,80,3,0,0
C1R2,4,6,4,80,4,0,0
C1R2,4,6,4,80,5,2,0.5
C1R2,4,6,4,80,6,1,0.25
C1R2,4,6,4,80,7,0,0
C1R2,4,6,4,81,1,0,0
C1R2,4,6,4,81,2,1,0.25
C1R2,4,6,4,81,3,0,0
C1R2,4,6,4,81,4,0,0
C1R2,4,6,4,81,5,2,0.5
C1R2,4,6,4,81,6,1,0.25
C1R2,4,6,4,81,7,0,0
C1R2,4,6,4,82,1,1,0.25
C1R2,4,6,4,82,2,0,0
C1R2,4,6,4,82,3,0,0
C1R2,4,6,4,82,4,1,0.25
C1R2,4,6,4,82,5,1,0.25
C1R2,4,6,4,82,6,1,0.25
C1R2,4,6,4,82,7,0,0
C1R2,4,6,4,83,1,0,0
C1R2,4,6,4,83,2,1,0.25
C1R2,4,6,4,83,3,1,0.25
C1R2,4,6,4,83,4,1,0.25
C1R2,4,6,4,83,5,0,0
C1R2,4,6,4,83,6,1,0.25
C1R2,4,6,4,83,7,0,0
C1R2,4,6,4,84,1,1,0.25
C1R2,4,6,4,84,2,0,0
C1R2,4,6,4,84,3,0,0
C1R2,4,6,4,84,4,1,0.25
C1R2,4,6,4,84,5,1,0.25
C1R2,4,6,4,84,6,1,0.25
C1R2,4,6,4,84,7,0,0
C1R2,4,6,4,85,1,0,0
C1R2,4,6,4,85,2,1,0.25
C1R2,4,6,4,85,3,0,0
C1R2,4,6,4,85,4,1,0.25
C1R2,4,6,4,85,5,1,0.25
C1R2,4,6,4,85,6,1,0.25
C1R2,4,6,4,85,7,0,0
C1R2,4,6,4,86,1,1,0.25
C1R2,4,6,4,86,2,0,0
C1R2,4,6,4,86,3,0,0
C1R2,4,6,4,86,4,1,0.25
C1R2,4,6,4,86,5,1,0.25
C1R2,4,6,4,86,6,1,0.25
C1R2,4,6,4,86,7,0,0
C1R2,4,6,4,87,1,0,0
C1R2,4,6,4,87,2,0,0
C1R2,4,6,4,87,3,2,0.5
C1R2,4,6,4,87,4,0,0
C1R2,4,6,4,87,5,2,0.5
C1R2,4,6,4,87,6,0,0
C1R2,4,6,4,87,7,0,0
C1R2,4,6,4,88,1,0,0
C1R2,4,6,4,88,2,1,0.25
C1R2,4,6,4,88,3,0,0
C1R2,4,6,4,88,4,2,0.5
C1R2,4,6,4,88,5,0,0
C1R2,4,6,4,88,6,1,0.25
C1R2,4,6,4,88,7,0,0
C1R2,4,6,4,89,1,0,0
C1R2,4,6,4,89,2,1,0.25
C1R2,4,6,4,89,3,0,0
C1R2,4,6,4,89,4,2,0.5
C1R2,4,6,4,89,5,0,0
C1R2,4,6,4,89,6,1,0.25
C1R2,4,6,4,89,7,0,0
C1R2,4,6,4,90,1,0,0
C1R2,4,6,4,90,2,1,0.25
C1R2,4,6,4,90,3,1,0.25
C1R2,4,6,4,90,4,1,0.25
C1R2,4,6,4,90,5,0,0
C1R2,4,6,4,90,6,1,0.25
C1R2,4,6,4,90,7,0,0
C1R2,4,6,4,91,1,0,0
C1R2,4,6,4,91,2,0,0
C1R2,4,6,4,91,3,0,0
C1R2,4,6,4,91,4,4,1
C1R2,4,6,4,91,5,0,0
C1R2,4,6,4,91,6,0,0
C1R2,4,6,4,91,7,0,0
C1R2,4,6,4,92,1,0,0
C1R2,4,6,4,92,2,1,0.25
C1R2,4,6,4,92,3,0,0
C1R2,4,6,4,92,4,2,0.5
C1R2,4,6,4,92,5,0,0
C1R2,4,6,4,92,6,1,0.25
C1R2,4,6,4,92,7,0,0
C1R2,4,6,4,93,1,1,0.25
C1R2,4,6,4,93,2,0,0
C1R2,4,6,4,93,3,1,0.25
C1R2,4,6,4,93,4,1,0.25
C1R2,4,6,4,93,5,0,0
C1R2,4,6,4,93,6,1,0.25
C1R2,4,6,4,93,7,0,0
C1R2,4,6,4,94,1,1,0.25
C1R2,4,6,4,94,2,0,0
C1R2,4,6,4,94,3,1,0.25
C1R2,4,6,4,94,4,1,0.25
C1R2,4,6,4,94,5,0,0
C1R2,4,6,4,94,6,1,0.25
C1R2,4,6,4,94,7,0,0
C1R2,4,6,4,95,1,0,0
C1R2,4,6,4,95,2,1,0.25
C1R2,4,6,4,95,3,0,0
C1R2,4,6,4,95,4,2,0.5
C1R2,4,6,4,95,5,0,0
C1R2,4,6,4,95,6,1,0.25
C1R2,4,6,4,95,7,0,0
C1R2,4,6,4,96,1,0,0
C1R2,4,6,4,96,2,1,0.25
C1R2,4,6,4,96,3,0,0
C1R2,4,6,4,96,4,2,0.5
C1R2,4,6,4,96,5,0,0
C1R2,4,6,4,96,6,1,0.25
C1R2,4,6,4,96,7,0,0
C1R2,4,6,4,97,1,0,0
C1R2,4,6,4,97,2,0,0
C1R2,4,6,4,97,3,2,0.5
C1R2,4,6,4,97,4,0,0
C1R2,4,6,4,97,5,2,0.5
C1R2,4,6,4,97,6,0,0
C1R2,4,6,4,97,7,0,0
C1R2,4,6,4,98,1,0,0
C1R2,4,6,4,98,2,1,0.25
C1R2,4,6,4,98,3,0,0
C1R2,4,6,4,98,4,2,0.5
C1R2,4,6,4,98,5,0,0
C1R2,4,6,4,98,6,1,0.25
C1R2,4,6,4,98,7,0,0
C1R2,4,6,4,99,1,0,0
C1R2,4,6,4,99,2,1,0.25
C1R2,4,6,4,99,3,0,0
C1R2,4,6,4,99,4,2,0.5
C1R2,4,6,4,99,5,0,0
C1R2,4,6,4,99,6,1,0.25
C1R2,4,6,4,99,7,0,0
C1R2,4,6,4,100,1,1,0.25
C1R2,4,6,4,100,2,0,0
C1R2,4,6,4,100,3,0,0
